#code_ligand_num    score   
1a30_ligand_100     5.25    
1a30_ligand_103     5.17    
1a30_ligand_104     4.85    
1a30_ligand_11      5.22    
1a30_ligand_114     4.42    
1a30_ligand_123     5.40    
1a30_ligand_128     4.72    
1a30_ligand_130     5.31    
1a30_ligand_137     5.16    
1a30_ligand_146     5.17    
1a30_ligand_15      5.02    
1a30_ligand_150     5.46    
1a30_ligand_153     5.10    
1a30_ligand_155     5.21    
1a30_ligand_169     4.97    
1a30_ligand_174     5.29    
1a30_ligand_18      4.79    
1a30_ligand_194     5.00    
1a30_ligand_201     4.89    
1a30_ligand_204     4.53    
1a30_ligand_208     4.82    
1a30_ligand_209     4.99    
1a30_ligand_211     4.97    
1a30_ligand_212     4.59    
1a30_ligand_213     4.97    
1a30_ligand_218     4.51    
1a30_ligand_220     4.41    
1a30_ligand_221     4.48    
1a30_ligand_222     4.67    
1a30_ligand_224     4.63    
1a30_ligand_229     4.66    
1a30_ligand_234     4.68    
1a30_ligand_240     4.44    
1a30_ligand_25      5.05    
1a30_ligand_250     4.75    
1a30_ligand_257     5.04    
1a30_ligand_26      5.24    
1a30_ligand_261     5.17    
1a30_ligand_266     4.58    
1a30_ligand_267     4.74    
1a30_ligand_268     4.93    
1a30_ligand_27      5.12    
1a30_ligand_270     5.14    
1a30_ligand_273     5.27    
1a30_ligand_275     4.88    
1a30_ligand_289     4.91    
1a30_ligand_29      5.18    
1a30_ligand_291     4.56    
1a30_ligand_292     5.12    
1a30_ligand_295     4.73    
1a30_ligand_298     5.32    
1a30_ligand_3       5.07    
1a30_ligand_30      4.78    
1a30_ligand_301     4.56    
1a30_ligand_303     5.04    
1a30_ligand_304     5.09    
1a30_ligand_307     4.70    
1a30_ligand_326     4.49    
1a30_ligand_337     4.69    
1a30_ligand_338     4.51    
1a30_ligand_34      4.49    
1a30_ligand_341     4.98    
1a30_ligand_346     4.97    
1a30_ligand_348     5.20    
1a30_ligand_353     5.47    
1a30_ligand_356     5.13    
1a30_ligand_36      5.18    
1a30_ligand_362     5.15    
1a30_ligand_369     5.38    
1a30_ligand_370     5.37    
1a30_ligand_377     5.36    
1a30_ligand_387     5.16    
1a30_ligand_39      5.07    
1a30_ligand_418     4.79    
1a30_ligand_419     5.11    
1a30_ligand_425     4.77    
1a30_ligand_428     5.27    
1a30_ligand_435     4.76    
1a30_ligand_44      5.02    
1a30_ligand_447     5.01    
1a30_ligand_449     4.98    
1a30_ligand_45      4.83    
1a30_ligand_46      4.91    
1a30_ligand_47      4.93    
1a30_ligand_48      5.10    
1a30_ligand_491     4.98    
1a30_ligand_492     4.73    
1a30_ligand_498     4.85    
1a30_ligand_50      5.02    
1a30_ligand_53      4.75    
1a30_ligand_56      5.03    
1a30_ligand_58      4.59    
1a30_ligand_61      4.39    
1a30_ligand_62      4.59    
1a30_ligand_63      5.14    
1a30_ligand_66      5.20    
1a30_ligand_81      4.85    
1a30_ligand_86      4.77    
1a30_ligand_88      5.00    
1a30_ligand_93      4.82    
1bcu_ligand_137     5.89    
1bcu_ligand_167     5.38    
1bcu_ligand_170     5.61    
1bcu_ligand_171     5.29    
1bcu_ligand_172     5.35    
1bcu_ligand_178     5.46    
1bcu_ligand_207     5.87    
1bcu_ligand_209     5.28    
1bcu_ligand_216     5.42    
1bcu_ligand_221     5.49    
1bcu_ligand_226     5.44    
1bcu_ligand_228     5.74    
1bcu_ligand_230     5.73    
1bcu_ligand_232     5.69    
1bcu_ligand_234     5.95    
1bcu_ligand_235     6.07    
1bcu_ligand_237     5.46    
1bcu_ligand_238     5.39    
1bcu_ligand_259     5.64    
1bcu_ligand_260     5.85    
1bcu_ligand_262     5.40    
1bcu_ligand_272     5.24    
1bcu_ligand_273     5.74    
1bcu_ligand_277     5.45    
1bcu_ligand_282     5.63    
1bcu_ligand_307     5.67    
1bcu_ligand_308     5.79    
1bcu_ligand_310     5.73    
1bcu_ligand_311     5.64    
1bcu_ligand_314     5.57    
1bcu_ligand_315     5.49    
1bcu_ligand_320     5.64    
1bcu_ligand_325     5.89    
1bcu_ligand_327     5.88    
1bcu_ligand_336     5.15    
1bcu_ligand_337     5.49    
1bcu_ligand_340     5.65    
1bcu_ligand_343     5.55    
1bcu_ligand_344     5.88    
1bcu_ligand_352     5.12    
1bcu_ligand_353     5.00    
1bcu_ligand_355     5.54    
1bcu_ligand_357     5.14    
1bcu_ligand_358     5.53    
1bcu_ligand_360     5.00    
1bcu_ligand_361     5.06    
1bcu_ligand_362     5.45    
1bcu_ligand_363     5.11    
1bcu_ligand_365     4.93    
1bcu_ligand_367     4.57    
1bcu_ligand_368     4.72    
1bcu_ligand_369     4.70    
1bcu_ligand_370     5.02    
1bcu_ligand_373     4.82    
1bcu_ligand_374     4.78    
1bcu_ligand_375     4.64    
1bcu_ligand_377     5.00    
1bcu_ligand_378     4.82    
1bcu_ligand_379     4.75    
1bcu_ligand_381     4.69    
1bcu_ligand_383     4.55    
1bcu_ligand_385     4.56    
1bcu_ligand_386     4.90    
1bcu_ligand_387     4.96    
1bcu_ligand_388     4.62    
1bcu_ligand_390     4.70    
1bcu_ligand_391     4.58    
1bcu_ligand_392     4.70    
1bcu_ligand_394     4.62    
1bcu_ligand_396     5.21    
1bcu_ligand_398     4.80    
1bcu_ligand_399     4.56    
1bcu_ligand_400     4.49    
1bcu_ligand_409     4.76    
1bcu_ligand_410     5.44    
1bcu_ligand_412     4.92    
1bcu_ligand_415     4.96    
1bcu_ligand_416     5.11    
1bcu_ligand_420     5.40    
1bcu_ligand_421     5.24    
1bcu_ligand_429     5.16    
1bcu_ligand_432     5.18    
1bcu_ligand_433     5.20    
1bcu_ligand_444     4.90    
1bcu_ligand_445     5.44    
1bcu_ligand_446     5.04    
1bcu_ligand_451     6.32    
1bcu_ligand_452     5.46    
1bcu_ligand_459     5.86    
1bcu_ligand_467     5.33    
1bcu_ligand_472     5.45    
1bcu_ligand_473     5.71    
1bcu_ligand_474     5.23    
1bcu_ligand_481     4.74    
1bcu_ligand_494     4.93    
1bcu_ligand_499     4.90    
1bcu_ligand_500     5.06    
1bcu_ligand_68      6.00    
1bcu_ligand_7       5.78    
1bcu_ligand_97      5.72    
1bzc_ligand_10      5.33    
1bzc_ligand_102     5.41    
1bzc_ligand_108     5.40    
1bzc_ligand_11      5.82    
1bzc_ligand_110     5.76    
1bzc_ligand_115     5.35    
1bzc_ligand_119     5.38    
1bzc_ligand_125     5.20    
1bzc_ligand_126     5.40    
1bzc_ligand_127     5.22    
1bzc_ligand_128     5.31    
1bzc_ligand_131     5.93    
1bzc_ligand_133     5.71    
1bzc_ligand_140     5.87    
1bzc_ligand_144     4.80    
1bzc_ligand_146     5.27    
1bzc_ligand_149     5.66    
1bzc_ligand_15      5.23    
1bzc_ligand_151     6.07    
1bzc_ligand_157     5.88    
1bzc_ligand_158     6.01    
1bzc_ligand_176     6.00    
1bzc_ligand_178     6.23    
1bzc_ligand_188     6.16    
1bzc_ligand_191     6.29    
1bzc_ligand_197     5.26    
1bzc_ligand_198     6.05    
1bzc_ligand_202     5.36    
1bzc_ligand_203     5.25    
1bzc_ligand_207     4.99    
1bzc_ligand_210     5.48    
1bzc_ligand_212     5.00    
1bzc_ligand_214     4.97    
1bzc_ligand_216     5.24    
1bzc_ligand_222     5.45    
1bzc_ligand_225     4.87    
1bzc_ligand_232     5.37    
1bzc_ligand_233     5.48    
1bzc_ligand_235     5.10    
1bzc_ligand_236     5.38    
1bzc_ligand_238     5.09    
1bzc_ligand_240     5.06    
1bzc_ligand_244     5.10    
1bzc_ligand_245     5.09    
1bzc_ligand_248     5.24    
1bzc_ligand_25      5.36    
1bzc_ligand_255     5.52    
1bzc_ligand_259     5.39    
1bzc_ligand_262     5.45    
1bzc_ligand_267     5.10    
1bzc_ligand_271     6.11    
1bzc_ligand_274     5.09    
1bzc_ligand_289     6.44    
1bzc_ligand_291     5.27    
1bzc_ligand_292     5.19    
1bzc_ligand_293     5.26    
1bzc_ligand_295     5.76    
1bzc_ligand_299     5.92    
1bzc_ligand_30      5.01    
1bzc_ligand_300     5.58    
1bzc_ligand_308     5.84    
1bzc_ligand_314     5.49    
1bzc_ligand_315     6.06    
1bzc_ligand_323     5.01    
1bzc_ligand_326     5.34    
1bzc_ligand_331     5.95    
1bzc_ligand_332     5.93    
1bzc_ligand_334     5.67    
1bzc_ligand_336     5.44    
1bzc_ligand_339     5.46    
1bzc_ligand_340     6.10    
1bzc_ligand_351     6.10    
1bzc_ligand_366     5.13    
1bzc_ligand_369     5.31    
1bzc_ligand_37      4.79    
1bzc_ligand_382     5.79    
1bzc_ligand_384     5.31    
1bzc_ligand_389     5.32    
1bzc_ligand_398     4.97    
1bzc_ligand_40      5.58    
1bzc_ligand_43      5.43    
1bzc_ligand_436     5.40    
1bzc_ligand_438     5.41    
1bzc_ligand_44      5.35    
1bzc_ligand_451     5.26    
1bzc_ligand_463     5.48    
1bzc_ligand_468     5.20    
1bzc_ligand_470     5.03    
1bzc_ligand_474     6.06    
1bzc_ligand_479     5.51    
1bzc_ligand_52      5.13    
1bzc_ligand_56      5.43    
1bzc_ligand_58      4.50    
1bzc_ligand_59      5.88    
1bzc_ligand_6       4.90    
1bzc_ligand_66      4.60    
1bzc_ligand_67      5.72    
1bzc_ligand_68      5.26    
1bzc_ligand_72      5.27    
1bzc_ligand_87      5.50    
1c5z_ligand_111     5.43    
1c5z_ligand_117     5.02    
1c5z_ligand_12      5.39    
1c5z_ligand_143     5.10    
1c5z_ligand_152     4.90    
1c5z_ligand_153     4.88    
1c5z_ligand_162     5.01    
1c5z_ligand_163     5.10    
1c5z_ligand_164     5.14    
1c5z_ligand_165     4.97    
1c5z_ligand_168     4.91    
1c5z_ligand_169     5.02    
1c5z_ligand_170     5.08    
1c5z_ligand_172     4.87    
1c5z_ligand_174     5.02    
1c5z_ligand_177     5.26    
1c5z_ligand_179     4.99    
1c5z_ligand_181     5.27    
1c5z_ligand_189     4.81    
1c5z_ligand_191     5.27    
1c5z_ligand_192     4.87    
1c5z_ligand_194     5.09    
1c5z_ligand_198     5.36    
1c5z_ligand_204     5.39    
1c5z_ligand_207     5.07    
1c5z_ligand_209     5.26    
1c5z_ligand_211     5.34    
1c5z_ligand_213     5.42    
1c5z_ligand_218     5.17    
1c5z_ligand_225     5.32    
1c5z_ligand_227     5.02    
1c5z_ligand_231     5.41    
1c5z_ligand_232     5.35    
1c5z_ligand_233     5.32    
1c5z_ligand_234     5.31    
1c5z_ligand_238     4.98    
1c5z_ligand_239     5.34    
1c5z_ligand_240     5.09    
1c5z_ligand_246     5.25    
1c5z_ligand_248     5.01    
1c5z_ligand_249     5.10    
1c5z_ligand_255     5.46    
1c5z_ligand_256     4.68    
1c5z_ligand_259     4.89    
1c5z_ligand_260     5.03    
1c5z_ligand_262     5.23    
1c5z_ligand_264     5.08    
1c5z_ligand_268     5.12    
1c5z_ligand_269     5.08    
1c5z_ligand_271     4.77    
1c5z_ligand_272     5.02    
1c5z_ligand_273     5.01    
1c5z_ligand_275     5.03    
1c5z_ligand_282     4.65    
1c5z_ligand_283     5.13    
1c5z_ligand_284     4.92    
1c5z_ligand_285     5.05    
1c5z_ligand_286     4.74    
1c5z_ligand_292     4.75    
1c5z_ligand_293     4.98    
1c5z_ligand_294     5.16    
1c5z_ligand_295     5.09    
1c5z_ligand_299     4.61    
1c5z_ligand_302     5.32    
1c5z_ligand_306     4.68    
1c5z_ligand_307     4.89    
1c5z_ligand_312     4.86    
1c5z_ligand_318     4.83    
1c5z_ligand_326     4.94    
1c5z_ligand_327     5.15    
1c5z_ligand_328     5.30    
1c5z_ligand_329     5.00    
1c5z_ligand_331     5.49    
1c5z_ligand_333     5.02    
1c5z_ligand_334     4.66    
1c5z_ligand_338     4.87    
1c5z_ligand_342     4.89    
1c5z_ligand_344     4.88    
1c5z_ligand_345     5.05    
1c5z_ligand_347     4.95    
1c5z_ligand_349     4.93    
1c5z_ligand_355     5.29    
1c5z_ligand_356     4.72    
1c5z_ligand_359     4.78    
1c5z_ligand_363     4.57    
1c5z_ligand_367     4.85    
1c5z_ligand_368     4.82    
1c5z_ligand_371     4.36    
1c5z_ligand_381     4.93    
1c5z_ligand_384     4.39    
1c5z_ligand_393     4.51    
1c5z_ligand_395     4.35    
1c5z_ligand_397     4.51    
1c5z_ligand_398     4.35    
1c5z_ligand_420     4.91    
1c5z_ligand_429     5.09    
1c5z_ligand_462     4.79    
1c5z_ligand_469     5.28    
1c5z_ligand_75      5.25    
1c5z_ligand_81      5.12    
1e66_ligand_128     6.03    
1e66_ligand_151     5.96    
1e66_ligand_157     6.09    
1e66_ligand_162     6.02    
1e66_ligand_164     6.13    
1e66_ligand_166     5.76    
1e66_ligand_168     5.83    
1e66_ligand_174     5.51    
1e66_ligand_180     5.92    
1e66_ligand_183     6.01    
1e66_ligand_188     6.05    
1e66_ligand_192     5.73    
1e66_ligand_193     5.96    
1e66_ligand_198     5.93    
1e66_ligand_200     5.61    
1e66_ligand_202     6.37    
1e66_ligand_207     5.95    
1e66_ligand_208     6.10    
1e66_ligand_210     6.49    
1e66_ligand_213     5.96    
1e66_ligand_214     6.00    
1e66_ligand_216     5.87    
1e66_ligand_217     5.70    
1e66_ligand_219     6.03    
1e66_ligand_220     5.79    
1e66_ligand_224     5.90    
1e66_ligand_231     5.83    
1e66_ligand_236     6.03    
1e66_ligand_240     6.12    
1e66_ligand_246     5.57    
1e66_ligand_248     5.60    
1e66_ligand_249     6.08    
1e66_ligand_250     5.79    
1e66_ligand_261     5.87    
1e66_ligand_266     6.36    
1e66_ligand_268     6.51    
1e66_ligand_269     5.91    
1e66_ligand_270     5.62    
1e66_ligand_274     5.89    
1e66_ligand_275     5.47    
1e66_ligand_276     5.71    
1e66_ligand_281     5.76    
1e66_ligand_285     5.56    
1e66_ligand_288     5.68    
1e66_ligand_291     5.82    
1e66_ligand_294     6.24    
1e66_ligand_295     6.21    
1e66_ligand_296     6.42    
1e66_ligand_297     5.38    
1e66_ligand_301     6.08    
1e66_ligand_317     6.36    
1e66_ligand_320     6.07    
1e66_ligand_331     5.73    
1e66_ligand_332     5.99    
1e66_ligand_333     6.32    
1e66_ligand_334     6.44    
1e66_ligand_339     5.87    
1e66_ligand_348     5.38    
1e66_ligand_351     5.69    
1e66_ligand_355     5.55    
1e66_ligand_357     5.33    
1e66_ligand_358     5.99    
1e66_ligand_359     6.48    
1e66_ligand_362     5.01    
1e66_ligand_366     5.04    
1e66_ligand_372     6.06    
1e66_ligand_374     5.99    
1e66_ligand_377     5.86    
1e66_ligand_378     4.84    
1e66_ligand_380     6.24    
1e66_ligand_382     6.00    
1e66_ligand_384     5.56    
1e66_ligand_385     5.93    
1e66_ligand_386     5.45    
1e66_ligand_390     5.35    
1e66_ligand_393     5.69    
1e66_ligand_394     4.81    
1e66_ligand_395     4.85    
1e66_ligand_406     5.40    
1e66_ligand_41      5.86    
1e66_ligand_413     5.44    
1e66_ligand_439     5.69    
1e66_ligand_444     5.70    
1e66_ligand_446     5.02    
1e66_ligand_447     5.96    
1e66_ligand_448     5.08    
1e66_ligand_449     5.45    
1e66_ligand_45      6.13    
1e66_ligand_453     6.35    
1e66_ligand_463     5.00    
1e66_ligand_466     5.80    
1e66_ligand_473     5.14    
1e66_ligand_477     5.67    
1e66_ligand_488     5.53    
1e66_ligand_62      5.89    
1e66_ligand_63      5.88    
1e66_ligand_67      6.18    
1e66_ligand_76      6.37    
1e66_ligand_87      6.41    
1e66_ligand_97      6.71    
