#code_ligand_num    score   
1a30_ligand_10      5.69    
1a30_ligand_103     4.82    
1a30_ligand_106     5.59    
1a30_ligand_107     5.32    
1a30_ligand_111     5.68    
1a30_ligand_119     5.59    
1a30_ligand_121     5.60    
1a30_ligand_123     5.65    
1a30_ligand_128     5.04    
1a30_ligand_130     5.43    
1a30_ligand_159     5.01    
1a30_ligand_163     5.12    
1a30_ligand_167     5.38    
1a30_ligand_173     5.25    
1a30_ligand_176     5.68    
1a30_ligand_179     5.55    
1a30_ligand_181     5.20    
1a30_ligand_182     5.20    
1a30_ligand_195     5.26    
1a30_ligand_209     4.89    
1a30_ligand_214     5.47    
1a30_ligand_217     4.86    
1a30_ligand_22      5.53    
1a30_ligand_220     4.98    
1a30_ligand_221     4.91    
1a30_ligand_222     4.45    
1a30_ligand_223     4.78    
1a30_ligand_224     5.43    
1a30_ligand_228     4.81    
1a30_ligand_230     4.82    
1a30_ligand_232     4.99    
1a30_ligand_235     4.65    
1a30_ligand_236     5.85    
1a30_ligand_238     5.21    
1a30_ligand_239     4.50    
1a30_ligand_247     5.02    
1a30_ligand_257     4.74    
1a30_ligand_258     5.47    
1a30_ligand_259     4.91    
1a30_ligand_264     5.46    
1a30_ligand_266     5.48    
1a30_ligand_279     5.48    
1a30_ligand_284     5.61    
1a30_ligand_288     5.01    
1a30_ligand_29      6.00    
1a30_ligand_291     4.92    
1a30_ligand_292     4.71    
1a30_ligand_294     4.92    
1a30_ligand_300     5.71    
1a30_ligand_305     4.86    
1a30_ligand_306     5.15    
1a30_ligand_313     4.80    
1a30_ligand_315     4.73    
1a30_ligand_321     4.59    
1a30_ligand_324     4.77    
1a30_ligand_325     4.66    
1a30_ligand_326     4.82    
1a30_ligand_33      5.61    
1a30_ligand_330     5.04    
1a30_ligand_336     4.77    
1a30_ligand_34      5.82    
1a30_ligand_340     4.98    
1a30_ligand_342     4.86    
1a30_ligand_349     5.22    
1a30_ligand_352     4.83    
1a30_ligand_36      5.46    
1a30_ligand_364     4.95    
1a30_ligand_365     5.08    
1a30_ligand_366     5.04    
1a30_ligand_370     5.46    
1a30_ligand_371     5.47    
1a30_ligand_38      5.72    
1a30_ligand_382     5.14    
1a30_ligand_383     5.36    
1a30_ligand_387     5.88    
1a30_ligand_394     5.62    
1a30_ligand_397     5.16    
1a30_ligand_399     5.53    
1a30_ligand_4       5.04    
1a30_ligand_408     5.62    
1a30_ligand_41      5.12    
1a30_ligand_417     5.51    
1a30_ligand_429     5.12    
1a30_ligand_448     5.11    
1a30_ligand_449     4.95    
1a30_ligand_45      5.31    
1a30_ligand_48      5.42    
1a30_ligand_483     5.39    
1a30_ligand_49      5.32    
1a30_ligand_50      5.73    
1a30_ligand_56      5.24    
1a30_ligand_58      5.42    
1a30_ligand_61      5.36    
1a30_ligand_71      5.67    
1a30_ligand_74      5.13    
1a30_ligand_78      5.91    
1a30_ligand_81      4.96    
1a30_ligand_83      5.60    
1a30_ligand_9       5.54    
1a30_ligand_96      5.42    
1bcu_ligand_152     5.65    
1bcu_ligand_153     5.66    
1bcu_ligand_155     5.50    
1bcu_ligand_161     5.47    
1bcu_ligand_171     5.72    
1bcu_ligand_176     5.64    
1bcu_ligand_185     5.39    
1bcu_ligand_186     5.94    
1bcu_ligand_187     5.98    
1bcu_ligand_194     5.66    
1bcu_ligand_197     5.98    
1bcu_ligand_204     5.87    
1bcu_ligand_210     6.12    
1bcu_ligand_225     6.19    
1bcu_ligand_232     6.00    
1bcu_ligand_235     6.27    
1bcu_ligand_236     6.12    
1bcu_ligand_241     6.03    
1bcu_ligand_248     6.09    
1bcu_ligand_249     5.84    
1bcu_ligand_252     5.38    
1bcu_ligand_254     5.00    
1bcu_ligand_259     5.34    
1bcu_ligand_266     6.09    
1bcu_ligand_270     5.97    
1bcu_ligand_277     5.22    
1bcu_ligand_284     5.79    
1bcu_ligand_294     5.26    
1bcu_ligand_296     5.63    
1bcu_ligand_302     5.44    
1bcu_ligand_303     6.15    
1bcu_ligand_308     5.40    
1bcu_ligand_309     5.20    
1bcu_ligand_312     5.55    
1bcu_ligand_316     5.80    
1bcu_ligand_317     6.41    
1bcu_ligand_319     6.22    
1bcu_ligand_325     5.99    
1bcu_ligand_327     6.22    
1bcu_ligand_335     6.09    
1bcu_ligand_337     6.08    
1bcu_ligand_338     6.20    
1bcu_ligand_340     5.92    
1bcu_ligand_341     6.02    
1bcu_ligand_349     5.41    
1bcu_ligand_351     6.38    
1bcu_ligand_355     6.13    
1bcu_ligand_356     5.20    
1bcu_ligand_358     5.18    
1bcu_ligand_362     5.52    
1bcu_ligand_363     6.15    
1bcu_ligand_365     5.95    
1bcu_ligand_366     5.41    
1bcu_ligand_367     5.96    
1bcu_ligand_372     5.23    
1bcu_ligand_373     5.94    
1bcu_ligand_374     5.85    
1bcu_ligand_376     5.16    
1bcu_ligand_377     5.26    
