#code_ligand_num    score   
1a30_ligand_103     5.55    
1a30_ligand_115     6.10    
1a30_ligand_118     5.51    
1a30_ligand_12      5.73    
1a30_ligand_128     5.71    
1a30_ligand_129     5.68    
1a30_ligand_134     5.93    
1a30_ligand_135     5.78    
1a30_ligand_142     5.97    
1a30_ligand_146     5.62    
1a30_ligand_153     5.54    
1a30_ligand_157     5.17    
1a30_ligand_158     4.92    
1a30_ligand_159     5.47    
1a30_ligand_160     5.20    
1a30_ligand_161     5.19    
1a30_ligand_164     5.31    
1a30_ligand_167     5.25    
1a30_ligand_169     5.24    
1a30_ligand_170     5.25    
1a30_ligand_171     5.04    
1a30_ligand_172     5.32    
1a30_ligand_175     5.68    
1a30_ligand_178     5.14    
1a30_ligand_186     4.98    
1a30_ligand_188     5.11    
1a30_ligand_191     5.12    
1a30_ligand_192     5.41    
1a30_ligand_194     5.10    
1a30_ligand_196     5.45    
1a30_ligand_198     5.57    
1a30_ligand_209     5.35    
1a30_ligand_210     5.42    
1a30_ligand_211     5.38    
1a30_ligand_216     5.40    
1a30_ligand_217     5.57    
1a30_ligand_218     5.52    
1a30_ligand_219     5.33    
1a30_ligand_220     5.38    
1a30_ligand_221     5.22    
1a30_ligand_222     4.99    
1a30_ligand_224     5.36    
1a30_ligand_227     4.94    
1a30_ligand_228     5.18    
1a30_ligand_230     5.13    
1a30_ligand_231     5.32    
1a30_ligand_232     5.13    
1a30_ligand_234     5.56    
1a30_ligand_235     4.99    
1a30_ligand_237     5.02    
1a30_ligand_239     5.27    
1a30_ligand_240     5.55    
1a30_ligand_245     5.12    
1a30_ligand_246     4.82    
1a30_ligand_248     5.24    
1a30_ligand_249     5.65    
1a30_ligand_250     5.68    
1a30_ligand_273     5.22    
1a30_ligand_276     5.19    
1a30_ligand_280     5.29    
1a30_ligand_284     5.27    
1a30_ligand_290     5.06    
1a30_ligand_293     5.37    
1a30_ligand_295     5.30    
1a30_ligand_296     5.33    
1a30_ligand_297     5.53    
1a30_ligand_300     4.89    
1a30_ligand_322     5.19    
1a30_ligand_324     5.31    
1a30_ligand_328     5.55    
1a30_ligand_330     5.39    
1a30_ligand_333     5.01    
1a30_ligand_334     5.12    
1a30_ligand_335     5.28    
1a30_ligand_338     5.31    
1a30_ligand_34      5.86    
1a30_ligand_341     5.15    
1a30_ligand_346     5.05    
1a30_ligand_348     5.22    
1a30_ligand_35      5.83    
1a30_ligand_350     5.48    
1a30_ligand_373     5.48    
1a30_ligand_374     5.87    
1a30_ligand_391     5.26    
1a30_ligand_395     5.57    
1a30_ligand_400     5.46    
1a30_ligand_402     5.86    
1a30_ligand_415     5.52    
1a30_ligand_443     5.54    
1a30_ligand_448     5.37    
1a30_ligand_482     5.92    
1a30_ligand_486     5.65    
1a30_ligand_498     5.39    
1a30_ligand_57      5.55    
1a30_ligand_66      5.75    
1a30_ligand_71      5.75    
1a30_ligand_76      5.83    
1a30_ligand_87      5.91    
1a30_ligand_96      5.88    
1a30_ligand_99      5.81    
1bcu_ligand_1       6.29    
1bcu_ligand_100     6.25    
1bcu_ligand_102     6.21    
1bcu_ligand_109     6.40    
1bcu_ligand_11      6.37    
1bcu_ligand_110     6.46    
1bcu_ligand_111     6.54    
1bcu_ligand_113     6.28    
1bcu_ligand_114     6.46    
1bcu_ligand_119     6.18    
1bcu_ligand_120     6.35    
1bcu_ligand_122     6.37    
1bcu_ligand_123     6.18    
1bcu_ligand_128     6.43    
1bcu_ligand_131     6.41    
1bcu_ligand_135     6.29    
1bcu_ligand_138     6.50    
1bcu_ligand_140     6.35    
1bcu_ligand_141     6.27    
1bcu_ligand_142     6.32    
1bcu_ligand_143     6.41    
1bcu_ligand_144     6.45    
1bcu_ligand_145     6.23    
1bcu_ligand_146     6.26    
1bcu_ligand_151     6.01    
1bcu_ligand_152     6.11    
1bcu_ligand_153     6.34    
1bcu_ligand_154     5.97    
1bcu_ligand_155     6.09    
1bcu_ligand_16      6.45    
1bcu_ligand_17      6.49    
1bcu_ligand_18      6.29    
1bcu_ligand_189     6.40    
1bcu_ligand_19      6.33    
1bcu_ligand_190     5.98    
1bcu_ligand_192     6.16    
1bcu_ligand_193     6.45    
1bcu_ligand_194     6.48    
1bcu_ligand_195     6.29    
1bcu_ligand_197     6.45    
1bcu_ligand_198     6.29    
1bcu_ligand_199     6.59    
1bcu_ligand_2       6.48    
1bcu_ligand_202     6.38    
1bcu_ligand_204     6.23    
1bcu_ligand_205     6.27    
1bcu_ligand_206     6.04    
1bcu_ligand_207     6.32    
1bcu_ligand_208     6.35    
1bcu_ligand_209     6.38    
1bcu_ligand_210     6.37    
1bcu_ligand_211     6.39    
1bcu_ligand_212     6.37    
1bcu_ligand_213     6.32    
1bcu_ligand_218     5.92    
1bcu_ligand_219     6.48    
1bcu_ligand_220     6.35    
1bcu_ligand_228     6.35    
1bcu_ligand_232     5.85    
1bcu_ligand_24      6.56    
1bcu_ligand_240     6.22    
1bcu_ligand_242     6.13    
1bcu_ligand_246     5.96    
1bcu_ligand_252     6.07    
1bcu_ligand_255     6.10    
1bcu_ligand_256     5.91    
1bcu_ligand_259     5.89    
1bcu_ligand_26      6.24    
1bcu_ligand_260     5.84    
1bcu_ligand_263     6.03    
1bcu_ligand_264     5.66    
1bcu_ligand_266     6.07    
1bcu_ligand_269     5.97    
1bcu_ligand_27      6.46    
1bcu_ligand_29      6.42    
1bcu_ligand_3       6.33    
1bcu_ligand_31      6.49    
1bcu_ligand_35      6.25    
1bcu_ligand_39      6.42    
1bcu_ligand_47      6.32    
1bcu_ligand_5       6.43    
1bcu_ligand_52      6.40    
1bcu_ligand_53      6.33    
1bcu_ligand_54      6.38    
1bcu_ligand_55      6.27    
1bcu_ligand_59      6.33    
1bcu_ligand_61      6.45    
1bcu_ligand_62      6.38    
1bcu_ligand_65      6.30    
1bcu_ligand_69      6.33    
1bcu_ligand_7       6.46    
1bcu_ligand_71      6.20    
1bcu_ligand_75      6.16    
1bcu_ligand_78      6.26    
1bcu_ligand_8       6.56    
1bcu_ligand_81      6.15    
1bcu_ligand_83      6.47    
1bcu_ligand_85      6.51    
1bcu_ligand_95      6.44    
1bcu_ligand_99      6.48    
1bzc_ligand_100     6.68    
1bzc_ligand_101     6.70    
1bzc_ligand_103     6.96    
1bzc_ligand_108     6.85    
1bzc_ligand_113     6.71    
1bzc_ligand_116     6.83    
1bzc_ligand_122     7.18    
1bzc_ligand_131     6.98    
1bzc_ligand_132     6.75    
1bzc_ligand_137     7.04    
1bzc_ligand_140     6.88    
1bzc_ligand_144     6.88    
1bzc_ligand_152     6.02    
1bzc_ligand_160     5.58    
1bzc_ligand_167     6.03    
1bzc_ligand_169     6.23    
1bzc_ligand_170     6.04    
1bzc_ligand_173     5.94    
1bzc_ligand_174     6.05    
1bzc_ligand_175     5.98    
1bzc_ligand_176     5.96    
1bzc_ligand_178     5.80    
1bzc_ligand_179     5.73    
1bzc_ligand_180     6.08    
1bzc_ligand_184     5.84    
1bzc_ligand_188     5.87    
1bzc_ligand_190     5.99    
1bzc_ligand_192     6.08    
1bzc_ligand_194     5.78    
1bzc_ligand_196     6.20    
1bzc_ligand_2       6.68    
1bzc_ligand_200     5.77    
1bzc_ligand_202     5.46    
1bzc_ligand_205     5.75    
1bzc_ligand_209     6.10    
1bzc_ligand_211     5.98    
1bzc_ligand_214     6.38    
1bzc_ligand_218     5.98    
1bzc_ligand_219     5.44    
1bzc_ligand_225     6.05    
1bzc_ligand_228     5.88    
1bzc_ligand_229     5.84    
1bzc_ligand_23      6.78    
1bzc_ligand_231     6.20    
1bzc_ligand_233     6.17    
1bzc_ligand_235     6.01    
1bzc_ligand_236     5.36    
1bzc_ligand_240     6.27    
1bzc_ligand_241     5.69    
1bzc_ligand_243     6.10    
1bzc_ligand_244     6.23    
1bzc_ligand_245     5.79    
1bzc_ligand_246     6.50    
1bzc_ligand_249     5.78    
1bzc_ligand_273     6.19    
1bzc_ligand_278     6.41    
1bzc_ligand_290     5.82    
1bzc_ligand_292     6.29    
1bzc_ligand_300     6.12    
1bzc_ligand_31      6.80    
1bzc_ligand_311     6.21    
1bzc_ligand_317     5.99    
1bzc_ligand_325     6.09    
1bzc_ligand_328     5.91    
1bzc_ligand_330     6.30    
1bzc_ligand_334     5.91    
1bzc_ligand_346     5.81    
1bzc_ligand_354     6.73    
1bzc_ligand_357     6.60    
1bzc_ligand_360     6.50    
1bzc_ligand_361     6.69    
1bzc_ligand_365     6.56    
1bzc_ligand_366     6.33    
1bzc_ligand_367     6.36    
1bzc_ligand_374     6.90    
1bzc_ligand_377     6.48    
1bzc_ligand_385     6.55    
1bzc_ligand_391     6.74    
1bzc_ligand_394     5.89    
1bzc_ligand_396     6.78    
1bzc_ligand_398     6.71    
1bzc_ligand_399     5.95    
1bzc_ligand_4       6.58    
1bzc_ligand_400     6.18    
1bzc_ligand_410     5.94    
1bzc_ligand_413     6.62    
1bzc_ligand_423     6.43    
1bzc_ligand_43      6.73    
1bzc_ligand_446     5.85    
1bzc_ligand_452     6.16    
1bzc_ligand_499     5.79    
1bzc_ligand_68      6.65    
1bzc_ligand_69      6.83    
1bzc_ligand_70      6.73    
1bzc_ligand_71      6.89    
1bzc_ligand_74      6.98    
1bzc_ligand_88      7.06    
1bzc_ligand_89      6.72    
1bzc_ligand_90      6.66    
1bzc_ligand_99      6.72    
1c5z_ligand_102     5.99    
1c5z_ligand_120     6.04    
1c5z_ligand_129     6.04    
1c5z_ligand_133     6.06    
1c5z_ligand_139     5.99    
1c5z_ligand_14      6.06    
1c5z_ligand_163     5.47    
1c5z_ligand_172     5.53    
1c5z_ligand_184     5.49    
1c5z_ligand_188     5.67    
1c5z_ligand_189     5.56    
1c5z_ligand_190     5.86    
1c5z_ligand_191     5.71    
1c5z_ligand_192     5.32    
1c5z_ligand_193     5.16    
1c5z_ligand_194     5.56    
1c5z_ligand_195     5.47    
1c5z_ligand_196     5.21    
1c5z_ligand_197     5.41    
1c5z_ligand_198     5.45    
1c5z_ligand_199     5.43    
1c5z_ligand_200     6.05    
1c5z_ligand_201     5.76    
1c5z_ligand_203     5.99    
1c5z_ligand_204     5.78    
1c5z_ligand_205     5.98    
1c5z_ligand_206     5.95    
1c5z_ligand_207     5.88    
1c5z_ligand_208     5.75    
1c5z_ligand_209     5.51    
1c5z_ligand_21      5.99    
1c5z_ligand_210     5.71    
1c5z_ligand_211     5.62    
1c5z_ligand_212     5.56    
1c5z_ligand_214     5.55    
1c5z_ligand_215     5.59    
1c5z_ligand_217     5.46    
1c5z_ligand_218     5.60    
1c5z_ligand_219     5.56    
1c5z_ligand_220     5.66    
1c5z_ligand_221     5.55    
1c5z_ligand_222     5.47    
1c5z_ligand_223     5.46    
1c5z_ligand_224     5.55    
1c5z_ligand_226     5.55    
1c5z_ligand_227     5.65    
1c5z_ligand_228     5.46    
1c5z_ligand_229     5.61    
1c5z_ligand_23      6.02    
1c5z_ligand_230     5.65    
1c5z_ligand_231     5.62    
1c5z_ligand_232     5.84    
1c5z_ligand_233     5.83    
1c5z_ligand_234     5.41    
1c5z_ligand_236     5.33    
1c5z_ligand_237     5.53    
1c5z_ligand_238     5.26    
1c5z_ligand_239     5.52    
1c5z_ligand_240     5.78    
1c5z_ligand_242     5.37    
1c5z_ligand_243     5.60    
1c5z_ligand_246     5.67    
1c5z_ligand_247     5.51    
1c5z_ligand_248     5.28    
1c5z_ligand_250     5.31    
1c5z_ligand_270     5.37    
1c5z_ligand_272     5.38    
1c5z_ligand_279     5.76    
1c5z_ligand_28      6.06    
1c5z_ligand_280     5.57    
1c5z_ligand_284     5.78    
1c5z_ligand_286     5.54    
1c5z_ligand_291     5.69    
1c5z_ligand_292     5.69    
1c5z_ligand_293     5.66    
1c5z_ligand_294     5.20    
1c5z_ligand_3       5.95    
1c5z_ligand_32      6.01    
1c5z_ligand_331     5.38    
1c5z_ligand_35      6.08    
1c5z_ligand_368     5.58    
1c5z_ligand_372     5.67    
1c5z_ligand_375     5.93    
1c5z_ligand_379     5.73    
1c5z_ligand_386     5.64    
1c5z_ligand_394     5.58    
1c5z_ligand_396     5.76    
1c5z_ligand_399     5.69    
1c5z_ligand_400     5.92    
1c5z_ligand_413     5.99    
1c5z_ligand_46      6.02    
1c5z_ligand_469     6.05    
1c5z_ligand_477     5.67    
1c5z_ligand_6       6.07    
1c5z_ligand_63      5.99    
1c5z_ligand_7       6.00    
1c5z_ligand_73      6.03    
1c5z_ligand_80      6.08    
1c5z_ligand_82      6.05    
1c5z_ligand_86      6.08    
1e66_ligand_103     6.76    
1e66_ligand_110     6.91    
1e66_ligand_12      6.93    
1e66_ligand_120     6.72    
1e66_ligand_132     7.16    
1e66_ligand_152     4.07    
1e66_ligand_160     4.07    
1e66_ligand_166     4.07    
1e66_ligand_175     4.07    
1e66_ligand_179     4.07    
1e66_ligand_181     4.07    
1e66_ligand_184     4.07    
1e66_ligand_186     4.07    
1e66_ligand_190     4.07    
1e66_ligand_192     4.07    
1e66_ligand_193     4.07    
1e66_ligand_195     4.07    
1e66_ligand_197     4.07    
1e66_ligand_198     4.07    
1e66_ligand_199     4.07    
1e66_ligand_200     4.07    
1e66_ligand_201     4.07    
1e66_ligand_202     4.07    
1e66_ligand_205     4.07    
1e66_ligand_211     4.07    
1e66_ligand_214     4.07    
1e66_ligand_217     4.07    
1e66_ligand_218     4.07    
1e66_ligand_219     4.07    
1e66_ligand_220     4.07    
1e66_ligand_221     4.07    
1e66_ligand_222     4.07    
1e66_ligand_225     4.07    
1e66_ligand_226     4.07    
1e66_ligand_228     4.07    
1e66_ligand_230     4.07    
1e66_ligand_232     4.07    
1e66_ligand_234     4.07    
1e66_ligand_236     4.07    
1e66_ligand_238     4.07    
1e66_ligand_242     4.07    
1e66_ligand_243     4.07    
1e66_ligand_246     4.07    
1e66_ligand_247     4.07    
1e66_ligand_248     4.07    
1e66_ligand_249     4.07    
1e66_ligand_250     4.07    
1e66_ligand_254     4.07    
1e66_ligand_263     4.07    
1e66_ligand_264     4.07    
1e66_ligand_267     4.07    
1e66_ligand_268     4.07    
1e66_ligand_272     4.07    
1e66_ligand_274     4.07    
1e66_ligand_275     4.07    
1e66_ligand_276     4.07    
1e66_ligand_281     4.07    
1e66_ligand_285     4.07    
1e66_ligand_286     4.07    
1e66_ligand_287     4.07    
1e66_ligand_288     4.07    
1e66_ligand_29      7.25    
1e66_ligand_295     4.07    
1e66_ligand_296     4.07    
1e66_ligand_297     4.07    
1e66_ligand_298     4.07    
1e66_ligand_299     4.07    
1e66_ligand_3       7.05    
1e66_ligand_300     4.07    
1e66_ligand_309     4.07    
1e66_ligand_32      6.95    
1e66_ligand_326     4.07    
1e66_ligand_333     4.07    
1e66_ligand_335     4.07    
1e66_ligand_341     4.07    
1e66_ligand_349     4.07    
1e66_ligand_350     4.07    
1e66_ligand_37      6.94    
1e66_ligand_370     7.05    
1e66_ligand_383     6.63    
1e66_ligand_389     6.73    
1e66_ligand_390     6.79    
1e66_ligand_391     6.89    
1e66_ligand_392     7.14    
1e66_ligand_397     6.95    
1e66_ligand_398     6.89    
1e66_ligand_399     7.11    
1e66_ligand_420     7.15    
1e66_ligand_430     6.92    
1e66_ligand_435     6.82    
1e66_ligand_436     6.99    
1e66_ligand_442     6.92    
1e66_ligand_448     6.96    
1e66_ligand_473     7.00    
1e66_ligand_498     6.69    
1e66_ligand_54      7.17    
1e66_ligand_59      7.11    
1e66_ligand_70      7.19    
1e66_ligand_9       6.99    
1e66_ligand_96      7.07    
1eby_ligand_102     7.11    
1eby_ligand_104     7.38    
1eby_ligand_105     7.35    
1eby_ligand_112     8.17    
1eby_ligand_117     7.86    
1eby_ligand_118     7.37    
1eby_ligand_132     7.25    
1eby_ligand_134     7.62    
