#code_ligand_num    score   
1eby_ligand_382     7.81    
1eby_ligand_447     7.60    
3gnw_ligand_463     7.55    
4gid_ligand_472     7.59    
1eby_ligand_399     7.58    
4gid_ligand_390     7.55    
3gnw_ligand_403     7.47    
4gid_ligand_360     7.46    
2x00_ligand_385     7.59    
3pww_ligand_394     7.04    
2vkm_ligand_380     7.57    
3pww_ligand_141     7.26    
3jvs_ligand_447     7.53    
4gid_ligand_381     7.42    
4gr0_ligand_397     7.14    
2x00_ligand_98      7.42    
4gid_ligand_357     7.30    
3pww_ligand_469     7.26    
1eby_ligand_70      7.42    
3utu_ligand_416     7.49    
2qnq_ligand_360     7.24    
3arq_ligand_78      7.51    
3pww_ligand_153     7.70    
3fur_ligand_468     7.31    
2qnq_ligand_373     7.24    
3arq_ligand_364     7.50    
4gr0_ligand_406     7.22    
4x6p_ligand_310     7.57    
2p15_ligand_377     7.69    
2x00_ligand_380     7.46    
3zso_ligand_365     7.36    
4x6p_ligand_177     7.41    
4gid_ligand_450     7.15    
1eby_ligand_101     7.34    
3arq_ligand_33      7.30    
2x00_ligand_27      7.53    
4x6p_ligand_499     7.23    
1lpg_ligand_466     7.47    
2p15_ligand_332     7.78    
3pww_ligand_308     7.42    
3gnw_ligand_173     7.33    
3uo4_ligand_487     7.61    
3pww_ligand_311     6.99    
1eby_ligand_376     7.32    
4gid_ligand_392     7.10    
3bv9_ligand_142     7.16    
3gnw_ligand_269     7.20    
2p15_ligand_250     7.59    
4w9l_ligand_406     6.90    
2vkm_ligand_470     7.29    
2p15_ligand_82      7.63    
2r9w_ligand_456     7.58    
4crc_ligand_278     7.29    
2p15_ligand_15      7.36    
2p15_ligand_353     7.43    
2x00_ligand_397     7.49    
4gid_ligand_442     7.09    
3e93_ligand_451     7.50    
3prs_ligand_477     7.06    
1k1i_ligand_135     7.23    
3gnw_ligand_296     7.33    
3gnw_ligand_165     7.24    
4gr0_ligand_465     7.12    
4x6p_ligand_183     7.28    
2yki_ligand_147     7.25    
3pww_ligand_184     7.23    
4gr0_ligand_152     6.95    
4x6p_ligand_292     7.29    
3e93_ligand_449     7.22    
4ogj_ligand_396     7.06    
2xii_ligand_120     7.28    
4rfm_ligand_409     7.33    
2p15_ligand_172     7.48    
3gnw_ligand_172     7.18    
3o9i_ligand_482     7.11    
3e93_ligand_460     7.12    
4gr0_ligand_138     6.89    
4gid_ligand_105     6.72    
2x00_ligand_348     7.67    
1eby_ligand_123     7.12    
2p4y_ligand_149     7.01    
4w9l_ligand_411     6.79    
4x6p_ligand_329     7.36    
3e93_ligand_395     7.13    
3fur_ligand_404     7.06    
3zso_ligand_500     7.26    
4x6p_ligand_307     7.42    
2x00_ligand_326     7.26    
2p4y_ligand_480     7.07    
1k1i_ligand_388     7.49    
3jvs_ligand_368     7.21    
2x00_ligand_267     7.26    
2x00_ligand_167     7.50    
2p15_ligand_292     7.46    
2yki_ligand_2       7.12    
4x6p_ligand_179     7.32    
3pww_ligand_302     7.25    
3gnw_ligand_164     7.13    
2qbp_ligand_383     7.15    
2wtv_ligand_20      7.07    
3arq_ligand_57      7.17    
3b1m_ligand_463     7.22    
2p15_ligand_253     7.48    
3uo4_ligand_370     7.37    
1nvq_ligand_313     7.34    
3jvs_ligand_394     7.13    
4gid_ligand_150     6.89    
2x00_ligand_154     7.52    
4crc_ligand_152     7.30    
4gr0_ligand_156     7.17    
2yki_ligand_129     7.17    
3b1m_ligand_191     7.42    
4qd6_ligand_107     7.06    
3e92_ligand_488     7.13    
4crc_ligand_324     7.18    
2yki_ligand_11      7.13    
3fur_ligand_483     7.01    
2p15_ligand_119     7.25    
1g2k_ligand_448     7.08    
3b1m_ligand_177     7.34    
3gnw_ligand_178     7.08    
2p15_ligand_461     7.14    
2yki_ligand_56      7.00    
4crc_ligand_287     7.18    
4x6p_ligand_312     7.07    
2wtv_ligand_17      7.08    
1eby_ligand_80      6.94    
3gnw_ligand_439     7.01    
2x00_ligand_359     7.07    
3e93_ligand_274     7.09    
3pww_ligand_160     7.23    
3arq_ligand_482     7.18    
2x00_ligand_187     7.36    
3uo4_ligand_87      7.17    
3gnw_ligand_190     7.18    
1nvq_ligand_305     7.20    
3prs_ligand_370     7.25    
2x00_ligand_182     7.43    
3e93_ligand_405     7.42    
4x6p_ligand_189     7.09    
2x00_ligand_197     7.44    
4gr0_ligand_495     6.58    
2x00_ligand_199     7.59    
3fur_ligand_357     7.00    
4w9l_ligand_396     6.95    
3uo4_ligand_335     7.31    
2qnq_ligand_398     6.97    
3uo4_ligand_433     7.30    
2vkm_ligand_351     7.03    
2p15_ligand_123     7.20    
3zso_ligand_431     6.94    
2p15_ligand_165     7.51    
4gid_ligand_468     6.77    
3gnw_ligand_175     6.99    
3zso_ligand_380     6.99    
4x6p_ligand_127     6.99    
3gnw_ligand_260     6.98    
4ogj_ligand_469     6.81    
2p15_ligand_187     7.42    
3jvs_ligand_351     7.04    
2p15_ligand_124     7.18    
3arq_ligand_327     7.25    
3utu_ligand_486     7.02    
2qbq_ligand_154     6.80    
3gnw_ligand_314     7.03    
4x6p_ligand_306     7.16    
3fur_ligand_319     6.88    
1lpg_ligand_381     7.30    
2x00_ligand_175     7.35    
3b1m_ligand_152     7.28    
3pww_ligand_280     7.05    
4w9l_ligand_162     6.90    
3uo4_ligand_170     7.24    
3qgy_ligand_18      7.05    
4qd6_ligand_5       6.98    
4wiv_ligand_119     6.87    
1eby_ligand_443     6.99    
4x6p_ligand_197     7.11    
1eby_ligand_448     6.96    
2p4y_ligand_464     6.94    
2p15_ligand_171     7.40    
1eby_ligand_169     7.52    
2vkm_ligand_135     7.13    
3zso_ligand_81      7.00    
4ogj_ligand_391     6.88    
3pww_ligand_499     6.78    
3utu_ligand_386     7.15    
3jvs_ligand_270     7.11    
2yki_ligand_268     7.22    
3fur_ligand_111     6.71    
4crc_ligand_193     7.20    
3zso_ligand_472     6.95    
3b1m_ligand_176     7.26    
2wtv_ligand_122     6.89    
4w9l_ligand_372     6.88    
2yki_ligand_395     7.13    
4wiv_ligand_307     6.99    
3prs_ligand_120     6.76    
4crc_ligand_294     7.10    
3arq_ligand_25      7.00    
4cra_ligand_51      7.04    
3jvs_ligand_171     7.17    
3b1m_ligand_276     7.08    
1g2k_ligand_462     6.94    
2qnq_ligand_405     6.83    
3pww_ligand_157     6.99    
3bv9_ligand_397     6.86    
2p15_ligand_400     7.30    
3jvs_ligand_157     6.99    
2p15_ligand_164     7.46    
4cra_ligand_191     7.12    
4cig_ligand_458     7.19    
4wiv_ligand_413     6.93    
4crc_ligand_283     7.00    
3wz8_ligand_351     7.06    
4cra_ligand_354     7.00    
1eby_ligand_404     7.09    
3nw9_ligand_458     7.09    
3e92_ligand_450     7.16    
3qgy_ligand_316     7.25    
2p15_ligand_143     6.98    
2yki_ligand_375     7.01    
2p15_ligand_35      7.10    
4crc_ligand_328     6.96    
4gid_ligand_113     6.53    
2p15_ligand_168     7.50    
2vkm_ligand_253     7.13    
3utu_ligand_459     6.89    
3gnw_ligand_157     7.19    
3pww_ligand_166     7.35    
3nw9_ligand_439     7.14    
3e93_ligand_102     6.84    
4w9l_ligand_159     6.96    
3gnw_ligand_283     6.98    
3b1m_ligand_192     7.14    
4wiv_ligand_313     6.93    
1k1i_ligand_308     7.28    
2p15_ligand_500     7.15    
4gid_ligand_234     6.97    
2x00_ligand_165     7.21    
4qd6_ligand_313     7.05    
1eby_ligand_437     6.92    
3e93_ligand_132     6.87    
1sqa_ligand_310     7.14    
3qgy_ligand_143     7.02    
4ty7_ligand_275     7.06    
1k1i_ligand_370     7.08    
2p15_ligand_192     7.29    
4qd6_ligand_252     7.06    
3arp_ligand_377     7.23    
2xbv_ligand_484     6.84    
2p15_ligand_273     7.19    
3pww_ligand_163     7.40    
3zso_ligand_434     7.01    
4x6p_ligand_170     7.19    
2wtv_ligand_153     7.21    
4ty7_ligand_367     6.97    
3prs_ligand_500     7.04    
4cra_ligand_29      6.90    
1mq6_ligand_420     6.76    
3nw9_ligand_457     7.07    
3qgy_ligand_95      6.97    
2p4y_ligand_425     6.93    
1k1i_ligand_485     6.98    
4crc_ligand_171     7.22    
2x00_ligand_93      6.95    
3gnw_ligand_224     6.92    
3zsx_ligand_474     7.19    
1lpg_ligand_409     7.27    
4ty7_ligand_152     7.04    
3arp_ligand_429     7.02    
4rfm_ligand_8       6.90    
4wiv_ligand_427     6.94    
4cra_ligand_323     7.17    
3e93_ligand_148     6.85    
2yki_ligand_90      6.81    
3b1m_ligand_166     7.28    
4gr0_ligand_57      6.58    
2x00_ligand_337     7.29    
2yki_ligand_65      6.80    
4w9l_ligand_395     6.75    
2yki_ligand_215     6.82    
3pww_ligand_192     7.08    
3pww_ligand_178     7.10    
3b1m_ligand_346     7.21    
3jvs_ligand_151     7.24    
2p15_ligand_185     7.29    
4wiv_ligand_308     6.88    
4w9l_ligand_157     6.98    
4qd6_ligand_174     7.00    
2vkm_ligand_151     7.35    
2p15_ligand_176     7.34    
2yki_ligand_439     7.01    
3jvs_ligand_310     6.85    
2p4y_ligand_387     6.94    
4crc_ligand_166     7.03    
4qd6_ligand_336     7.11    
2p15_ligand_372     7.08    
2qnq_ligand_498     6.75    
4crc_ligand_417     6.85    
2vkm_ligand_433     6.96    
4x6p_ligand_280     6.88    
1nvq_ligand_353     6.93    
3bgz_ligand_386     7.40    
4wiv_ligand_304     6.85    
4gid_ligand_101     6.42    
5dwr_ligand_364     7.04    
3e93_ligand_172     7.32    
3pww_ligand_388     6.72    
3e93_ligand_179     7.16    
2wtv_ligand_188     7.03    
4w9l_ligand_383     6.61    
2yki_ligand_442     6.91    
2p15_ligand_239     7.07    
3qgy_ligand_268     6.99    
1nvq_ligand_160     7.11    
4ty7_ligand_253     6.94    
4qd6_ligand_72      6.82    
3jvs_ligand_165     7.17    
3pww_ligand_301     6.76    
2x00_ligand_295     7.10    
1nvq_ligand_399     7.23    
3pww_ligand_177     7.04    
4wiv_ligand_337     6.90    
2qnq_ligand_152     7.08    
3e93_ligand_121     6.73    
4crc_ligand_121     6.84    
4gr0_ligand_53      6.78    
2vkm_ligand_444     6.92    
2x00_ligand_395     7.10    
3utu_ligand_395     6.96    
4cig_ligand_398     7.05    
3e93_ligand_43      6.87    
4crc_ligand_301     6.90    
2yki_ligand_33      6.80    
2x00_ligand_88      6.72    
2p15_ligand_132     6.91    
3e93_ligand_64      6.69    
1g2k_ligand_493     6.93    
3arq_ligand_179     7.06    
2zb1_ligand_493     6.92    
3zso_ligand_408     6.91    
1sqa_ligand_202     6.86    
2r9w_ligand_368     7.11    
4x6p_ligand_164     7.10    
1eby_ligand_189     7.16    
3b1m_ligand_182     6.91    
3gnw_ligand_166     6.82    
2p15_ligand_267     7.08    
4x6p_ligand_255     6.87    
1k1i_ligand_139     6.98    
3b1m_ligand_187     7.27    
1g2k_ligand_324     6.84    
2qnq_ligand_195     7.14    
2qnq_ligand_372     6.75    
3e93_ligand_153     7.19    
2qbp_ligand_450     6.89    
2x00_ligand_54      6.96    
1eby_ligand_156     7.38    
1sqa_ligand_200     7.06    
3jvs_ligand_173     6.98    
2yki_ligand_391     6.90    
4qd6_ligand_240     7.03    
2p15_ligand_162     7.37    
3gnw_ligand_196     7.04    
3gnw_ligand_199     6.85    
2yki_ligand_324     6.99    
1g2k_ligand_468     6.94    
4cig_ligand_189     7.23    
2p15_ligand_266     7.10    
2p15_ligand_294     7.25    
2p15_ligand_196     7.32    
4gr0_ligand_471     6.80    
4cra_ligand_43      6.80    
4cra_ligand_370     6.99    
1lpg_ligand_377     7.00    
4w9l_ligand_344     6.87    
2yki_ligand_281     6.99    
1lpg_ligand_490     7.01    
4wiv_ligand_137     6.89    
2p15_ligand_498     7.02    
1g2k_ligand_156     7.13    
1nvq_ligand_422     6.93    
4cig_ligand_24      7.02    
4cra_ligand_420     6.91    
2wtv_ligand_159     7.02    
2p15_ligand_179     7.38    
4qd6_ligand_257     7.06    
3ebp_ligand_489     7.10    
2p15_ligand_213     7.00    
1nvq_ligand_318     6.76    
2vkm_ligand_117     6.63    
3utu_ligand_121     6.79    
4x6p_ligand_336     6.91    
3arq_ligand_190     7.16    
3b1m_ligand_193     7.13    
4ogj_ligand_183     6.76    
1o3f_ligand_336     7.13    
4gid_ligand_413     6.54    
2yki_ligand_390     6.77    
3zso_ligand_499     6.93    
2vkm_ligand_152     7.17    
4crc_ligand_199     6.97    
4x6p_ligand_163     7.11    
3arq_ligand_241     6.92    
4ty7_ligand_335     7.02    
3uo4_ligand_388     6.93    
3uo4_ligand_336     6.96    
3qgy_ligand_305     6.94    
3bgz_ligand_39      7.07    
3bgz_ligand_15      6.89    
2wtv_ligand_137     6.80    
3e93_ligand_389     6.99    
2p15_ligand_139     6.97    
3bgz_ligand_6       6.96    
1nvq_ligand_490     6.86    
3pww_ligand_330     6.98    
3jvs_ligand_301     6.82    
3o9i_ligand_437     6.76    
3bgz_ligand_94      7.07    
3e93_ligand_164     7.18    
4wiv_ligand_309     6.88    
4crc_ligand_169     6.95    
4qd6_ligand_283     6.90    
1sqa_ligand_292     6.96    
2p15_ligand_158     7.41    
4wiv_ligand_485     6.77    
1k1i_ligand_327     7.31    
3bgz_ligand_96      7.03    
3e93_ligand_413     6.83    
2qbp_ligand_373     6.94    
1eby_ligand_12      6.68    
4cig_ligand_6       6.98    
3wz8_ligand_128     6.90    
1nvq_ligand_134     6.85    
2yki_ligand_94      6.74    
3gnw_ligand_332     6.85    
3pww_ligand_130     6.70    
3fur_ligand_303     6.73    
2p15_ligand_198     7.15    
3e92_ligand_465     6.72    
2x00_ligand_343     7.03    
1o3f_ligand_305     6.88    
4w9l_ligand_179     6.63    
3arq_ligand_264     6.77    
1oyt_ligand_359     6.91    
2yki_ligand_397     6.86    
1nvq_ligand_181     7.02    
4crc_ligand_234     6.75    
3b1m_ligand_180     7.15    
2yki_ligand_111     6.82    
1lpg_ligand_500     6.80    
3zsx_ligand_493     7.06    
1k1i_ligand_35      7.00    
2yki_ligand_402     7.05    
3jvs_ligand_350     6.92    
3arq_ligand_157     6.86    
3jvs_ligand_452     6.70    
2x00_ligand_399     6.93    
5dwr_ligand_360     6.87    
3jvs_ligand_399     6.96    
1o3f_ligand_154     7.25    
1g2k_ligand_176     7.35    
1k1i_ligand_25      6.87    
4gid_ligand_440     6.51    
3jvs_ligand_370     6.81    
4cra_ligand_396     6.89    
3fur_ligand_166     6.66    
2p15_ligand_184     7.37    
4gid_ligand_119     6.74    
3pww_ligand_475     6.73    
3tsk_ligand_388     6.90    
2vkm_ligand_429     6.84    
4crc_ligand_310     7.08    
2wtv_ligand_344     6.76    
4gid_ligand_172     7.07    
3e93_ligand_162     7.04    
3pww_ligand_492     6.56    
4w9l_ligand_222     6.69    
2yki_ligand_356     6.87    
2vkm_ligand_76      6.68    
3bv9_ligand_71      6.72    
1nvq_ligand_186     6.89    
1lpg_ligand_307     7.04    
1nvq_ligand_310     7.16    
1nvq_ligand_332     6.78    
1eby_ligand_418     6.81    
2p4y_ligand_337     6.88    
4gr0_ligand_132     6.51    
1nvq_ligand_226     6.82    
3qgy_ligand_26      6.88    
3uo4_ligand_139     7.00    
1lpg_ligand_382     7.20    
3arq_ligand_206     6.88    
3uo4_ligand_190     6.96    
3jvs_ligand_325     6.92    
4gid_ligand_270     6.84    
4qd6_ligand_3       6.81    
3e93_ligand_383     6.95    
3arp_ligand_36      6.70    
1o3f_ligand_167     7.17    
2yki_ligand_336     6.83    
4gid_ligand_446     6.62    
3arq_ligand_170     7.11    
3e92_ligand_351     6.69    
3uo4_ligand_97      6.88    
2p15_ligand_193     7.33    
4cra_ligand_7       6.77    
4wiv_ligand_282     6.77    
2p15_ligand_177     7.38    
3jvs_ligand_164     7.03    
3jvs_ligand_196     6.96    
1k1i_ligand_192     6.93    
3e92_ligand_181     6.84    
4twp_ligand_438     7.04    
4ty7_ligand_262     6.84    
2xii_ligand_143     6.77    
3e93_ligand_316     6.78    
1mq6_ligand_472     6.60    
