#code_ligand_num    score   
1a30_ligand_103     5.78    
1a30_ligand_104     4.69    
1a30_ligand_107     4.63    
1a30_ligand_11      4.36    
1a30_ligand_111     5.75    
1a30_ligand_116     4.58    
1a30_ligand_119     4.46    
1a30_ligand_123     4.79    
1a30_ligand_128     4.44    
1a30_ligand_13      4.59    
1a30_ligand_130     6.04    
1a30_ligand_140     4.74    
1a30_ligand_15      4.66    
1a30_ligand_154     5.83    
1a30_ligand_155     5.97    
1a30_ligand_161     5.87    
1a30_ligand_162     5.80    
1a30_ligand_169     5.92    
1a30_ligand_17      4.26    
1a30_ligand_170     5.74    
1a30_ligand_172     5.64    
1a30_ligand_178     5.53    
1a30_ligand_18      5.49    
1a30_ligand_199     5.64    
1a30_ligand_202     4.54    
1a30_ligand_207     5.08    
1a30_ligand_209     5.26    
1a30_ligand_212     5.16    
1a30_ligand_214     5.24    
1a30_ligand_216     4.95    
1a30_ligand_22      5.15    
1a30_ligand_221     4.67    
1a30_ligand_225     5.45    
1a30_ligand_229     5.84    
1a30_ligand_23      5.68    
1a30_ligand_230     5.35    
1a30_ligand_232     5.12    
1a30_ligand_237     5.28    
1a30_ligand_241     5.57    
1a30_ligand_242     5.44    
1a30_ligand_247     5.48    
1a30_ligand_256     5.41    
1a30_ligand_257     5.30    
1a30_ligand_26      4.83    
1a30_ligand_27      4.70    
1a30_ligand_28      4.58    
1a30_ligand_281     5.46    
1a30_ligand_283     5.33    
1a30_ligand_29      4.58    
1a30_ligand_293     5.03    
1a30_ligand_3       5.54    
1a30_ligand_300     5.37    
1a30_ligand_302     5.67    
1a30_ligand_308     5.54    
1a30_ligand_31      4.39    
1a30_ligand_313     5.72    
1a30_ligand_319     5.42    
1a30_ligand_333     5.30    
1a30_ligand_336     5.63    
1a30_ligand_347     5.44    
1a30_ligand_348     5.47    
1a30_ligand_37      4.71    
1a30_ligand_383     6.16    
1a30_ligand_385     5.96    
1a30_ligand_386     6.10    
1a30_ligand_39      4.40    
1a30_ligand_398     6.27    
1a30_ligand_4       4.38    
1a30_ligand_400     6.40    
1a30_ligand_41      4.82    
1a30_ligand_44      4.55    
1a30_ligand_45      4.31    
1a30_ligand_454     6.41    
1a30_ligand_46      4.73    
1a30_ligand_47      6.23    
1a30_ligand_48      4.77    
1a30_ligand_51      4.73    
1a30_ligand_52      4.44    
1a30_ligand_53      4.72    
1a30_ligand_55      4.41    
1a30_ligand_56      4.56    
1a30_ligand_58      4.50    
1a30_ligand_61      5.92    
1a30_ligand_65      4.54    
1a30_ligand_66      4.83    
1a30_ligand_67      4.77    
1a30_ligand_68      4.52    
1a30_ligand_70      4.46    
1a30_ligand_72      4.70    
1a30_ligand_75      4.46    
1a30_ligand_76      4.51    
1a30_ligand_78      4.47    
1a30_ligand_79      4.40    
1a30_ligand_82      4.29    
1a30_ligand_84      4.46    
1a30_ligand_88      6.10    
1a30_ligand_89      4.68    
1a30_ligand_96      4.64    
1a30_ligand_97      4.21    
1a30_ligand_99      6.01    
1bcu_ligand_154     6.63    
1bcu_ligand_170     6.41    
1bcu_ligand_177     6.71    
1bcu_ligand_178     6.72    
1bcu_ligand_184     6.49    
1bcu_ligand_186     6.67    
1bcu_ligand_189     6.49    
1bcu_ligand_191     6.59    
1bcu_ligand_192     6.60    
1bcu_ligand_193     6.63    
1bcu_ligand_194     6.49    
1bcu_ligand_196     6.53    
1bcu_ligand_197     6.62    
1bcu_ligand_198     6.62    
1bcu_ligand_200     6.36    
1bcu_ligand_203     6.69    
1bcu_ligand_204     6.74    
1bcu_ligand_209     6.65    
1bcu_ligand_210     6.61    
1bcu_ligand_212     6.66    
1bcu_ligand_215     6.65    
1bcu_ligand_216     6.68    
1bcu_ligand_220     6.56    
1bcu_ligand_221     6.76    
1bcu_ligand_224     6.54    
1bcu_ligand_227     6.54    
1bcu_ligand_228     6.68    
1bcu_ligand_229     6.58    
1bcu_ligand_231     6.65    
1bcu_ligand_232     6.53    
1bcu_ligand_235     6.56    
1bcu_ligand_236     6.62    
1bcu_ligand_238     6.74    
1bcu_ligand_242     6.38    
1bcu_ligand_243     6.54    
1bcu_ligand_246     6.49    
1bcu_ligand_249     6.45    
1bcu_ligand_251     6.27    
1bcu_ligand_257     6.67    
1bcu_ligand_258     6.54    
1bcu_ligand_266     6.62    
1bcu_ligand_275     6.57    
1bcu_ligand_276     6.00    
1bcu_ligand_277     6.04    
1bcu_ligand_279     6.50    
1bcu_ligand_280     6.28    
1bcu_ligand_284     6.43    
1bcu_ligand_290     6.37    
1bcu_ligand_296     6.20    
1bcu_ligand_297     6.15    
1bcu_ligand_305     6.58    
1bcu_ligand_323     6.51    
1bcu_ligand_328     6.75    
1bcu_ligand_330     6.49    
1bcu_ligand_333     6.64    
1bcu_ligand_334     6.57    
1bcu_ligand_336     6.60    
1bcu_ligand_337     6.60    
1bcu_ligand_340     6.63    
1bcu_ligand_341     6.68    
1bcu_ligand_347     6.54    
1bcu_ligand_348     6.58    
1bcu_ligand_350     6.39    
1bcu_ligand_357     5.60    
1bcu_ligand_358     5.57    
1bcu_ligand_359     5.47    
1bcu_ligand_361     5.62    
1bcu_ligand_371     5.52    
1bcu_ligand_374     5.63    
1bcu_ligand_376     5.50    
1bcu_ligand_378     6.61    
1bcu_ligand_380     5.76    
1bcu_ligand_381     5.34    
1bcu_ligand_382     5.17    
1bcu_ligand_383     5.51    
1bcu_ligand_384     5.15    
1bcu_ligand_386     5.43    
1bcu_ligand_387     6.46    
1bcu_ligand_388     5.54    
1bcu_ligand_389     5.18    
1bcu_ligand_390     5.24    
1bcu_ligand_391     5.26    
1bcu_ligand_392     5.33    
1bcu_ligand_393     5.37    
1bcu_ligand_394     4.99    
1bcu_ligand_395     6.66    
1bcu_ligand_396     5.01    
1bcu_ligand_397     5.45    
1bcu_ligand_398     6.48    
1bcu_ligand_400     5.61    
1bcu_ligand_428     6.71    
1bcu_ligand_436     5.29    
1bcu_ligand_437     5.48    
1bcu_ligand_443     6.66    
1bcu_ligand_447     5.40    
1bcu_ligand_448     5.75    
1bcu_ligand_481     5.76    
1bcu_ligand_489     5.69    
1bcu_ligand_493     5.55    
1bcu_ligand_74      6.72    
1bzc_ligand_110     6.20    
1bzc_ligand_118     6.14    
1bzc_ligand_120     6.32    
1bzc_ligand_122     6.36    
1bzc_ligand_129     6.26    
1bzc_ligand_13      5.36    
1bzc_ligand_132     5.84    
1bzc_ligand_142     6.18    
1bzc_ligand_152     6.89    
1bzc_ligand_156     6.84    
1bzc_ligand_16      6.33    
1bzc_ligand_165     6.57    
1bzc_ligand_167     6.63    
1bzc_ligand_175     6.78    
1bzc_ligand_178     6.77    
1bzc_ligand_180     6.51    
1bzc_ligand_182     6.45    
1bzc_ligand_183     6.54    
1bzc_ligand_184     6.56    
1bzc_ligand_185     6.42    
1bzc_ligand_189     6.70    
1bzc_ligand_190     6.53    
1bzc_ligand_191     6.75    
1bzc_ligand_192     6.49    
1bzc_ligand_194     6.61    
1bzc_ligand_195     6.28    
1bzc_ligand_2       6.47    
1bzc_ligand_201     5.87    
1bzc_ligand_206     6.05    
1bzc_ligand_211     6.33    
1bzc_ligand_212     5.67    
1bzc_ligand_213     6.15    
1bzc_ligand_214     6.25    
1bzc_ligand_216     6.19    
1bzc_ligand_217     6.10    
1bzc_ligand_219     6.08    
1bzc_ligand_221     6.68    
1bzc_ligand_224     6.05    
1bzc_ligand_225     6.10    
1bzc_ligand_228     5.90    
1bzc_ligand_230     6.36    
1bzc_ligand_231     6.47    
1bzc_ligand_232     6.81    
1bzc_ligand_233     6.38    
1bzc_ligand_235     5.93    
1bzc_ligand_236     6.55    
1bzc_ligand_237     6.29    
1bzc_ligand_241     6.28    
1bzc_ligand_243     6.31    
1bzc_ligand_245     5.87    
1bzc_ligand_246     6.11    
1bzc_ligand_248     6.56    
1bzc_ligand_256     6.39    
1bzc_ligand_266     6.40    
1bzc_ligand_267     6.32    
1bzc_ligand_271     6.30    
1bzc_ligand_284     6.37    
1bzc_ligand_285     6.42    
1bzc_ligand_286     6.37    
1bzc_ligand_288     6.16    
1bzc_ligand_292     6.19    
1bzc_ligand_293     5.88    
1bzc_ligand_295     6.43    
1bzc_ligand_298     6.37    
1bzc_ligand_299     5.64    
1bzc_ligand_3       6.32    
1bzc_ligand_306     6.62    
1bzc_ligand_307     6.18    
1bzc_ligand_309     6.56    
1bzc_ligand_313     6.52    
1bzc_ligand_328     6.42    
1bzc_ligand_330     6.32    
1bzc_ligand_336     6.36    
1bzc_ligand_337     6.08    
1bzc_ligand_338     6.31    
1bzc_ligand_340     6.37    
1bzc_ligand_342     5.96    
1bzc_ligand_346     6.27    
1bzc_ligand_348     6.45    
1bzc_ligand_351     6.47    
1bzc_ligand_367     6.12    
1bzc_ligand_378     6.23    
1bzc_ligand_38      5.80    
1bzc_ligand_380     5.85    
1bzc_ligand_382     5.51    
1bzc_ligand_386     5.79    
1bzc_ligand_392     5.63    
1bzc_ligand_396     6.76    
1bzc_ligand_399     5.71    
1bzc_ligand_429     6.25    
1bzc_ligand_447     5.86    
1bzc_ligand_45      6.05    
1bzc_ligand_51      6.05    
1bzc_ligand_52      6.27    
1bzc_ligand_54      5.12    
1bzc_ligand_6       6.46    
1bzc_ligand_67      6.10    
1bzc_ligand_73      5.51    
1bzc_ligand_92      5.79    
1bzc_ligand_95      6.21    
1c5z_ligand_104     5.48    
1c5z_ligand_121     5.51    
1c5z_ligand_129     5.50    
1c5z_ligand_13      5.98    
1c5z_ligand_160     5.62    
1c5z_ligand_163     5.67    
1c5z_ligand_167     5.59    
1c5z_ligand_170     5.68    
1c5z_ligand_188     5.80    
1c5z_ligand_190     5.84    
1c5z_ligand_191     5.66    
1c5z_ligand_192     5.75    
1c5z_ligand_193     5.76    
1c5z_ligand_194     5.88    
1c5z_ligand_195     5.49    
1c5z_ligand_196     5.68    
1c5z_ligand_197     5.76    
1c5z_ligand_198     5.63    
1c5z_ligand_208     5.63    
1c5z_ligand_210     5.86    
1c5z_ligand_216     5.57    
1c5z_ligand_218     5.78    
1c5z_ligand_220     5.87    
1c5z_ligand_222     5.71    
1c5z_ligand_225     5.53    
1c5z_ligand_226     5.59    
1c5z_ligand_227     5.68    
1c5z_ligand_229     5.63    
1c5z_ligand_230     5.76    
1c5z_ligand_234     5.64    
1c5z_ligand_235     5.98    
1c5z_ligand_236     5.68    
1c5z_ligand_242     5.56    
1c5z_ligand_243     5.70    
1c5z_ligand_255     5.70    
1c5z_ligand_258     5.52    
1c5z_ligand_259     5.49    
1c5z_ligand_260     5.56    
1c5z_ligand_264     5.53    
1c5z_ligand_265     5.42    
1c5z_ligand_266     5.47    
1c5z_ligand_267     5.61    
1c5z_ligand_271     5.66    
1c5z_ligand_274     5.47    
1c5z_ligand_276     5.52    
1c5z_ligand_279     5.63    
1c5z_ligand_280     5.46    
1c5z_ligand_282     5.55    
1c5z_ligand_283     5.38    
1c5z_ligand_284     5.11    
1c5z_ligand_286     5.42    
1c5z_ligand_287     5.50    
1c5z_ligand_289     5.75    
1c5z_ligand_291     5.45    
1c5z_ligand_296     5.54    
1c5z_ligand_297     5.75    
1c5z_ligand_299     5.77    
1c5z_ligand_300     5.65    
1c5z_ligand_301     5.84    
1c5z_ligand_303     5.55    
1c5z_ligand_306     5.52    
1c5z_ligand_308     5.38    
1c5z_ligand_311     5.51    
1c5z_ligand_314     5.58    
1c5z_ligand_315     5.45    
1c5z_ligand_318     5.50    
1c5z_ligand_321     5.36    
1c5z_ligand_322     5.52    
1c5z_ligand_323     5.75    
1c5z_ligand_324     5.58    
1c5z_ligand_326     5.44    
1c5z_ligand_327     5.53    
1c5z_ligand_329     5.78    
1c5z_ligand_331     5.51    
1c5z_ligand_333     5.87    
1c5z_ligand_339     5.54    
1c5z_ligand_343     5.36    
1c5z_ligand_344     5.46    
1c5z_ligand_345     6.03    
1c5z_ligand_347     5.53    
1c5z_ligand_349     5.71    
1c5z_ligand_350     5.90    
1c5z_ligand_361     5.81    
1c5z_ligand_37      5.90    
1c5z_ligand_376     5.67    
1c5z_ligand_382     5.54    
1c5z_ligand_387     5.23    
1c5z_ligand_389     5.59    
1c5z_ligand_393     5.52    
1c5z_ligand_398     5.50    
1c5z_ligand_437     5.22    
1c5z_ligand_47      5.99    
1c5z_ligand_57      5.51    
1c5z_ligand_58      5.92    
1c5z_ligand_67      5.92    
1c5z_ligand_70      5.93    
1c5z_ligand_81      5.90    
1c5z_ligand_85      5.93    
1c5z_ligand_86      5.91    
1c5z_ligand_9       6.00    
1e66_ligand_102     6.12    
1e66_ligand_103     5.54    
1e66_ligand_107     5.50    
1e66_ligand_113     5.67    
1e66_ligand_119     5.74    
1e66_ligand_12      5.80    
1e66_ligand_129     5.55    
1e66_ligand_130     5.51    
1e66_ligand_134     5.69    
1e66_ligand_142     5.70    
1e66_ligand_143     5.70    
1e66_ligand_152     7.71    
1e66_ligand_153     6.77    
1e66_ligand_155     6.64    
1e66_ligand_158     7.14    
1e66_ligand_161     7.01    
1e66_ligand_162     7.59    
1e66_ligand_163     7.24    
1e66_ligand_165     7.34    
1e66_ligand_166     7.08    
1e66_ligand_167     7.09    
1e66_ligand_170     7.02    
1e66_ligand_172     7.12    
1e66_ligand_174     6.90    
1e66_ligand_177     6.75    
1e66_ligand_178     7.07    
1e66_ligand_179     7.05    
1e66_ligand_180     7.37    
1e66_ligand_181     7.32    
1e66_ligand_185     7.07    
1e66_ligand_187     6.95    
1e66_ligand_188     6.75    
1e66_ligand_189     6.81    
1e66_ligand_190     6.65    
1e66_ligand_192     7.06    
1e66_ligand_193     7.30    
1e66_ligand_194     6.89    
1e66_ligand_195     7.36    
1e66_ligand_196     6.93    
1e66_ligand_198     7.20    
1e66_ligand_201     6.66    
1e66_ligand_207     6.37    
1e66_ligand_209     6.65    
1e66_ligand_213     6.46    
1e66_ligand_215     5.88    
1e66_ligand_216     6.70    
1e66_ligand_218     6.30    
1e66_ligand_219     6.26    
1e66_ligand_223     6.56    
1e66_ligand_224     6.52    
1e66_ligand_225     6.79    
1e66_ligand_23      5.59    
1e66_ligand_230     6.75    
1e66_ligand_231     6.39    
1e66_ligand_232     6.46    
1e66_ligand_233     6.48    
1e66_ligand_235     6.70    
1e66_ligand_236     6.53    
1e66_ligand_237     6.04    
1e66_ligand_238     6.29    
1e66_ligand_240     5.88    
1e66_ligand_241     6.77    
1e66_ligand_242     6.22    
1e66_ligand_245     6.80    
1e66_ligand_246     6.51    
1e66_ligand_264     6.68    
1e66_ligand_269     6.79    
1e66_ligand_278     6.64    
1e66_ligand_28      6.79    
1e66_ligand_281     6.31    
1e66_ligand_283     6.44    
1e66_ligand_288     6.71    
1e66_ligand_299     6.26    
1e66_ligand_300     6.68    
1e66_ligand_321     7.16    
1e66_ligand_325     6.97    
1e66_ligand_331     7.43    
1e66_ligand_332     6.56    
1e66_ligand_336     6.73    
1e66_ligand_345     6.66    
1e66_ligand_372     7.90    
1e66_ligand_381     6.58    
1e66_ligand_383     6.58    
1e66_ligand_388     7.55    
1e66_ligand_391     6.83    
1e66_ligand_393     7.79    
1e66_ligand_395     7.78    
1e66_ligand_397     6.58    
1e66_ligand_398     6.67    
1e66_ligand_400     7.17    
1e66_ligand_401     5.61    
1e66_ligand_402     5.74    
1e66_ligand_403     6.26    
1e66_ligand_443     7.83    
1e66_ligand_446     6.78    
1e66_ligand_46      6.82    
1e66_ligand_5       5.63    
1e66_ligand_52      7.94    
1e66_ligand_56      6.80    
1e66_ligand_63      7.82    
1eby_ligand_1       4.98    
1eby_ligand_101     5.05    
1eby_ligand_102     5.20    
1eby_ligand_109     5.52    
1eby_ligand_11      5.37    
1eby_ligand_111     5.47    
1eby_ligand_114     5.17    
1eby_ligand_117     5.24    
1eby_ligand_118     5.14    
1eby_ligand_119     5.03    
1eby_ligand_12      5.19    
1eby_ligand_120     5.14    
1eby_ligand_126     5.11    
1eby_ligand_127     5.52    
1eby_ligand_128     5.58    
1eby_ligand_130     5.02    
1eby_ligand_133     5.00    
1eby_ligand_134     5.15    
1eby_ligand_135     5.22    
1eby_ligand_139     5.14    
1eby_ligand_140     5.36    
1eby_ligand_142     5.06    
1eby_ligand_145     5.56    
1eby_ligand_148     5.34    
1eby_ligand_152     8.10    
1eby_ligand_169     7.95    
1eby_ligand_17      5.42    
1eby_ligand_18      4.97    
1eby_ligand_183     7.93    
1eby_ligand_191     8.08    
1eby_ligand_193     7.74    
1eby_ligand_200     7.57    
1eby_ligand_201     6.49    
1eby_ligand_202     6.04    
1eby_ligand_206     7.07    
1eby_ligand_218     5.61    
1eby_ligand_22      5.07    
1eby_ligand_221     7.33    
1eby_ligand_228     6.17    
1eby_ligand_233     5.99    
1eby_ligand_239     7.90    
1eby_ligand_240     7.28    
1eby_ligand_246     7.35    
1eby_ligand_248     6.67    
1eby_ligand_249     5.92    
1eby_ligand_25      5.22    
1eby_ligand_250     7.23    
1eby_ligand_277     7.58    
1eby_ligand_28      4.82    
1eby_ligand_296     6.56    
1eby_ligand_32      5.27    
1eby_ligand_33      4.88    
1eby_ligand_34      5.25    
1eby_ligand_352     7.15    
