#code_ligand_num    score   
1eby_ligand_366     7.89    
3pww_ligand_392     7.74    
4x6p_ligand_381     7.78    
1eby_ligand_359     7.80    
1eby_ligand_427     7.69    
3pww_ligand_475     7.31    
3pww_ligand_396     7.25    
3pww_ligand_420     7.26    
4gr0_ligand_377     7.05    
4gid_ligand_442     7.49    
1eby_ligand_369     7.70    
3pww_ligand_151     7.21    
4gid_ligand_467     7.23    
4gr0_ligand_385     7.18    
2vkm_ligand_450     7.48    
3pww_ligand_431     7.05    
3pww_ligand_269     7.10    
4w9l_ligand_402     7.08    
2qnq_ligand_362     7.00    
1eby_ligand_327     7.36    
4gr0_ligand_36      6.90    
1eby_ligand_96      7.15    
4gr0_ligand_77      6.92    
2x00_ligand_303     7.28    
1eby_ligand_382     7.40    
3pww_ligand_170     6.93    
3utu_ligand_8       7.11    
3pww_ligand_126     6.78    
2qnq_ligand_368     7.01    
3gnw_ligand_159     7.05    
2vkm_ligand_66      6.96    
3e93_ligand_177     7.04    
4gid_ligand_411     6.87    
4ogj_ligand_389     6.84    
4crc_ligand_323     7.28    
4gr0_ligand_48      6.77    
2vkm_ligand_116     6.93    
4w9l_ligand_426     6.73    
3gnw_ligand_164     7.12    
4w9l_ligand_151     6.55    
3wz8_ligand_51      7.12    
2qnq_ligand_397     7.11    
4x6p_ligand_28      6.88    
4w9l_ligand_383     6.72    
4crc_ligand_301     6.90    
3prs_ligand_459     7.01    
4qd6_ligand_301     6.90    
2p15_ligand_383     7.10    
4crc_ligand_283     7.03    
3prs_ligand_83      7.00    
3gnw_ligand_340     7.09    
2x00_ligand_156     6.93    
2qnq_ligand_398     6.81    
4gid_ligand_144     6.77    
3bv9_ligand_426     7.06    
2x00_ligand_171     7.28    
4gr0_ligand_60      6.82    
3bv9_ligand_406     7.09    
1eby_ligand_446     6.83    
3gnw_ligand_181     7.14    
4x6p_ligand_302     7.03    
3bv9_ligand_381     6.92    
4qd6_ligand_303     7.04    
1eby_ligand_26      6.86    
4gr0_ligand_24      6.75    
4gr0_ligand_310     6.73    
2vkm_ligand_60      7.08    
3wz8_ligand_307     6.94    
1eby_ligand_43      6.95    
4gid_ligand_492     6.77    
3pww_ligand_331     6.82    
3gnw_ligand_156     6.77    
3gnw_ligand_185     7.06    
4w9l_ligand_336     6.62    
4ogj_ligand_411     6.69    
3jvs_ligand_302     7.04    
3prs_ligand_489     6.95    
4gr0_ligand_199     6.69    
4qd6_ligand_244     6.76    
1lpg_ligand_351     6.85    
3uri_ligand_417     6.85    
3b1m_ligand_218     6.83    
2vkm_ligand_55      6.81    
2x00_ligand_400     6.95    
4w9l_ligand_458     6.43    
1g2k_ligand_154     7.06    
3o9i_ligand_360     6.84    
3uri_ligand_421     6.82    
3uo4_ligand_213     7.07    
4rfm_ligand_68      6.84    
2qbp_ligand_138     6.86    
3b1m_ligand_473     6.82    
2x00_ligand_160     7.11    
4crc_ligand_358     6.92    
3e93_ligand_180     7.10    
4qd6_ligand_177     7.00    
4cra_ligand_96      6.90    
3e93_ligand_397     7.00    
2p15_ligand_167     7.15    
2p15_ligand_272     6.96    
3jvs_ligand_431     6.86    
3e93_ligand_169     7.18    
4ty7_ligand_424     6.83    
4gid_ligand_482     6.70    
