#code_ligand_num    score   
3pww_ligand_430     7.89    
4gid_ligand_100     7.73    
1eby_ligand_352     7.95    
1g2k_ligand_443     7.91    
3pww_ligand_439     7.72    
3pww_ligand_392     7.35    
1eby_ligand_356     7.68    
4gid_ligand_398     7.63    
4gr0_ligand_432     7.35    
1eby_ligand_431     7.74    
4gid_ligand_500     7.54    
3pww_ligand_500     7.42    
3gnw_ligand_432     7.42    
4gid_ligand_442     7.38    
4w9l_ligand_366     7.39    
2vkm_ligand_106     7.50    
4gid_ligand_466     7.51    
4gr0_ligand_442     7.26    
2qnq_ligand_394     7.50    
2qbp_ligand_452     7.46    
4gid_ligand_447     7.20    
3pww_ligand_154     7.54    
3utu_ligand_420     7.39    
2x00_ligand_398     7.61    
3pww_ligand_90      7.19    
3jvs_ligand_251     7.66    
4ogj_ligand_454     7.17    
2x00_ligand_134     7.50    
4gid_ligand_69      7.21    
4gr0_ligand_54      7.47    
3pww_ligand_26      7.18    
2p15_ligand_301     7.56    
3gnw_ligand_381     7.20    
4crc_ligand_446     7.26    
4ogj_ligand_480     7.20    
3jvs_ligand_72      7.38    
1eby_ligand_371     7.61    
3gnw_ligand_66      7.13    
2vkm_ligand_133     7.31    
3gnw_ligand_200     7.36    
3pww_ligand_152     7.21    
1eby_ligand_400     7.34    
2qnq_ligand_421     7.21    
3gnw_ligand_83      7.07    
2x00_ligand_494     7.44    
2p15_ligand_430     7.52    
3jvs_ligand_119     7.36    
3zso_ligand_467     7.49    
3zso_ligand_412     7.35    
2qnq_ligand_359     7.35    
3uri_ligand_454     7.28    
3pww_ligand_269     7.29    
2qnq_ligand_68      7.14    
3gnw_ligand_333     7.17    
3pww_ligand_53      6.97    
1g2k_ligand_129     7.36    
3gnw_ligand_426     7.05    
4gid_ligand_47      7.02    
2qbp_ligand_364     7.24    
4w9l_ligand_351     6.99    
2x00_ligand_489     7.32    
3gnw_ligand_262     7.15    
4ogj_ligand_367     7.08    
3b1m_ligand_93      7.22    
2x00_ligand_480     7.18    
4gid_ligand_377     6.94    
3b1m_ligand_484     7.05    
3gnw_ligand_352     7.23    
3gnw_ligand_420     7.15    
3uri_ligand_473     7.12    
3gnw_ligand_189     7.26    
4crc_ligand_491     7.26    
3pww_ligand_264     7.17    
4cra_ligand_26      7.31    
2vkm_ligand_268     7.30    
2x00_ligand_493     7.23    
3zso_ligand_469     7.34    
2x00_ligand_449     7.35    
3jvs_ligand_224     7.08    
2x00_ligand_277     7.44    
1eby_ligand_18      7.00    
3b1m_ligand_257     7.40    
2x00_ligand_470     7.26    
3uri_ligand_387     7.12    
3uri_ligand_487     6.86    
3bv9_ligand_452     7.02    
2x00_ligand_424     7.31    
4ogj_ligand_86      6.99    
2vkm_ligand_463     7.36    
4gr0_ligand_48      6.78    
4gid_ligand_433     7.03    
4ogj_ligand_380     6.88    
3prs_ligand_387     7.04    
3e93_ligand_497     7.14    
4gid_ligand_414     6.97    
3gnw_ligand_181     7.03    
3b1m_ligand_291     7.16    
4w9l_ligand_341     7.09    
3jvs_ligand_380     6.98    
3jvs_ligand_433     7.31    
4gr0_ligand_465     6.66    
3pww_ligand_165     7.00    
4qd6_ligand_26      7.17    
2x00_ligand_476     7.22    
4ogj_ligand_24      6.87    
3pww_ligand_313     7.15    
3pww_ligand_182     6.99    
2p15_ligand_132     7.23    
2qnq_ligand_374     7.05    
3pww_ligand_293     7.26    
2vkm_ligand_46      7.07    
1eby_ligand_36      7.03    
3jvs_ligand_302     7.06    
2x00_ligand_437     7.27    
3jvs_ligand_289     7.34    
2x00_ligand_192     7.24    
3gnw_ligand_177     7.02    
3e93_ligand_112     7.22    
3utu_ligand_47      7.09    
2vkm_ligand_19      7.05    
