#code_ligand_num    score   
4gr0_ligand_107     7.47    
3jvs_ligand_267     7.52    
4w9l_ligand_357     7.22    
3jvs_ligand_476     7.39    
3jvs_ligand_98      7.48    
4gid_ligand_53      7.18    
3jvs_ligand_37      7.24    
3arp_ligand_53      7.41    
3e93_ligand_181     7.46    
3jvs_ligand_6       7.19    
3uo4_ligand_19      7.16    
3arp_ligand_124     7.17    
3arp_ligand_146     7.26    
1k1i_ligand_149     7.35    
3e93_ligand_143     7.26    
4gr0_ligand_21      7.23    
4gr0_ligand_187     7.13    
2x00_ligand_160     7.64    
3e93_ligand_159     7.50    
4gr0_ligand_128     7.09    
3jvs_ligand_158     7.47    
3arp_ligand_89      7.43    
4gr0_ligand_27      7.28    
3arp_ligand_489     7.28    
1eby_ligand_51      7.35    
3jvs_ligand_496     7.18    
1eby_ligand_40      7.27    
3b1m_ligand_154     7.58    
4gid_ligand_134     7.12    
3pww_ligand_175     7.51    
3jvs_ligand_176     7.51    
2zb1_ligand_453     7.12    
3uo4_ligand_187     7.54    
3arp_ligand_407     7.13    
3e93_ligand_8       6.97    
1o3f_ligand_308     7.36    
3arp_ligand_38      7.30    
3arp_ligand_92      7.33    
3e93_ligand_71      7.27    
2x00_ligand_327     7.42    
2zb1_ligand_150     7.04    
2yki_ligand_29      7.28    
3utu_ligand_411     7.08    
1lpg_ligand_462     7.21    
2qbp_ligand_73      7.19    
4crc_ligand_108     6.96    
2vkm_ligand_27      7.17    
3jvs_ligand_171     7.14    
4qd6_ligand_95      7.01    
3e93_ligand_54      6.97    
3e93_ligand_134     6.99    
4x6p_ligand_317     7.14    
4ogj_ligand_50      6.75    
3uo4_ligand_312     7.67    
1lpg_ligand_51      6.90    
3k5v_ligand_103     7.30    
3pww_ligand_109     7.03    
3fur_ligand_164     7.10    
2x00_ligand_174     7.27    
3e93_ligand_345     7.26    
4cra_ligand_340     7.42    
1lpg_ligand_316     7.33    
4x6p_ligand_11      7.00    
3e93_ligand_299     7.15    
3e92_ligand_36      6.90    
2x00_ligand_156     7.55    
4x6p_ligand_78      6.97    
3e93_ligand_127     7.04    
3fur_ligand_76      6.90    
1lpg_ligand_297     7.44    
2p15_ligand_149     7.10    
2zb1_ligand_145     7.28    
2zb1_ligand_59      7.31    
3e93_ligand_115     7.03    
1k1i_ligand_118     7.24    
3b1m_ligand_162     7.61    
2vkm_ligand_36      7.02    
2zb1_ligand_189     7.23    
