#code_ligand_num    score   
3pww_ligand_472     8.48    
3pww_ligand_142     8.28    
3pww_ligand_403     8.11    
3pww_ligand_465     7.95    
3zso_ligand_386     8.28    
3pww_ligand_409     7.72    
3pww_ligand_477     7.81    
2x00_ligand_383     8.12    
4crc_ligand_481     7.79    
1eby_ligand_450     7.83    
2p15_ligand_18      8.38    
1g2k_ligand_451     7.95    
2p15_ligand_122     8.49    
2p15_ligand_423     8.17    
4ogj_ligand_42      7.56    
3bv9_ligand_354     7.82    
3o9i_ligand_437     8.07    
4w9l_ligand_492     7.75    
2x00_ligand_444     7.97    
2vkm_ligand_422     7.99    
3zso_ligand_443     7.99    
2vkm_ligand_375     7.89    
4gid_ligand_409     7.80    
1lpg_ligand_383     7.88    
2p15_ligand_46      8.29    
2qnq_ligand_450     7.67    
2p15_ligand_350     8.47    
1eby_ligand_437     7.85    
3pww_ligand_401     7.42    
3utu_ligand_392     7.70    
3jvs_ligand_357     7.72    
1g2k_ligand_413     7.86    
1g2k_ligand_481     8.00    
4gid_ligand_463     7.64    
2p15_ligand_10      8.45    
3pww_ligand_166     7.88    
3uri_ligand_409     7.68    
3gnw_ligand_10      7.38    
2qnq_ligand_478     7.72    
2x00_ligand_176     8.15    
2p15_ligand_343     8.48    
2x00_ligand_373     7.83    
3b1m_ligand_446     8.07    
4gr0_ligand_381     7.35    
2vkm_ligand_447     7.69    
4gid_ligand_384     7.58    
3pww_ligand_408     7.56    
3pww_ligand_405     7.40    
3e93_ligand_181     8.04    
3zso_ligand_392     8.00    
2qnq_ligand_425     7.77    
3pww_ligand_138     7.42    
1eby_ligand_402     7.64    
3pww_ligand_462     7.41    
2vkm_ligand_21      7.79    
4gid_ligand_494     7.54    
3pww_ligand_436     7.33    
2x00_ligand_184     8.31    
3prs_ligand_384     7.65    
4gid_ligand_2       7.54    
1eby_ligand_435     7.89    
3gnw_ligand_362     7.60    
1eby_ligand_406     7.81    
2p15_ligand_108     7.94    
2x00_ligand_398     7.93    
1eby_ligand_434     7.84    
2vkm_ligand_360     7.78    
2qnq_ligand_145     7.77    
3pww_ligand_499     7.36    
3gnw_ligand_117     7.42    
1g2k_ligand_356     7.52    
1g2k_ligand_364     7.63    
3gnw_ligand_110     7.45    
1lpg_ligand_452     7.76    
1eby_ligand_413     7.80    
1g2k_ligand_484     7.67    
3pww_ligand_489     7.27    
3b1m_ligand_480     7.70    
3e93_ligand_296     7.76    
2x00_ligand_350     7.85    
2vkm_ligand_452     7.73    
3jvs_ligand_152     7.70    
4gr0_ligand_464     7.52    
3gnw_ligand_113     7.39    
4x6p_ligand_317     7.63    
2x00_ligand_177     7.65    
2x00_ligand_309     7.80    
3zso_ligand_139     7.64    
3pww_ligand_491     7.43    
3pww_ligand_353     7.33    
3pww_ligand_396     7.58    
2x00_ligand_335     8.15    
2x00_ligand_400     7.81    
3bv9_ligand_442     7.36    
2p15_ligand_307     8.28    
4crc_ligand_309     7.75    
4gid_ligand_355     7.44    
3pww_ligand_454     7.30    
2x00_ligand_429     7.63    
2p15_ligand_6       8.03    
4x6p_ligand_180     7.58    
2qnq_ligand_396     7.73    
3zso_ligand_483     7.82    
3prs_ligand_366     7.30    
4x6p_ligand_391     7.60    
2x00_ligand_181     7.95    
2p15_ligand_306     7.95    
2p15_ligand_332     8.12    
2x00_ligand_388     7.66    
3e93_ligand_190     7.62    
2p15_ligand_201     7.89    
2vkm_ligand_353     7.65    
1g2k_ligand_474     7.48    
3jvs_ligand_92      7.32    
2yki_ligand_167     7.91    
4x6p_ligand_104     7.40    
2vkm_ligand_426     7.65    
3zso_ligand_366     7.56    
3pww_ligand_413     7.47    
2p15_ligand_124     7.86    
3b1m_ligand_489     7.54    
4x6p_ligand_257     7.60    
2qnq_ligand_400     7.34    
3pww_ligand_324     7.31    
2qnq_ligand_40      7.49    
2vkm_ligand_108     7.45    
2p15_ligand_274     7.97    
3pww_ligand_466     7.37    
2x00_ligand_434     7.50    
4crc_ligand_153     7.68    
3e93_ligand_176     7.50    
4ogj_ligand_366     7.14    
3gnw_ligand_194     7.32    
2vkm_ligand_91      7.57    
3e93_ligand_229     7.55    
2vkm_ligand_358     7.49    
1eby_ligand_390     7.30    
2p15_ligand_184     8.33    
3zso_ligand_373     7.60    
2p15_ligand_272     7.92    
3gnw_ligand_163     7.43    
3gnw_ligand_141     7.30    
2qnq_ligand_485     7.42    
3gnw_ligand_320     7.56    
3pww_ligand_258     7.55    
2p15_ligand_243     7.75    
3e92_ligand_373     7.53    
3zso_ligand_463     7.56    
4ty7_ligand_369     7.65    
2x00_ligand_213     7.58    
2x00_ligand_212     7.91    
3e93_ligand_347     7.77    
2p15_ligand_336     7.93    
4ogj_ligand_151     7.16    
2vkm_ligand_54      7.61    
3e93_ligand_262     7.49    
2x00_ligand_255     7.67    
2wtv_ligand_320     7.43    
2x00_ligand_425     7.50    
2qnq_ligand_3       7.56    
4cra_ligand_95      7.56    
3jvs_ligand_422     7.25    
2p15_ligand_251     7.57    
2vkm_ligand_66      7.64    
2p15_ligand_320     7.75    
3gnw_ligand_198     7.91    
3e93_ligand_15      7.57    
2p15_ligand_441     7.58    
2vkm_ligand_156     7.87    
2p15_ligand_152     7.68    
2p15_ligand_159     7.79    
2p15_ligand_456     7.50    
3b1m_ligand_11      7.63    
1g2k_ligand_385     7.67    
4crc_ligand_181     7.43    
4gid_ligand_495     7.18    
3bv9_ligand_360     7.16    
3jvs_ligand_257     7.66    
2p15_ligand_204     7.87    
2p15_ligand_172     7.75    
3e93_ligand_155     7.68    
3zso_ligand_432     7.55    
3gnw_ligand_305     7.27    
2p15_ligand_183     7.66    
2p15_ligand_77      7.75    
3e93_ligand_272     7.69    
3bv9_ligand_398     7.36    
3uo4_ligand_367     7.30    
3pww_ligand_308     7.47    
3pww_ligand_52      7.22    
4cig_ligand_435     7.76    
3zso_ligand_431     7.40    
3pww_ligand_319     7.58    
4w9l_ligand_161     7.50    
2vkm_ligand_90      7.37    
3pww_ligand_330     7.49    
3b1m_ligand_396     7.55    
2vkm_ligand_125     7.47    
2p15_ligand_226     7.53    
3b1m_ligand_424     7.40    
3jvs_ligand_420     7.22    
1k1i_ligand_476     7.74    
2p15_ligand_255     7.81    
2yki_ligand_186     7.86    
2qnq_ligand_352     7.21    
2x00_ligand_289     7.64    
4gid_ligand_200     7.26    
1lpg_ligand_167     7.63    
2x00_ligand_339     7.40    
3prs_ligand_156     7.58    
3utu_ligand_395     7.26    
2x00_ligand_390     7.68    
2x00_ligand_274     7.89    
3pww_ligand_193     7.25    
3pww_ligand_420     7.13    
2yki_ligand_188     7.67    
2x00_ligand_192     7.88    
3arp_ligand_467     7.49    
4cra_ligand_39      7.37    
3e93_ligand_197     7.57    
3jvs_ligand_373     7.29    
3e93_ligand_162     7.61    
3jvs_ligand_478     7.23    
2vkm_ligand_390     7.40    
3b1m_ligand_361     7.62    
3pww_ligand_391     7.22    
2p15_ligand_210     7.79    
1eby_ligand_432     7.43    
3e93_ligand_463     7.25    
3b1m_ligand_438     7.60    
4crc_ligand_197     7.52    
3zso_ligand_419     7.33    
3prs_ligand_492     7.34    
2p15_ligand_321     7.61    
2x00_ligand_324     7.71    
2qnq_ligand_132     7.31    
2qbp_ligand_494     7.32    
3jvs_ligand_254     7.27    
4gid_ligand_394     7.18    
4gr0_ligand_427     7.11    
2x00_ligand_191     7.84    
4rfm_ligand_406     7.38    
3gnw_ligand_188     7.50    
3zso_ligand_368     7.48    
2vkm_ligand_256     7.47    
3e93_ligand_173     7.73    
4x6p_ligand_289     7.48    
4cig_ligand_457     7.67    
3arq_ligand_327     7.25    
3e92_ligand_347     7.44    
3uo4_ligand_347     7.51    
2x00_ligand_303     7.50    
2yki_ligand_182     7.76    
2p15_ligand_235     7.62    
2wtv_ligand_378     7.35    
3uo4_ligand_50      7.29    
3zso_ligand_405     7.47    
4gid_ligand_442     6.90    
2yki_ligand_191     7.54    
1eby_ligand_59      7.49    
3e93_ligand_154     7.78    
3pww_ligand_275     7.42    
2x00_ligand_244     7.53    
4gid_ligand_145     7.27    
4cra_ligand_26      7.56    
4w9l_ligand_120     6.98    
2qnq_ligand_393     7.18    
3qgy_ligand_14      7.38    
4crc_ligand_180     7.32    
3uo4_ligand_107     7.36    
3nw9_ligand_490     7.42    
2x00_ligand_283     7.54    
3zso_ligand_403     7.56    
3uo4_ligand_433     7.66    
4ty7_ligand_330     7.49    
3fur_ligand_371     7.07    
3uri_ligand_448     7.04    
4ty7_ligand_24      7.50    
3jvs_ligand_351     7.19    
3e93_ligand_346     7.52    
3e93_ligand_225     7.44    
2zb1_ligand_306     7.67    
3pww_ligand_249     7.00    
3gnw_ligand_199     7.45    
4x6p_ligand_21      7.38    
3uo4_ligand_33      7.47    
4cra_ligand_177     7.57    
3prs_ligand_449     6.96    
2x00_ligand_320     7.47    
4cig_ligand_421     7.58    
2vkm_ligand_486     7.23    
2wtv_ligand_175     7.29    
3utu_ligand_500     7.39    
4w9l_ligand_357     6.96    
3gnw_ligand_187     7.44    
3e93_ligand_201     7.34    
3b1m_ligand_394     7.36    
3pww_ligand_190     7.52    
3pww_ligand_194     7.74    
3b1m_ligand_267     7.57    
3pww_ligand_406     6.90    
4cra_ligand_139     7.34    
4cra_ligand_322     7.66    
3e93_ligand_168     7.55    
3jvs_ligand_368     7.16    
2qnq_ligand_371     7.27    
2yki_ligand_158     7.44    
