#code_ligand_num    score   
1a30_ligand_1       6.51    
1a30_ligand_104     6.54    
1a30_ligand_117     6.52    
1a30_ligand_120     6.45    
1a30_ligand_138     6.47    
1a30_ligand_139     6.47    
1a30_ligand_15      6.51    
1a30_ligand_152     6.10    
1a30_ligand_153     5.85    
1a30_ligand_155     6.01    
1a30_ligand_157     5.83    
1a30_ligand_158     5.92    
1a30_ligand_16      6.65    
1a30_ligand_170     5.82    
1a30_ligand_171     6.07    
1a30_ligand_187     6.02    
1a30_ligand_188     5.67    
1a30_ligand_191     6.03    
1a30_ligand_192     5.98    
1a30_ligand_196     6.21    
1a30_ligand_197     6.03    
1a30_ligand_198     5.84    
1a30_ligand_200     6.16    
1a30_ligand_21      6.35    
1a30_ligand_210     5.95    
1a30_ligand_215     5.99    
1a30_ligand_218     5.92    
1a30_ligand_219     6.15    
1a30_ligand_22      6.50    
1a30_ligand_220     5.87    
1a30_ligand_223     6.02    
1a30_ligand_225     5.89    
1a30_ligand_226     5.93    
1a30_ligand_228     6.05    
1a30_ligand_229     6.12    
1a30_ligand_230     5.80    
1a30_ligand_231     5.78    
1a30_ligand_232     6.32    
1a30_ligand_233     5.81    
1a30_ligand_234     5.78    
1a30_ligand_235     5.86    
1a30_ligand_236     5.95    
1a30_ligand_237     6.00    
1a30_ligand_238     5.82    
1a30_ligand_239     5.82    
1a30_ligand_240     5.82    
1a30_ligand_242     5.81    
1a30_ligand_243     5.95    
1a30_ligand_245     6.02    
1a30_ligand_248     5.96    
1a30_ligand_250     5.76    
1a30_ligand_253     5.95    
1a30_ligand_255     5.76    
1a30_ligand_260     5.86    
1a30_ligand_261     5.66    
1a30_ligand_263     5.88    
1a30_ligand_265     6.00    
1a30_ligand_270     5.71    
1a30_ligand_271     5.65    
1a30_ligand_273     6.17    
1a30_ligand_274     5.99    
1a30_ligand_275     5.72    
1a30_ligand_278     5.83    
1a30_ligand_283     5.66    
1a30_ligand_284     5.96    
1a30_ligand_291     6.02    
1a30_ligand_292     5.97    
1a30_ligand_294     5.92    
1a30_ligand_295     6.04    
1a30_ligand_297     5.81    
1a30_ligand_298     5.83    
1a30_ligand_3       6.50    
1a30_ligand_301     5.94    
1a30_ligand_31      6.52    
