#code_ligand_num    score   
1a30_ligand_105     5.89    
1a30_ligand_107     6.17    
1a30_ligand_108     4.86    
1a30_ligand_115     5.00    
1a30_ligand_120     5.58    
1a30_ligand_124     5.91    
1a30_ligand_131     5.53    
1a30_ligand_134     5.40    
1a30_ligand_138     4.45    
1a30_ligand_156     3.26    
1a30_ligand_158     3.26    
1a30_ligand_163     3.26    
1a30_ligand_17      5.76    
1a30_ligand_172     3.26    
1a30_ligand_175     3.26    
1a30_ligand_185     3.26    
1a30_ligand_186     3.26    
1a30_ligand_194     3.26    
1a30_ligand_195     3.26    
1a30_ligand_196     3.26    
1a30_ligand_198     3.26    
1a30_ligand_205     3.26    
1a30_ligand_206     3.26    
1a30_ligand_208     3.26    
1a30_ligand_210     3.26    
1a30_ligand_211     3.26    
1a30_ligand_215     3.26    
1a30_ligand_216     3.26    
1a30_ligand_218     3.26    
1a30_ligand_224     3.26    
1a30_ligand_225     3.26    
1a30_ligand_226     3.26    
1a30_ligand_232     3.26    
1a30_ligand_233     3.26    
1a30_ligand_235     3.26    
1a30_ligand_236     3.26    
1a30_ligand_237     3.26    
1a30_ligand_238     3.26    
1a30_ligand_239     3.26    
1a30_ligand_24      6.11    
1a30_ligand_242     3.26    
1a30_ligand_243     3.26    
1a30_ligand_245     3.26    
1a30_ligand_246     3.26    
1a30_ligand_247     3.26    
1a30_ligand_248     3.26    
1a30_ligand_249     3.26    
1a30_ligand_250     3.26    
1a30_ligand_254     3.26    
1a30_ligand_258     3.26    
1a30_ligand_267     3.26    
1a30_ligand_268     3.26    
1a30_ligand_271     3.26    
1a30_ligand_275     3.26    
1a30_ligand_276     3.26    
1a30_ligand_277     3.26    
1a30_ligand_28      6.12    
1a30_ligand_281     3.26    
1a30_ligand_287     3.26    
1a30_ligand_288     3.26    
1a30_ligand_291     3.26    
1a30_ligand_299     3.26    
1a30_ligand_300     3.26    
1a30_ligand_303     3.26    
1a30_ligand_305     3.26    
1a30_ligand_306     3.26    
1a30_ligand_307     3.26    
1a30_ligand_315     3.26    
1a30_ligand_316     3.26    
1a30_ligand_318     3.26    
1a30_ligand_321     3.26    
1a30_ligand_324     3.26    
1a30_ligand_325     3.26    
1a30_ligand_328     3.26    
1a30_ligand_330     3.26    
1a30_ligand_336     3.26    
1a30_ligand_339     3.26    
1a30_ligand_342     3.26    
1a30_ligand_343     3.26    
1a30_ligand_344     3.26    
1a30_ligand_345     3.26    
1a30_ligand_35      5.88    
1a30_ligand_350     3.26    
1a30_ligand_387     6.26    
1a30_ligand_391     6.27    
1a30_ligand_395     6.51    
1a30_ligand_396     5.98    
1a30_ligand_40      5.99    
1a30_ligand_469     6.36    
1a30_ligand_47      5.32    
1a30_ligand_471     6.18    
1a30_ligand_55      5.83    
1a30_ligand_66      5.66    
1a30_ligand_68      4.58    
1a30_ligand_70      5.74    
1a30_ligand_75      5.43    
1a30_ligand_8       5.16    
1a30_ligand_85      5.02    
1a30_ligand_88      4.72    
1a30_ligand_96      5.54    
1bcu_ligand_10      6.39    
1bcu_ligand_110     6.06    
1bcu_ligand_150     5.69    
1bcu_ligand_154     6.41    
1bcu_ligand_156     6.55    
1bcu_ligand_169     4.11    
1bcu_ligand_177     4.11    
1bcu_ligand_184     4.11    
1bcu_ligand_187     4.11    
1bcu_ligand_192     4.11    
1bcu_ligand_198     4.11    
1bcu_ligand_203     4.11    
1bcu_ligand_204     4.11    
1bcu_ligand_206     4.11    
1bcu_ligand_215     4.11    
1bcu_ligand_216     4.11    
1bcu_ligand_220     4.11    
