#code_ligand_num    score   
1a30_ligand_1       5.57    
1a30_ligand_101     5.91    
1a30_ligand_106     5.81    
1a30_ligand_108     5.84    
1a30_ligand_11      5.82    
1a30_ligand_113     5.93    
1a30_ligand_124     5.63    
1a30_ligand_126     5.90    
1a30_ligand_133     5.83    
1a30_ligand_139     5.29    
1a30_ligand_140     5.85    
1a30_ligand_142     5.53    
1a30_ligand_148     5.86    
1a30_ligand_167     5.35    
1a30_ligand_185     5.48    
1a30_ligand_187     5.83    
1a30_ligand_188     5.69    
1a30_ligand_190     5.79    
1a30_ligand_191     5.69    
1a30_ligand_192     5.42    
1a30_ligand_199     5.72    
1a30_ligand_204     5.34    
1a30_ligand_208     5.22    
1a30_ligand_211     5.60    
1a30_ligand_213     4.97    
1a30_ligand_215     5.36    
1a30_ligand_216     5.32    
1a30_ligand_217     5.02    
1a30_ligand_22      5.78    
1a30_ligand_224     5.26    
1a30_ligand_227     5.37    
1a30_ligand_23      6.21    
1a30_ligand_231     5.14    
1a30_ligand_233     5.48    
1a30_ligand_240     6.00    
1a30_ligand_245     5.46    
1a30_ligand_246     5.17    
1a30_ligand_248     5.62    
1a30_ligand_249     5.38    
1a30_ligand_25      5.69    
1a30_ligand_250     5.46    
1a30_ligand_261     5.34    
1a30_ligand_267     5.90    
1a30_ligand_27      5.80    
1a30_ligand_271     5.14    
1a30_ligand_272     5.63    
1a30_ligand_283     5.43    
1a30_ligand_290     5.56    
1a30_ligand_293     4.94    
1a30_ligand_299     5.11    
1a30_ligand_300     4.93    
1a30_ligand_308     5.20    
1a30_ligand_309     5.25    
1a30_ligand_310     5.32    
1a30_ligand_315     5.59    
1a30_ligand_316     5.16    
1a30_ligand_317     5.30    
1a30_ligand_318     5.45    
1a30_ligand_319     5.32    
1a30_ligand_32      6.01    
1a30_ligand_323     5.62    
1a30_ligand_327     5.53    
1a30_ligand_337     5.58    
1a30_ligand_344     5.83    
1a30_ligand_345     5.41    
1a30_ligand_350     5.64    
1a30_ligand_353     5.45    
1a30_ligand_37      5.30    
1a30_ligand_370     5.94    
1a30_ligand_374     5.97    
1a30_ligand_378     5.53    
1a30_ligand_380     5.95    
1a30_ligand_382     5.84    
