#code_ligand_num    score   
1a30_ligand_103     5.74    
1a30_ligand_108     5.79    
1a30_ligand_11      5.90    
1a30_ligand_113     6.07    
1a30_ligand_122     5.91    
1a30_ligand_125     6.43    
1a30_ligand_138     6.03    
1a30_ligand_14      5.63    
1a30_ligand_147     5.79    
1a30_ligand_148     5.84    
1a30_ligand_152     6.02    
1a30_ligand_153     5.92    
1a30_ligand_167     6.06    
1a30_ligand_170     6.18    
1a30_ligand_172     5.78    
1a30_ligand_173     5.90    
1a30_ligand_178     5.88    
1a30_ligand_19      5.85    
1a30_ligand_198     5.91    
1a30_ligand_199     6.00    
1a30_ligand_204     5.80    
1a30_ligand_207     5.99    
1a30_ligand_213     5.61    
1a30_ligand_216     5.94    
1a30_ligand_218     5.75    
1a30_ligand_219     5.91    
1a30_ligand_220     5.98    
1a30_ligand_221     5.62    
1a30_ligand_223     5.54    
1a30_ligand_227     5.48    
1a30_ligand_228     5.72    
1a30_ligand_229     5.99    
1a30_ligand_235     5.71    
1a30_ligand_237     6.08    
1a30_ligand_238     5.53    
1a30_ligand_239     5.42    
1a30_ligand_241     5.71    
1a30_ligand_247     6.17    
1a30_ligand_251     5.65    
1a30_ligand_254     5.72    
1a30_ligand_261     5.48    
1a30_ligand_265     5.50    
1a30_ligand_269     5.62    
1a30_ligand_278     5.96    
1a30_ligand_279     5.62    
1a30_ligand_280     5.39    
1a30_ligand_281     5.67    
1a30_ligand_282     6.10    
1a30_ligand_283     5.74    
1a30_ligand_286     5.42    
1a30_ligand_292     5.73    
1a30_ligand_293     5.57    
1a30_ligand_301     6.03    
1a30_ligand_306     5.63    
1a30_ligand_311     5.60    
1a30_ligand_319     5.53    
1a30_ligand_321     5.77    
1a30_ligand_326     5.67    
1a30_ligand_327     5.60    
1a30_ligand_336     5.67    
1a30_ligand_337     5.67    
1a30_ligand_343     5.60    
1a30_ligand_347     5.51    
1a30_ligand_35      5.98    
1a30_ligand_351     6.24    
1a30_ligand_364     6.54    
1a30_ligand_368     6.16    
1a30_ligand_37      5.64    
1a30_ligand_373     6.42    
1a30_ligand_376     5.90    
1a30_ligand_384     5.53    
1a30_ligand_392     6.22    
