#code_ligand_num    score   
1a30_ligand_100     5.22    
1a30_ligand_105     6.11    
1a30_ligand_106     5.63    
1a30_ligand_108     5.93    
1a30_ligand_119     5.62    
1a30_ligand_13      5.02    
1a30_ligand_134     5.85    
1a30_ligand_138     5.89    
1a30_ligand_14      5.60    
1a30_ligand_141     5.86    
1a30_ligand_148     5.41    
1a30_ligand_15      5.53    
1a30_ligand_158     5.61    
1a30_ligand_159     5.48    
1a30_ligand_16      5.44    
1a30_ligand_166     5.59    
1a30_ligand_167     5.52    
1a30_ligand_169     5.68    
1a30_ligand_171     5.28    
1a30_ligand_182     5.65    
1a30_ligand_196     5.37    
1a30_ligand_197     5.64    
1a30_ligand_2       5.61    
1a30_ligand_202     4.73    
1a30_ligand_203     5.28    
1a30_ligand_206     4.91    
1a30_ligand_207     4.95    
1a30_ligand_21      5.10    
1a30_ligand_215     5.03    
1a30_ligand_216     5.02    
1a30_ligand_217     5.50    
1a30_ligand_218     4.87    
1a30_ligand_219     4.97    
1a30_ligand_22      5.78    
1a30_ligand_220     5.02    
1a30_ligand_225     4.78    
1a30_ligand_23      5.47    
1a30_ligand_233     5.23    
1a30_ligand_239     5.62    
1a30_ligand_243     5.13    
1a30_ligand_246     5.68    
1a30_ligand_248     5.01    
1a30_ligand_253     5.17    
1a30_ligand_26      5.40    
1a30_ligand_27      5.41    
1a30_ligand_274     5.42    
1a30_ligand_275     5.35    
1a30_ligand_279     5.61    
1a30_ligand_282     5.16    
1a30_ligand_29      5.16    
1a30_ligand_290     5.38    
1a30_ligand_291     5.52    
1a30_ligand_294     5.44    
1a30_ligand_310     5.56    
1a30_ligand_314     5.04    
1a30_ligand_315     5.08    
1a30_ligand_318     4.94    
1a30_ligand_323     5.35    
1a30_ligand_326     4.83    
1a30_ligand_329     5.07    
1a30_ligand_34      5.60    
1a30_ligand_353     6.04    
1a30_ligand_356     6.11    
1a30_ligand_357     5.72    
1a30_ligand_36      5.40    
1a30_ligand_363     5.13    
1a30_ligand_366     5.86    
1a30_ligand_372     5.45    
1a30_ligand_379     6.18    
1a30_ligand_38      5.88    
1a30_ligand_39      4.82    
1a30_ligand_391     5.49    
1a30_ligand_395     5.93    
1a30_ligand_398     5.91    
1a30_ligand_411     5.92    
1a30_ligand_42      5.03    
1a30_ligand_421     5.51    
1a30_ligand_45      5.03    
1a30_ligand_467     5.92    
1a30_ligand_481     5.91    
1a30_ligand_49      5.38    
1a30_ligand_496     5.70    
1a30_ligand_52      5.29    
1a30_ligand_56      4.72    
1a30_ligand_59      5.53    
1a30_ligand_6       5.17    
1a30_ligand_63      5.44    
1a30_ligand_64      5.22    
1a30_ligand_68      5.76    
1a30_ligand_7       5.19    
1a30_ligand_73      5.48    
1a30_ligand_76      5.65    
1a30_ligand_81      5.31    
1a30_ligand_82      5.05    
1a30_ligand_88      4.50    
1a30_ligand_9       5.61    
1a30_ligand_94      5.86    
1a30_ligand_95      4.98    
1a30_ligand_97      5.13    
1a30_ligand_99      5.12    
1bcu_ligand_105     6.34    
1bcu_ligand_126     5.61    
1bcu_ligand_153     6.23    
1bcu_ligand_170     6.17    
1bcu_ligand_172     6.21    
1bcu_ligand_188     6.04    
1bcu_ligand_189     6.09    
1bcu_ligand_211     6.18    
1bcu_ligand_220     6.11    
1bcu_ligand_221     6.28    
1bcu_ligand_239     6.13    
1bcu_ligand_241     6.26    
1bcu_ligand_248     6.05    
1bcu_ligand_250     6.06    
1bcu_ligand_252     6.04    
1bcu_ligand_256     5.90    
1bcu_ligand_258     5.89    
1bcu_ligand_26      6.31    
1bcu_ligand_265     5.99    
1bcu_ligand_269     6.05    
1bcu_ligand_270     5.76    
1bcu_ligand_273     6.24    
1bcu_ligand_277     6.11    
1bcu_ligand_278     6.07    
1bcu_ligand_284     6.17    
1bcu_ligand_286     5.78    
1bcu_ligand_288     5.80    
1bcu_ligand_293     5.89    
1bcu_ligand_300     5.95    
1bcu_ligand_312     6.13    
1bcu_ligand_327     6.06    
1bcu_ligand_329     6.26    
1bcu_ligand_342     6.06    
1bcu_ligand_343     6.26    
1bcu_ligand_345     6.38    
1bcu_ligand_347     6.02    
1bcu_ligand_352     6.06    
1bcu_ligand_361     5.91    
1bcu_ligand_362     5.89    
1bcu_ligand_364     5.74    
1bcu_ligand_365     5.89    
1bcu_ligand_366     5.77    
1bcu_ligand_367     5.33    
1bcu_ligand_369     5.25    
1bcu_ligand_371     4.90    
1bcu_ligand_372     5.41    
1bcu_ligand_374     4.78    
1bcu_ligand_376     4.83    
1bcu_ligand_377     4.99    
1bcu_ligand_379     4.73    
1bcu_ligand_380     5.23    
1bcu_ligand_381     5.27    
1bcu_ligand_382     5.48    
1bcu_ligand_383     5.40    
1bcu_ligand_385     5.01    
1bcu_ligand_386     4.97    
1bcu_ligand_387     4.80    
1bcu_ligand_388     4.86    
1bcu_ligand_389     5.15    
1bcu_ligand_390     5.19    
1bcu_ligand_392     4.36    
1bcu_ligand_393     4.37    
1bcu_ligand_395     4.67    
