#code_ligand_num    score   
4gr0_ligand_497     7.78    
3e93_ligand_139     7.62    
2x00_ligand_313     7.79    
2p15_ligand_157     7.46    
2p15_ligand_131     7.63    
3e93_ligand_477     7.60    
2x00_ligand_470     7.74    
2x00_ligand_103     7.80    
2x00_ligand_322     7.69    
2x00_ligand_91      7.76    
2x00_ligand_197     7.84    
2qnq_ligand_376     7.48    
2x00_ligand_172     7.66    
2p15_ligand_102     7.64    
4crc_ligand_151     7.47    
4gr0_ligand_387     7.50    
2p15_ligand_154     7.46    
2x00_ligand_169     7.62    
3jvs_ligand_157     7.22    
3e93_ligand_70      7.37    
2x00_ligand_177     7.57    
2wtv_ligand_173     7.32    
2x00_ligand_193     7.73    
2wtv_ligand_259     7.59    
2yki_ligand_500     7.34    
4gid_ligand_494     7.22    
3pww_ligand_378     7.46    
4w9l_ligand_452     7.54    
3e93_ligand_394     7.35    
3b1m_ligand_316     7.39    
3e93_ligand_175     7.26    
2qnq_ligand_459     7.64    
3e93_ligand_356     7.42    
4w9l_ligand_455     7.65    
1eby_ligand_445     7.36    
1o3f_ligand_219     7.17    
2yki_ligand_457     7.27    
2qbq_ligand_89      7.49    
1o3f_ligand_189     7.08    
3uo4_ligand_143     7.46    
2x00_ligand_185     7.58    
2yki_ligand_418     7.09    
3jvs_ligand_327     7.33    
2yki_ligand_322     7.15    
4cra_ligand_307     7.34    
2x00_ligand_404     7.58    
3pww_ligand_437     7.55    
2p15_ligand_56      7.10    
3pww_ligand_306     7.24    
2x00_ligand_480     7.48    
3e93_ligand_489     7.24    
1eby_ligand_403     7.23    
2yki_ligand_447     7.17    
4x6p_ligand_157     7.30    
3jvs_ligand_243     7.14    
2wtv_ligand_90      7.28    
3e93_ligand_82      7.31    
2yki_ligand_164     7.14    
3wz8_ligand_430     7.56    
4wiv_ligand_320     7.41    
3pww_ligand_178     7.37    
1o3f_ligand_302     7.17    
4gid_ligand_110     7.31    
3uo4_ligand_125     7.06    
2zb1_ligand_5       7.33    
3jvs_ligand_321     7.25    
3arq_ligand_477     7.33    
2p15_ligand_76      7.29    
2yki_ligand_139     7.29    
2yki_ligand_178     7.03    
2x00_ligand_311     7.52    
2zb1_ligand_201     7.20    
3uo4_ligand_396     7.07    
2yki_ligand_360     6.99    
2p15_ligand_51      7.14    
2p15_ligand_265     7.17    
2r9w_ligand_395     7.13    
3arq_ligand_336     7.34    
2p15_ligand_263     7.14    
1o3f_ligand_337     7.01    
3e92_ligand_12      7.29    
4gid_ligand_471     7.26    
2p15_ligand_371     6.96    
3bgz_ligand_68      6.99    
4x6p_ligand_163     6.90    
3uo4_ligand_47      7.15    
4x6p_ligand_154     7.35    
3b1m_ligand_471     7.18    
3gnw_ligand_326     7.49    
2zb1_ligand_140     7.15    
3uo4_ligand_201     7.12    
1o3f_ligand_76      7.03    
1k1i_ligand_5       7.14    
2zb1_ligand_305     7.25    
3pww_ligand_412     7.23    
2yki_ligand_349     7.12    
4cra_ligand_422     7.37    
2qnq_ligand_441     7.26    
2yki_ligand_321     7.01    
4gid_ligand_87      7.21    
3e92_ligand_189     7.20    
2yki_ligand_376     6.96    
3gnw_ligand_190     7.24    
2yki_ligand_152     7.32    
3bgz_ligand_95      7.21    
2p15_ligand_133     7.25    
4ogj_ligand_35      7.28    
3nw9_ligand_468     7.05    
2yki_ligand_379     6.95    
4gid_ligand_398     7.18    
3e93_ligand_12      7.30    
4f9w_ligand_24      7.00    
4gr0_ligand_77      7.20    
3jvs_ligand_305     7.13    
1k1i_ligand_452     7.34    
2wtv_ligand_161     7.04    
3zso_ligand_152     7.01    
3e93_ligand_134     6.85    
4gid_ligand_354     7.40    
3e93_ligand_494     7.19    
4gr0_ligand_428     7.16    
2wtv_ligand_77      7.09    
3e93_ligand_9       7.22    
2x00_ligand_379     7.31    
4ogj_ligand_416     7.51    
2p15_ligand_163     7.22    
3e93_ligand_146     7.20    
4w9h_ligand_151     7.30    
2yki_ligand_99      7.02    
4f9w_ligand_22      7.06    
3arp_ligand_359     7.10    
3e93_ligand_485     7.18    
2wtv_ligand_85      7.32    
3e92_ligand_319     7.22    
3gnw_ligand_164     7.41    
3tsk_ligand_383     7.13    
1o3f_ligand_181     7.06    
2yki_ligand_282     7.27    
1o3f_ligand_195     6.97    
3jvs_ligand_155     7.11    
3uo4_ligand_425     7.19    
1nvq_ligand_186     7.10    
3uo4_ligand_70      6.93    
1o3f_ligand_163     6.92    
1o3f_ligand_314     7.11    
2x00_ligand_270     7.37    
3uo4_ligand_170     7.30    
4twp_ligand_139     7.24    
4ogj_ligand_278     7.20    
1o3f_ligand_179     7.10    
2p15_ligand_199     7.06    
3gnw_ligand_351     7.18    
4w9l_ligand_437     7.24    
3e92_ligand_311     7.21    
2wtv_ligand_72      7.08    
1o3f_ligand_155     7.06    
1o3f_ligand_116     7.01    
2p4y_ligand_102     7.35    
2yki_ligand_355     7.13    
4gr0_ligand_432     7.00    
3jvs_ligand_191     7.36    
1lpg_ligand_163     6.74    
3e92_ligand_55      7.29    
2p15_ligand_145     7.22    
2yki_ligand_210     7.05    
3b1m_ligand_488     7.17    
2zb1_ligand_187     7.11    
2x00_ligand_329     7.48    
3uo4_ligand_167     7.25    
