#code_ligand_num    score   
1a30_ligand_103     4.47    
1a30_ligand_108     6.26    
1a30_ligand_109     6.29    
1a30_ligand_110     5.27    
1a30_ligand_115     6.38    
1a30_ligand_12      6.05    
1a30_ligand_128     6.12    
1a30_ligand_131     5.19    
1a30_ligand_134     4.97    
1a30_ligand_138     5.28    
1a30_ligand_14      5.13    
1a30_ligand_145     4.77    
1a30_ligand_149     5.71    
1a30_ligand_155     6.13    
1a30_ligand_16      4.94    
1a30_ligand_160     5.78    
1a30_ligand_167     5.76    
1a30_ligand_17      6.17    
1a30_ligand_173     5.77    
1a30_ligand_174     5.87    
1a30_ligand_175     5.86    
1a30_ligand_178     5.86    
1a30_ligand_18      5.30    
1a30_ligand_183     5.72    
1a30_ligand_189     6.12    
1a30_ligand_191     5.38    
1a30_ligand_193     5.71    
1a30_ligand_199     5.80    
1a30_ligand_201     5.44    
1a30_ligand_203     4.80    
1a30_ligand_206     5.24    
1a30_ligand_208     4.95    
1a30_ligand_209     6.16    
1a30_ligand_212     5.14    
1a30_ligand_216     5.47    
1a30_ligand_219     5.30    
1a30_ligand_22      6.44    
1a30_ligand_221     4.81    
1a30_ligand_222     5.21    
1a30_ligand_224     5.13    
1a30_ligand_226     5.37    
1a30_ligand_228     5.24    
1a30_ligand_229     5.74    
1a30_ligand_233     5.17    
1a30_ligand_237     5.21    
1a30_ligand_238     5.18    
1a30_ligand_241     5.23    
1a30_ligand_244     4.69    
1a30_ligand_245     5.92    
1a30_ligand_246     5.08    
1a30_ligand_247     5.38    
1a30_ligand_248     5.26    
1a30_ligand_250     5.73    
1a30_ligand_255     5.12    
1a30_ligand_259     6.12    
1a30_ligand_260     6.10    
1a30_ligand_266     5.47    
1a30_ligand_267     5.50    
1a30_ligand_270     5.47    
1a30_ligand_282     5.21    
1a30_ligand_284     5.19    
1a30_ligand_290     5.73    
1a30_ligand_291     5.28    
1a30_ligand_293     5.37    
1a30_ligand_297     5.13    
1a30_ligand_298     5.45    
1a30_ligand_299     5.73    
1a30_ligand_30      6.07    
1a30_ligand_312     5.59    
1a30_ligand_315     4.83    
1a30_ligand_316     5.52    
1a30_ligand_320     5.54    
1a30_ligand_321     5.89    
1a30_ligand_323     5.65    
1a30_ligand_324     5.41    
1a30_ligand_325     5.66    
1a30_ligand_337     5.93    
1a30_ligand_346     5.02    
1a30_ligand_35      6.21    
1a30_ligand_358     6.27    
1a30_ligand_374     5.64    
1a30_ligand_376     5.99    
1a30_ligand_390     6.27    
1a30_ligand_399     6.24    
1a30_ligand_45      6.08    
1a30_ligand_46      5.50    
1a30_ligand_470     6.52    
1a30_ligand_48      5.13    
1a30_ligand_480     6.06    
1a30_ligand_483     6.49    
1a30_ligand_485     5.98    
1a30_ligand_492     5.89    
1a30_ligand_493     5.94    
1a30_ligand_5       6.31    
1a30_ligand_500     6.44    
1a30_ligand_56      5.03    
1a30_ligand_60      5.06    
1a30_ligand_63      5.39    
1a30_ligand_65      6.32    
1a30_ligand_95      4.90    
1bcu_ligand_120     6.26    
1bcu_ligand_162     6.42    
1bcu_ligand_164     6.22    
1bcu_ligand_172     6.14    
1bcu_ligand_174     6.21    
1bcu_ligand_183     6.25    
1bcu_ligand_184     6.05    
1bcu_ligand_186     6.33    
1bcu_ligand_189     6.40    
1bcu_ligand_190     6.08    
1bcu_ligand_193     6.23    
1bcu_ligand_196     6.31    
1bcu_ligand_204     5.95    
1bcu_ligand_206     6.44    
1bcu_ligand_212     6.25    
1bcu_ligand_217     6.05    
1bcu_ligand_230     6.11    
1bcu_ligand_234     6.00    
1bcu_ligand_243     6.18    
1bcu_ligand_245     5.42    
1bcu_ligand_250     6.18    
1bcu_ligand_258     5.91    
1bcu_ligand_260     5.95    
1bcu_ligand_275     6.22    
1bcu_ligand_280     6.12    
1bcu_ligand_282     6.13    
1bcu_ligand_286     6.00    
1bcu_ligand_287     5.89    
1bcu_ligand_295     6.03    
1bcu_ligand_297     6.10    
1bcu_ligand_302     6.28    
1bcu_ligand_320     6.27    
1bcu_ligand_329     6.43    
1bcu_ligand_336     6.12    
1bcu_ligand_339     6.13    
1bcu_ligand_341     6.26    
1bcu_ligand_342     6.23    
1bcu_ligand_345     6.15    
1bcu_ligand_347     6.23    
1bcu_ligand_348     6.15    
1bcu_ligand_349     6.04    
1bcu_ligand_354     6.25    
1bcu_ligand_357     6.65    
1bcu_ligand_364     5.60    
1bcu_ligand_365     6.40    
1bcu_ligand_366     6.10    
1bcu_ligand_367     5.95    
1bcu_ligand_368     5.93    
1bcu_ligand_369     5.38    
1bcu_ligand_37      6.55    
1bcu_ligand_371     5.54    
1bcu_ligand_372     5.53    
1bcu_ligand_373     5.74    
1bcu_ligand_374     5.68    
1bcu_ligand_377     5.50    
1bcu_ligand_380     5.51    
1bcu_ligand_381     5.28    
1bcu_ligand_382     5.07    
1bcu_ligand_383     5.69    
1bcu_ligand_384     5.22    
1bcu_ligand_387     6.23    
1bcu_ligand_388     5.15    
1bcu_ligand_389     5.62    
1bcu_ligand_392     5.66    
1bcu_ligand_393     5.14    
1bcu_ligand_394     5.98    
1bcu_ligand_395     5.84    
1bcu_ligand_397     5.56    
1bcu_ligand_399     5.61    
1bcu_ligand_400     4.90    
1bcu_ligand_413     6.07    
1bcu_ligand_416     6.12    
1bcu_ligand_418     6.48    
1bcu_ligand_421     5.85    
1bcu_ligand_422     6.01    
1bcu_ligand_427     5.41    
1bcu_ligand_429     6.11    
1bcu_ligand_432     6.59    
1bcu_ligand_433     5.84    
1bcu_ligand_434     5.37    
1bcu_ligand_438     6.21    
1bcu_ligand_439     6.25    
1bcu_ligand_445     5.95    
1bcu_ligand_446     5.83    
1bcu_ligand_448     5.90    
1bcu_ligand_450     6.03    
1bcu_ligand_451     6.27    
1bcu_ligand_453     6.28    
1bcu_ligand_461     6.55    
1bcu_ligand_469     5.99    
1bcu_ligand_470     6.44    
1bcu_ligand_477     5.48    
1bcu_ligand_479     6.44    
1bcu_ligand_480     6.25    
1bcu_ligand_484     6.33    
1bcu_ligand_486     5.74    
