#code_ligand_num    score   
1a30_ligand_10      5.59    
1a30_ligand_101     4.81    
1a30_ligand_102     5.60    
1a30_ligand_103     5.20    
1a30_ligand_110     5.21    
1a30_ligand_126     5.07    
1a30_ligand_129     4.77    
1a30_ligand_130     6.02    
1a30_ligand_132     5.00    
1a30_ligand_134     5.35    
1a30_ligand_139     5.18    
1a30_ligand_140     5.63    
1a30_ligand_142     4.73    
1a30_ligand_145     4.96    
1a30_ligand_146     4.71    
1a30_ligand_148     5.30    
1a30_ligand_15      5.22    
1a30_ligand_150     5.21    
1a30_ligand_153     5.55    
1a30_ligand_158     5.53    
1a30_ligand_162     5.59    
1a30_ligand_163     5.47    
1a30_ligand_166     5.59    
1a30_ligand_167     5.51    
1a30_ligand_17      5.40    
1a30_ligand_174     5.50    
1a30_ligand_185     5.66    
1a30_ligand_186     5.69    
1a30_ligand_198     5.43    
1a30_ligand_203     5.21    
1a30_ligand_208     4.99    
1a30_ligand_209     5.27    
1a30_ligand_21      5.98    
1a30_ligand_212     5.06    
1a30_ligand_213     4.71    
1a30_ligand_214     5.25    
1a30_ligand_215     4.96    
1a30_ligand_217     4.82    
1a30_ligand_218     5.00    
1a30_ligand_223     4.94    
1a30_ligand_224     5.27    
1a30_ligand_225     5.19    
1a30_ligand_228     4.33    
1a30_ligand_23      5.97    
1a30_ligand_230     4.49    
1a30_ligand_231     4.84    
1a30_ligand_232     5.10    
1a30_ligand_235     4.82    
1a30_ligand_240     4.77    
1a30_ligand_242     4.77    
1a30_ligand_243     4.69    
1a30_ligand_245     5.41    
1a30_ligand_246     5.01    
1a30_ligand_248     4.47    
1a30_ligand_254     5.37    
1a30_ligand_259     5.33    
1a30_ligand_260     5.77    
1a30_ligand_263     5.56    
1a30_ligand_265     4.91    
1a30_ligand_266     4.93    
1a30_ligand_267     5.32    
1a30_ligand_27      5.51    
1a30_ligand_273     5.12    
1a30_ligand_278     5.21    
1a30_ligand_28      5.71    
1a30_ligand_282     5.21    
1a30_ligand_289     5.27    
1a30_ligand_291     5.24    
1a30_ligand_292     4.69    
1a30_ligand_293     5.01    
1a30_ligand_298     5.42    
1a30_ligand_300     5.61    
1a30_ligand_301     5.14    
1a30_ligand_305     5.40    
1a30_ligand_309     5.20    
1a30_ligand_31      5.75    
1a30_ligand_310     5.32    
1a30_ligand_319     5.28    
1a30_ligand_32      5.18    
1a30_ligand_324     4.95    
1a30_ligand_326     5.22    
1a30_ligand_328     5.49    
1a30_ligand_335     4.96    
1a30_ligand_345     4.98    
1a30_ligand_35      5.85    
1a30_ligand_44      5.74    
1a30_ligand_47      5.61    
1a30_ligand_51      5.76    
1a30_ligand_59      4.66    
1a30_ligand_61      5.03    
1a30_ligand_63      5.03    
1a30_ligand_67      5.04    
1a30_ligand_68      4.99    
1a30_ligand_73      5.11    
1a30_ligand_77      5.07    
1a30_ligand_78      4.75    
1a30_ligand_85      4.89    
1a30_ligand_87      5.29    
1a30_ligand_94      4.63    
1a30_ligand_96      4.87    
1bcu_ligand_111     5.41    
1bcu_ligand_112     5.89    
1bcu_ligand_120     5.99    
1bcu_ligand_124     5.78    
1bcu_ligand_131     5.78    
1bcu_ligand_167     6.30    
1bcu_ligand_172     6.08    
1bcu_ligand_179     5.98    
1bcu_ligand_184     5.94    
1bcu_ligand_188     5.95    
1bcu_ligand_196     5.81    
1bcu_ligand_2       6.20    
1bcu_ligand_202     6.00    
1bcu_ligand_207     6.12    
1bcu_ligand_211     5.72    
1bcu_ligand_213     6.01    
1bcu_ligand_215     5.29    
1bcu_ligand_217     5.80    
1bcu_ligand_219     5.82    
1bcu_ligand_221     5.78    
1bcu_ligand_222     5.72    
1bcu_ligand_224     5.54    
1bcu_ligand_226     5.63    
1bcu_ligand_227     5.27    
1bcu_ligand_228     6.08    
1bcu_ligand_236     5.39    
1bcu_ligand_237     5.70    
1bcu_ligand_239     5.56    
1bcu_ligand_243     5.36    
1bcu_ligand_244     5.56    
1bcu_ligand_263     5.49    
1bcu_ligand_265     5.28    
1bcu_ligand_269     5.47    
1bcu_ligand_270     5.97    
1bcu_ligand_283     5.91    
1bcu_ligand_288     5.54    
1bcu_ligand_289     5.95    
1bcu_ligand_292     5.35    
1bcu_ligand_294     5.89    
1bcu_ligand_297     5.67    
1bcu_ligand_299     5.64    
1bcu_ligand_300     5.36    
1bcu_ligand_307     6.16    
1bcu_ligand_313     6.09    
1bcu_ligand_316     5.55    
1bcu_ligand_328     6.20    
1bcu_ligand_330     6.17    
1bcu_ligand_340     6.16    
1bcu_ligand_342     5.78    
1bcu_ligand_344     5.87    
1bcu_ligand_345     5.73    
1bcu_ligand_348     6.13    
1bcu_ligand_351     6.06    
1bcu_ligand_357     5.14    
1bcu_ligand_358     5.15    
1bcu_ligand_359     5.07    
1bcu_ligand_360     4.91    
1bcu_ligand_361     5.65    
1bcu_ligand_362     5.23    
1bcu_ligand_367     5.22    
1bcu_ligand_371     4.93    
1bcu_ligand_372     5.55    
1bcu_ligand_373     5.19    
1bcu_ligand_374     5.25    
1bcu_ligand_378     5.10    
1bcu_ligand_379     5.64    
1bcu_ligand_380     5.60    
1bcu_ligand_382     5.25    
1bcu_ligand_384     5.05    
1bcu_ligand_385     5.01    
1bcu_ligand_387     4.87    
1bcu_ligand_388     5.33    
1bcu_ligand_389     5.33    
1bcu_ligand_390     4.94    
1bcu_ligand_392     4.81    
1bcu_ligand_393     5.04    
1bcu_ligand_394     5.27    
1bcu_ligand_395     6.07    
1bcu_ligand_397     4.95    
1bcu_ligand_398     5.19    
1bcu_ligand_399     5.24    
1bcu_ligand_400     5.07    
1bcu_ligand_401     5.27    
1bcu_ligand_404     5.29    
1bcu_ligand_409     5.79    
1bcu_ligand_414     5.32    
1bcu_ligand_417     5.51    
1bcu_ligand_418     5.24    
1bcu_ligand_426     5.50    
1bcu_ligand_427     5.43    
1bcu_ligand_439     5.16    
1bcu_ligand_440     5.24    
1bcu_ligand_441     5.25    
1bcu_ligand_443     5.07    
1bcu_ligand_447     5.33    
1bcu_ligand_466     5.28    
1bcu_ligand_475     5.48    
1bcu_ligand_496     5.12    
1bcu_ligand_82      5.85    
1bcu_ligand_87      6.03    
1bzc_ligand_100     5.57    
1bzc_ligand_109     5.53    
1bzc_ligand_12      6.18    
1bzc_ligand_120     5.68    
1bzc_ligand_122     6.07    
1bzc_ligand_123     5.09    
1bzc_ligand_125     5.70    
1bzc_ligand_131     5.58    
1bzc_ligand_140     6.03    
1bzc_ligand_143     6.11    
1bzc_ligand_144     5.72    
1bzc_ligand_148     5.49    
1bzc_ligand_152     5.92    
1bzc_ligand_154     6.01    
1bzc_ligand_159     5.67    
1bzc_ligand_17      6.25    
1bzc_ligand_172     5.63    
1bzc_ligand_174     5.86    
1bzc_ligand_175     5.81    
1bzc_ligand_177     6.21    
1bzc_ligand_180     5.87    
1bzc_ligand_187     5.85    
1bzc_ligand_188     6.01    
1bzc_ligand_189     5.64    
1bzc_ligand_192     5.94    
1bzc_ligand_196     5.81    
1bzc_ligand_197     5.92    
1bzc_ligand_198     6.04    
1bzc_ligand_199     5.65    
1bzc_ligand_200     6.00    
1bzc_ligand_201     5.12    
1bzc_ligand_203     5.34    
1bzc_ligand_210     5.32    
1bzc_ligand_211     4.95    
1bzc_ligand_217     5.09    
1bzc_ligand_221     4.95    
1bzc_ligand_222     5.11    
1bzc_ligand_223     4.82    
1bzc_ligand_224     5.08    
1bzc_ligand_228     5.69    
1bzc_ligand_229     5.02    
1bzc_ligand_231     5.30    
1bzc_ligand_234     5.26    
1bzc_ligand_235     5.03    
1bzc_ligand_238     5.19    
1bzc_ligand_243     5.06    
1bzc_ligand_248     6.35    
1bzc_ligand_249     5.15    
1bzc_ligand_250     5.03    
1bzc_ligand_254     5.68    
1bzc_ligand_256     5.82    
1bzc_ligand_257     5.91    
1bzc_ligand_259     5.29    
1bzc_ligand_262     5.90    
1bzc_ligand_263     5.67    
1bzc_ligand_265     5.59    
1bzc_ligand_267     5.47    
1bzc_ligand_268     5.67    
1bzc_ligand_271     5.63    
1bzc_ligand_276     5.13    
1bzc_ligand_281     5.35    
1bzc_ligand_282     5.50    
1bzc_ligand_284     5.85    
1bzc_ligand_287     5.29    
1bzc_ligand_288     5.37    
1bzc_ligand_29      5.84    
1bzc_ligand_292     5.49    
1bzc_ligand_297     5.93    
1bzc_ligand_306     5.80    
1bzc_ligand_307     5.46    
1bzc_ligand_31      5.64    
1bzc_ligand_312     6.13    
1bzc_ligand_315     5.78    
1bzc_ligand_318     5.67    
1bzc_ligand_320     5.57    
1bzc_ligand_321     5.62    
1bzc_ligand_324     5.05    
1bzc_ligand_327     5.52    
1bzc_ligand_331     5.45    
1bzc_ligand_335     5.60    
1bzc_ligand_336     5.66    
1bzc_ligand_341     5.50    
1bzc_ligand_343     5.55    
1bzc_ligand_347     5.82    
1bzc_ligand_349     5.11    
1bzc_ligand_388     6.00    
1bzc_ligand_47      5.81    
1bzc_ligand_49      5.92    
1bzc_ligand_5       6.18    
1bzc_ligand_52      5.55    
1bzc_ligand_56      6.21    
1bzc_ligand_64      5.55    
1bzc_ligand_65      5.61    
1bzc_ligand_72      5.99    
1bzc_ligand_73      5.09    
1bzc_ligand_76      6.13    
1bzc_ligand_81      5.79    
1bzc_ligand_91      5.61    
1bzc_ligand_95      5.83    
1bzc_ligand_97      5.83    
1c5z_ligand_1       5.76    
1c5z_ligand_106     5.44    
1c5z_ligand_108     5.55    
1c5z_ligand_116     5.34    
1c5z_ligand_129     5.29    
1c5z_ligand_139     5.57    
1c5z_ligand_153     5.58    
1c5z_ligand_155     5.49    
1c5z_ligand_157     5.58    
1c5z_ligand_162     5.60    
1c5z_ligand_172     5.47    
1c5z_ligand_174     5.50    
1c5z_ligand_182     5.37    
1c5z_ligand_185     5.60    
1c5z_ligand_189     5.49    
1c5z_ligand_190     5.41    
1c5z_ligand_191     5.40    
1c5z_ligand_193     5.49    
1c5z_ligand_194     5.66    
1c5z_ligand_195     5.48    
1c5z_ligand_196     5.64    
1c5z_ligand_198     5.45    
1c5z_ligand_199     5.55    
1c5z_ligand_2       5.68    
1c5z_ligand_20      5.63    
1c5z_ligand_204     5.51    
1c5z_ligand_206     5.47    
1c5z_ligand_207     5.59    
1c5z_ligand_208     5.31    
1c5z_ligand_210     5.38    
1c5z_ligand_211     5.11    
1c5z_ligand_212     5.14    
1c5z_ligand_215     5.32    
1c5z_ligand_217     5.43    
1c5z_ligand_218     5.22    
1c5z_ligand_221     5.65    
1c5z_ligand_222     5.28    
1c5z_ligand_227     5.60    
1c5z_ligand_230     5.19    
1c5z_ligand_231     5.54    
1c5z_ligand_233     5.16    
1c5z_ligand_237     5.71    
1c5z_ligand_238     5.07    
1c5z_ligand_242     5.53    
1c5z_ligand_243     5.05    
1c5z_ligand_245     5.07    
1c5z_ligand_247     5.21    
1c5z_ligand_248     5.51    
1c5z_ligand_249     5.39    
1c5z_ligand_250     5.50    
1c5z_ligand_251     5.15    
1c5z_ligand_254     5.44    
1c5z_ligand_255     5.29    
1c5z_ligand_256     5.30    
1c5z_ligand_258     5.22    
1c5z_ligand_266     5.46    
1c5z_ligand_268     5.10    
