#code_ligand_num    score   
2p15_ligand_369     8.41    
3prs_ligand_380     8.69    
2p15_ligand_151     8.18    
2p15_ligand_375     8.13    
1lpg_ligand_116     8.47    
3e93_ligand_112     8.38    
1lpg_ligand_30      8.11    
4gr0_ligand_55      8.40    
3jvs_ligand_353     8.45    
1lpg_ligand_66      8.05    
2x00_ligand_160     8.18    
4qd6_ligand_133     8.32    
2wtv_ligand_376     8.26    
2x00_ligand_386     8.30    
3b1m_ligand_265     8.16    
2p15_ligand_164     7.85    
2qnq_ligand_380     8.40    
3e93_ligand_157     8.07    
2x00_ligand_153     8.08    
4gid_ligand_423     8.47    
2p15_ligand_174     7.81    
3wz8_ligand_427     8.33    
3e93_ligand_304     7.95    
2yki_ligand_399     7.99    
3e93_ligand_253     8.04    
2p15_ligand_168     7.85    
3uo4_ligand_119     7.99    
3uo4_ligand_77      7.93    
2p15_ligand_155     7.85    
2p15_ligand_252     7.71    
2p15_ligand_180     7.75    
3gnw_ligand_393     8.15    
2p15_ligand_313     7.72    
3pww_ligand_167     8.33    
4ogj_ligand_413     8.60    
3e93_ligand_270     7.93    
3uo4_ligand_104     8.04    
3e93_ligand_152     8.14    
3e93_ligand_345     8.03    
2p15_ligand_269     7.62    
2x00_ligand_163     8.03    
3e92_ligand_25      8.20    
3e93_ligand_265     8.03    
3uo4_ligand_132     8.06    
3pww_ligand_452     8.35    
3zsx_ligand_135     7.92    
2p15_ligand_176     7.65    
2p15_ligand_183     7.65    
4cra_ligand_495     8.10    
4gr0_ligand_132     8.07    
2p15_ligand_307     7.55    
2p15_ligand_306     7.71    
4crc_ligand_383     8.18    
3b1m_ligand_82      8.04    
2p15_ligand_199     7.88    
1sqa_ligand_450     7.73    
4cra_ligand_112     8.02    
2x00_ligand_317     8.04    
2qnq_ligand_389     7.91    
3e93_ligand_180     7.74    
3uo4_ligand_172     7.99    
2x00_ligand_165     7.89    
3b1m_ligand_446     8.32    
4qd6_ligand_149     8.22    
3jvs_ligand_308     8.03    
3gnw_ligand_156     8.37    
2p15_ligand_309     7.80    
3b1m_ligand_290     7.96    
4gr0_ligand_102     8.44    
2p15_ligand_399     7.51    
2yki_ligand_393     7.85    
2p15_ligand_162     7.69    
1sqa_ligand_469     7.75    
3e92_ligand_385     7.98    
2qbq_ligand_310     7.94    
2p15_ligand_215     7.81    
3e93_ligand_276     7.79    
3jvs_ligand_171     7.82    
2x00_ligand_166     8.00    
1lpg_ligand_137     7.80    
1o3f_ligand_99      7.70    
2x00_ligand_380     7.98    
2yki_ligand_398     7.86    
2yki_ligand_307     7.60    
3e92_ligand_310     7.95    
3zsx_ligand_445     7.90    
3e5a_ligand_144     8.38    
3e93_ligand_169     7.79    
4gr0_ligand_59      7.96    
1o3f_ligand_400     7.65    
2x00_ligand_395     8.13    
2x00_ligand_297     7.73    
3zso_ligand_482     7.82    
4ty7_ligand_84      7.80    
2zb1_ligand_210     7.90    
2p15_ligand_301     7.66    
2p15_ligand_197     7.57    
4crc_ligand_158     7.73    
3jvs_ligand_397     7.75    
2wtv_ligand_64      7.69    
3e93_ligand_178     7.78    
2p15_ligand_258     7.63    
4f9w_ligand_451     7.52    
2p15_ligand_273     7.62    
2p15_ligand_302     7.78    
3e93_ligand_278     7.81    
3uo4_ligand_158     7.86    
2p15_ligand_203     7.56    
2yki_ligand_368     7.71    
3e92_ligand_83      7.95    
2zb1_ligand_492     8.00    
3e93_ligand_405     7.71    
2yki_ligand_161     7.69    
3e92_ligand_314     7.94    
2p15_ligand_165     7.58    
2yki_ligand_318     7.48    
3e92_ligand_57      7.71    
3e92_ligand_309     7.84    
2zb1_ligand_304     7.88    
2p15_ligand_320     7.56    
4w9l_ligand_133     8.07    
2qnq_ligand_382     7.80    
4cra_ligand_89      7.68    
4crc_ligand_167     7.88    
2x00_ligand_338     8.03    
3e93_ligand_36      8.01    
3e93_ligand_254     7.67    
3e92_ligand_110     8.00    
2xii_ligand_424     7.81    
3arp_ligand_375     7.99    
2xii_ligand_352     7.88    
3tsk_ligand_86      7.81    
3qgy_ligand_180     7.73    
2vkm_ligand_99      7.76    
4crc_ligand_307     7.86    
3arq_ligand_385     7.73    
2zb1_ligand_489     7.83    
3e92_ligand_187     7.83    
