#code_ligand_num    score   
1a30_ligand_102 292.3   
1a30_ligand_103 363.6   
1a30_ligand_106 319.8   
1a30_ligand_11 240.3   
1a30_ligand_111 372.1   
1a30_ligand_115 347.5   
1a30_ligand_12 306.2   
1a30_ligand_125 330.6   
1a30_ligand_128 249.4   
1a30_ligand_13 313.4   
1a30_ligand_134 200.1   
1a30_ligand_136 260.4   
1a30_ligand_137 260.1   
1a30_ligand_139 232.3   
1a30_ligand_14 276.5   
1a30_ligand_141 316.4   
1a30_ligand_144 265.4   
1a30_ligand_145 194.1   
1a30_ligand_146 305.3   
1a30_ligand_147 292.0   
1a30_ligand_149 216.1   
1a30_ligand_150 207.0   
1a30_ligand_16 340.3   
1a30_ligand_160 384.4   
1a30_ligand_168 373.1   
1a30_ligand_173 395.7   
1a30_ligand_180 386.7   
1a30_ligand_187 378.5   
1a30_ligand_192 377.4   
1a30_ligand_194 383.7   
1a30_ligand_195 386.1   
1a30_ligand_20 232.8   
1a30_ligand_204 257.9   
1a30_ligand_211 271.2   
1a30_ligand_214 262.1   
1a30_ligand_224 225.9   
1a30_ligand_227 219.3   
1a30_ligand_230 234.3   
1a30_ligand_238 263.1   
1a30_ligand_239 307.1   
1a30_ligand_242 281.7   
1a30_ligand_248 181.1   
1a30_ligand_250 210.6   
1a30_ligand_267 315.7   
1a30_ligand_269 351.5   
1a30_ligand_282 295.3   
1a30_ligand_285 354.8   
1a30_ligand_29 253.6   
1a30_ligand_290 231.6   
1a30_ligand_297 273.7   
1a30_ligand_30 325.1   
1a30_ligand_300 343.5   
1a30_ligand_303 299.4   
1a30_ligand_305 282.4   
1a30_ligand_307 336.6   
1a30_ligand_318 321.8   
1a30_ligand_325 286.2   
1a30_ligand_33 291.4   
1a30_ligand_334 339.7   
1a30_ligand_336 360.4   
1a30_ligand_338 371.5   
1a30_ligand_342 262.7   
1a30_ligand_347 304.9   
1a30_ligand_350 316.1   
1a30_ligand_355 351.2   
1a30_ligand_367 391.8   
1a30_ligand_37 299.6   
1a30_ligand_371 428.4   
1a30_ligand_375 352.3   
1a30_ligand_379 392.7   
1a30_ligand_38 244.1   
1a30_ligand_381 407.6   
1a30_ligand_383 387.3   
1a30_ligand_384 374.6   
1a30_ligand_397 318.8   
1a30_ligand_399 319.7   
1a30_ligand_4 306.4   
1a30_ligand_40 288.4   
1a30_ligand_403 431.9   
1a30_ligand_414 361.1   
1a30_ligand_42 358.3   
1a30_ligand_434 358.2   
1a30_ligand_44 372.1   
1a30_ligand_440 374.0   
1a30_ligand_455 398.7   
1a30_ligand_467 285.1   
1a30_ligand_47 358.6   
1a30_ligand_478 312.7   
1a30_ligand_53 258.3   
1a30_ligand_63 203.6   
1a30_ligand_69 220.9   
1a30_ligand_71 217.2   
1a30_ligand_83 244.4   
1a30_ligand_89 195.7   
1a30_ligand_90 222.4   
1a30_ligand_92 190.7   
1a30_ligand_93 181.8   
1a30_ligand_94 205.6   
1a30_ligand_96 291.8   
1a30_ligand_97 222.3   
1bcu_ligand_127 230.1   
1bcu_ligand_134 216.2   
1bcu_ligand_152 283.3   
1bcu_ligand_176 278.9   
1bcu_ligand_179 265.0   
1bcu_ligand_182 282.2   
1bcu_ligand_188 293.3   
1bcu_ligand_189 293.5   
1bcu_ligand_199 278.7   
1bcu_ligand_200 279.8   
1bcu_ligand_205 178.5   
1bcu_ligand_207 200.7   
1bcu_ligand_211 203.7   
1bcu_ligand_214 184.8   
1bcu_ligand_216 170.7   
1bcu_ligand_227 196.8   
1bcu_ligand_228 191.9   
1bcu_ligand_230 158.7   
1bcu_ligand_233 189.2   
1bcu_ligand_234 226.4   
1bcu_ligand_238 204.2   
1bcu_ligand_249 207.7   
1bcu_ligand_261 260.3   
1bcu_ligand_262 256.6   
1bcu_ligand_268 201.9   
1bcu_ligand_273 222.9   
1bcu_ligand_274 167.6   
1bcu_ligand_285 253.6   
1bcu_ligand_289 205.7   
1bcu_ligand_291 177.0   
1bcu_ligand_293 220.3   
1bcu_ligand_316 231.1   
1bcu_ligand_324 254.0   
1bcu_ligand_326 245.7   
1bcu_ligand_336 217.1   
1bcu_ligand_337 207.6   
1bcu_ligand_340 222.3   
1bcu_ligand_341 278.2   
1bcu_ligand_343 232.8   
1bcu_ligand_348 224.6   
1bcu_ligand_351 208.4   
1bcu_ligand_355 279.4   
1bcu_ligand_356 169.0   
1bcu_ligand_358 188.6   
1bcu_ligand_360 191.0   
1bcu_ligand_361 173.9   
1bcu_ligand_367 197.3   
1bcu_ligand_368 182.8   
1bcu_ligand_369 163.1   
1bcu_ligand_372 97.1    
1bcu_ligand_374 166.2   
1bcu_ligand_375 119.5   
1bcu_ligand_377 134.7   
1bcu_ligand_378 142.8   
1bcu_ligand_379 137.4   
1bcu_ligand_381 112.5   
1bcu_ligand_383 162.5   
1bcu_ligand_386 65.8    
1bcu_ligand_388 104.5   
1bcu_ligand_389 83.2    
1bcu_ligand_390 144.1   
1bcu_ligand_391 158.2   
1bcu_ligand_392 149.8   
1bcu_ligand_393 161.1   
1bcu_ligand_394 113.8   
1bcu_ligand_395 126.6   
1bcu_ligand_396 119.1   
1bcu_ligand_398 111.2   
1bcu_ligand_399 123.6   
1bcu_ligand_401 214.5   
1bcu_ligand_402 215.8   
1bcu_ligand_409 177.3   
1bcu_ligand_411 204.0   
1bcu_ligand_425 169.8   
1bcu_ligand_426 186.9   
1bcu_ligand_430 209.0   
1bcu_ligand_432 184.4   
1bcu_ligand_437 175.7   
1bcu_ligand_439 155.7   
1bcu_ligand_442 118.8   
1bcu_ligand_443 104.1   
1bcu_ligand_444 174.3   
1bcu_ligand_446 169.0   
1bcu_ligand_447 146.0   
1bcu_ligand_464 130.5   
1bcu_ligand_469 264.6   
1bcu_ligand_472 196.0   
1bcu_ligand_473 194.0   
1bcu_ligand_476 160.5   
1bcu_ligand_478 150.9   
1bcu_ligand_480 130.0   
1bcu_ligand_482 162.2   
1bcu_ligand_488 140.2   
1bcu_ligand_49 200.7   
1bcu_ligand_491 198.6   
1bcu_ligand_492 157.6   
1bcu_ligand_498 152.2   
1bcu_ligand_500 165.2   
1bcu_ligand_52 231.5   
1bcu_ligand_75 180.6   
1bzc_ligand_10 330.4   
1bzc_ligand_101 329.9   
1bzc_ligand_105 317.3   
1bzc_ligand_11 256.6   
1bzc_ligand_115 301.6   
1bzc_ligand_117 321.8   
1bzc_ligand_122 278.5   
1bzc_ligand_126 319.4   
1bzc_ligand_131 319.7   
1bzc_ligand_136 310.3   
1bzc_ligand_138 262.8   
1bzc_ligand_145 238.6   
1bzc_ligand_150 335.8   
1bzc_ligand_152 403.7   
1bzc_ligand_161 402.6   
1bzc_ligand_162 414.8   
1bzc_ligand_166 338.1   
1bzc_ligand_168 399.2   
1bzc_ligand_170 407.4   
1bzc_ligand_182 375.0   
1bzc_ligand_193 406.6   
1bzc_ligand_196 329.8   
1bzc_ligand_20 341.5   
1bzc_ligand_202 320.7   
1bzc_ligand_203 264.4   
1bzc_ligand_205 270.1   
1bzc_ligand_208 259.1   
1bzc_ligand_216 281.1   
1bzc_ligand_218 318.5   
1bzc_ligand_22 305.0   
1bzc_ligand_220 269.4   
1bzc_ligand_222 334.3   
1bzc_ligand_229 290.4   
1bzc_ligand_230 306.0   
1bzc_ligand_231 253.9   
1bzc_ligand_232 296.3   
1bzc_ligand_234 242.1   
1bzc_ligand_237 305.9   
1bzc_ligand_243 267.1   
1bzc_ligand_248 193.2   
1bzc_ligand_250 280.0   
1bzc_ligand_257 282.2   
1bzc_ligand_259 306.5   
1bzc_ligand_27 289.1   
1bzc_ligand_271 330.2   
1bzc_ligand_272 332.3   
1bzc_ligand_273 346.4   
1bzc_ligand_28 237.3   
1bzc_ligand_280 369.9   
1bzc_ligand_284 372.4   
1bzc_ligand_298 353.8   
1bzc_ligand_310 348.4   
1bzc_ligand_311 357.6   
1bzc_ligand_312 323.3   
1bzc_ligand_316 396.5   
1bzc_ligand_317 405.5   
1bzc_ligand_32 326.3   
1bzc_ligand_323 341.6   
1bzc_ligand_334 362.2   
1bzc_ligand_336 370.0   
1bzc_ligand_338 312.9   
1bzc_ligand_34 277.2   
1bzc_ligand_341 404.5   
1bzc_ligand_342 290.6   
1bzc_ligand_344 305.9   
1bzc_ligand_349 333.9   
1bzc_ligand_359 321.0   
1bzc_ligand_36 230.5   
1bzc_ligand_361 340.8   
1bzc_ligand_364 345.3   
1bzc_ligand_373 325.3   
1bzc_ligand_382 395.5   
1bzc_ligand_385 255.1   
1bzc_ligand_387 284.4   
1bzc_ligand_394 332.6   
1bzc_ligand_4 319.3   
1bzc_ligand_41 213.3   
1bzc_ligand_44 326.3   
1bzc_ligand_449 348.8   
1bzc_ligand_459 309.3   
1bzc_ligand_460 210.8   
1bzc_ligand_464 264.9   
1bzc_ligand_465 291.6   
1bzc_ligand_47 296.6   
1bzc_ligand_482 308.2   
1bzc_ligand_494 279.6   
1bzc_ligand_499 301.2   
1bzc_ligand_52 264.6   
1bzc_ligand_54 230.0   
1bzc_ligand_58 209.4   
1bzc_ligand_60 276.9   
1bzc_ligand_65 314.1   
1bzc_ligand_67 198.7   
1bzc_ligand_68 154.2   
1bzc_ligand_78 190.6   
1bzc_ligand_79 264.5   
1bzc_ligand_88 279.0   
1bzc_ligand_9 317.6   
1bzc_ligand_93 222.9   
1bzc_ligand_96 193.0   
1c5z_ligand_153 201.6   
1c5z_ligand_159 218.7   
1c5z_ligand_165 198.3   
1c5z_ligand_184 202.9   
1c5z_ligand_186 206.1   
1c5z_ligand_189 207.3   
1c5z_ligand_190 196.2   
1c5z_ligand_191 195.3   
1c5z_ligand_192 212.2   
1c5z_ligand_194 190.3   
1c5z_ligand_198 207.1   
1c5z_ligand_199 185.5   
1c5z_ligand_200 218.2   
1c5z_ligand_201 183.8   
1c5z_ligand_203 167.6   
1c5z_ligand_206 154.2   
1c5z_ligand_207 138.4   
1c5z_ligand_211 143.5   
1c5z_ligand_212 178.1   
1c5z_ligand_213 115.9   
1c5z_ligand_214 148.6   
1c5z_ligand_218 179.5   
1c5z_ligand_221 210.7   
1c5z_ligand_222 138.2   
1c5z_ligand_225 171.1   
1c5z_ligand_230 170.6   
1c5z_ligand_233 140.4   
1c5z_ligand_235 137.0   
1c5z_ligand_237 148.2   
1c5z_ligand_239 158.4   
1c5z_ligand_240 119.2   
1c5z_ligand_241 165.8   
1c5z_ligand_242 123.3   
1c5z_ligand_244 211.9   
1c5z_ligand_246 162.8   
1c5z_ligand_248 219.7   
1c5z_ligand_249 139.4   
1c5z_ligand_251 152.8   
1c5z_ligand_257 145.9   
1c5z_ligand_264 172.5   
1c5z_ligand_269 161.7   
1c5z_ligand_271 161.2   
1c5z_ligand_272 135.9   
1c5z_ligand_273 159.7   
1c5z_ligand_276 174.5   
1c5z_ligand_277 204.7   
1c5z_ligand_278 156.2   
1c5z_ligand_282 217.0   
1c5z_ligand_283 195.8   
1c5z_ligand_285 186.4   
1c5z_ligand_288 204.8   
1c5z_ligand_289 204.1   
1c5z_ligand_292 168.5   
1c5z_ligand_293 199.2   
1c5z_ligand_294 163.8   
1c5z_ligand_296 159.9   
1c5z_ligand_297 168.6   
1c5z_ligand_298 205.4   
1c5z_ligand_299 142.8   
1c5z_ligand_3 181.5   
1c5z_ligand_305 218.5   
1c5z_ligand_306 207.5   
1c5z_ligand_311 157.9   
1c5z_ligand_312 217.4   
1c5z_ligand_313 206.2   
1c5z_ligand_315 215.3   
1c5z_ligand_317 219.5   
1c5z_ligand_318 222.8   
1c5z_ligand_324 202.0   
1c5z_ligand_326 222.2   
1c5z_ligand_328 173.5   
1c5z_ligand_331 216.1   
1c5z_ligand_332 162.7   
1c5z_ligand_335 193.9   
1c5z_ligand_337 221.6   
1c5z_ligand_339 210.5   
1c5z_ligand_343 203.8   
1c5z_ligand_345 189.2   
1c5z_ligand_348 191.5   
1c5z_ligand_363 167.1   
1c5z_ligand_367 152.6   
1c5z_ligand_370 174.1   
1c5z_ligand_373 136.0   
1c5z_ligand_378 142.3   
1c5z_ligand_380 104.1   
1c5z_ligand_384 177.2   
1c5z_ligand_388 161.3   
1c5z_ligand_390 79.2    
1c5z_ligand_395 142.9   
1c5z_ligand_396 137.1   
1c5z_ligand_398 63.1    
1c5z_ligand_399 90.7    
1c5z_ligand_434 147.8   
1c5z_ligand_45 170.1   
1c5z_ligand_464 173.8   
1c5z_ligand_62 166.3   
1c5z_ligand_72 141.8   
1c5z_ligand_80 152.3   
1c5z_ligand_9 212.8   
1c5z_ligand_95 146.2   
1e66_ligand_1 214.9   
1e66_ligand_11 183.5   
1e66_ligand_125 184.8   
1e66_ligand_132 328.4   
1e66_ligand_15 285.2   
1e66_ligand_151 330.4   
1e66_ligand_165 315.3   
1e66_ligand_166 327.6   
1e66_ligand_170 337.7   
1e66_ligand_173 336.0   
1e66_ligand_175 334.4   
1e66_ligand_177 329.4   
1e66_ligand_178 331.0   
1e66_ligand_191 304.4   
1e66_ligand_196 359.8   
1e66_ligand_198 330.5   
1e66_ligand_2 269.9   
1e66_ligand_204 221.4   
1e66_ligand_206 193.8   
1e66_ligand_208 223.0   
1e66_ligand_209 273.4   
1e66_ligand_212 251.7   
1e66_ligand_215 288.8   
1e66_ligand_216 245.6   
1e66_ligand_219 212.0   
1e66_ligand_222 236.8   
1e66_ligand_223 231.7   
1e66_ligand_226 213.2   
1e66_ligand_227 213.0   
1e66_ligand_234 241.8   
1e66_ligand_237 243.2   
1e66_ligand_238 233.8   
1e66_ligand_242 249.4   
1e66_ligand_245 213.3   
1e66_ligand_246 236.9   
1e66_ligand_25 209.7   
1e66_ligand_251 309.3   
1e66_ligand_256 318.9   
1e66_ligand_268 318.0   
1e66_ligand_280 272.8   
