#code_ligand_num    score   
1a30_ligand_112     371.9   
1a30_ligand_116     433.0   
1a30_ligand_117     426.2   
1a30_ligand_120     415.2   
1a30_ligand_124     397.7   
1a30_ligand_126     378.7   
1a30_ligand_127     378.7   
1a30_ligand_129     402.9   
1a30_ligand_131     307.4   
1a30_ligand_135     345.2   
1a30_ligand_141     401.4   
1a30_ligand_143     340.4   
1a30_ligand_147     384.6   
1a30_ligand_151     419.0   
1a30_ligand_162     371.3   
1a30_ligand_163     436.4   
1a30_ligand_170     432.3   
1a30_ligand_176     420.1   
1a30_ligand_185     406.1   
1a30_ligand_195     367.2   
1a30_ligand_197     427.3   
1a30_ligand_20      368.3   
1a30_ligand_201     420.4   
1a30_ligand_202     291.6   
1a30_ligand_206     349.0   
1a30_ligand_210     364.8   
1a30_ligand_212     276.4   
1a30_ligand_220     356.4   
1a30_ligand_223     310.7   
1a30_ligand_226     353.1   
1a30_ligand_228     327.1   
1a30_ligand_23      413.9   
1a30_ligand_232     380.4   
1a30_ligand_233     374.3   
1a30_ligand_234     356.4   
1a30_ligand_236     330.5   
1a30_ligand_237     381.8   
1a30_ligand_238     354.2   
1a30_ligand_241     302.3   
1a30_ligand_242     349.2   
1a30_ligand_244     378.4   
1a30_ligand_245     317.0   
1a30_ligand_247     349.1   
1a30_ligand_248     305.9   
1a30_ligand_250     353.0   
1a30_ligand_255     417.5   
1a30_ligand_259     384.6   
1a30_ligand_26      363.9   
1a30_ligand_265     352.9   
1a30_ligand_266     377.1   
1a30_ligand_267     389.6   
1a30_ligand_276     402.6   
1a30_ligand_28      422.5   
1a30_ligand_282     340.9   
1a30_ligand_283     379.2   
1a30_ligand_284     415.2   
1a30_ligand_286     388.3   
1a30_ligand_289     378.3   
1a30_ligand_291     380.1   
1a30_ligand_295     397.8   
1a30_ligand_297     356.5   
1a30_ligand_304     411.1   
1a30_ligand_306     326.0   
1a30_ligand_31      414.3   
1a30_ligand_316     415.3   
1a30_ligand_325     425.1   
1a30_ligand_335     401.6   
1a30_ligand_346     417.5   
1a30_ligand_349     385.9   
1a30_ligand_359     428.5   
1a30_ligand_368     414.1   
1a30_ligand_369     416.8   
1a30_ligand_381     435.0   
1a30_ligand_384     411.9   
1a30_ligand_408     459.0   
1a30_ligand_412     422.4   
1a30_ligand_427     439.5   
1a30_ligand_429     412.4   
1a30_ligand_443     394.7   
1a30_ligand_444     391.2   
1a30_ligand_446     434.9   
1a30_ligand_45      420.3   
1a30_ligand_458     422.2   
1a30_ligand_479     436.8   
1a30_ligand_480     446.5   
1a30_ligand_49      417.7   
1a30_ligand_51      271.3   
