#code_ligand_num    score   
1a30_ligand_1       379.2   
1a30_ligand_102     422.5   
1a30_ligand_104     385.7   
1a30_ligand_105     433.4   
1a30_ligand_108     440.5   
1a30_ligand_109     455.7   
1a30_ligand_110     412.0   
1a30_ligand_111     425.0   
1a30_ligand_112     382.6   
1a30_ligand_113     417.7   
1a30_ligand_115     431.3   
1a30_ligand_117     402.5   
1a30_ligand_125     442.5   
1a30_ligand_128     392.1   
1a30_ligand_129     282.8   
1a30_ligand_131     386.0   
1a30_ligand_132     444.2   
1a30_ligand_134     285.9   
1a30_ligand_146     417.5   
1a30_ligand_150     440.7   
1a30_ligand_155     416.0   
1a30_ligand_158     441.3   
1a30_ligand_159     449.9   
1a30_ligand_16      275.2   
1a30_ligand_165     438.3   
1a30_ligand_172     425.1   
1a30_ligand_178     428.8   
1a30_ligand_18      453.5   
1a30_ligand_185     386.3   
1a30_ligand_188     395.0   
1a30_ligand_19      368.5   
1a30_ligand_194     431.7   
1a30_ligand_2       340.7   
1a30_ligand_200     384.5   
1a30_ligand_203     336.6   
1a30_ligand_205     289.7   
1a30_ligand_209     325.1   
1a30_ligand_22      391.0   
1a30_ligand_225     401.5   
1a30_ligand_228     366.6   
1a30_ligand_229     276.4   
1a30_ligand_235     349.2   
1a30_ligand_243     376.9   
1a30_ligand_247     404.7   
1a30_ligand_248     325.3   
1a30_ligand_257     425.3   
1a30_ligand_269     414.5   
1a30_ligand_27      451.9   
1a30_ligand_271     425.1   
1a30_ligand_273     415.9   
1a30_ligand_274     376.3   
1a30_ligand_275     407.5   
1a30_ligand_279     370.3   
1a30_ligand_28      420.5   
1a30_ligand_283     422.8   
1a30_ligand_294     386.2   
1a30_ligand_299     375.6   
1a30_ligand_306     428.5   
1a30_ligand_315     351.9   
1a30_ligand_317     394.5   
1a30_ligand_321     411.1   
1a30_ligand_322     426.3   
1a30_ligand_323     404.9   
1a30_ligand_326     439.0   
1a30_ligand_330     395.1   
1a30_ligand_336     393.2   
1a30_ligand_337     368.4   
1a30_ligand_340     318.7   
1a30_ligand_341     438.9   
1a30_ligand_349     428.3   
1a30_ligand_357     462.7   
1a30_ligand_372     459.8   
1a30_ligand_376     472.6   
1a30_ligand_378     440.9   
1a30_ligand_382     431.1   
1a30_ligand_385     409.4   
1a30_ligand_392     423.9   
1a30_ligand_398     447.1   
1a30_ligand_433     430.6   
1a30_ligand_44      446.2   
1a30_ligand_45      268.3   
1a30_ligand_455     429.3   
1a30_ligand_47      436.3   
1a30_ligand_489     436.2   
1a30_ligand_497     380.7   
1a30_ligand_51      377.2   
1a30_ligand_55      452.5   
1a30_ligand_57      424.4   
1a30_ligand_6       372.4   
1a30_ligand_60      445.1   
1a30_ligand_61      229.5   
1a30_ligand_63      425.7   
1a30_ligand_64      450.6   
1a30_ligand_69      199.3   
1a30_ligand_70      316.7   
1a30_ligand_75      443.0   
1a30_ligand_80      423.0   
1a30_ligand_82      224.0   
1a30_ligand_86      463.2   
1a30_ligand_87      288.2   
1bcu_ligand_124     227.9   
1bcu_ligand_136     228.9   
1bcu_ligand_142     206.9   
1bcu_ligand_147     236.3   
1bcu_ligand_153     250.4   
1bcu_ligand_155     259.6   
1bcu_ligand_180     258.9   
1bcu_ligand_188     260.5   
1bcu_ligand_196     240.7   
1bcu_ligand_208     279.3   
1bcu_ligand_210     264.5   
1bcu_ligand_211     279.1   
1bcu_ligand_225     276.4   
1bcu_ligand_231     282.8   
1bcu_ligand_232     252.2   
1bcu_ligand_238     256.0   
1bcu_ligand_239     251.4   
1bcu_ligand_245     243.8   
1bcu_ligand_246     249.0   
1bcu_ligand_247     274.5   
1bcu_ligand_25      309.8   
1bcu_ligand_257     264.5   
1bcu_ligand_259     266.0   
1bcu_ligand_261     262.7   
1bcu_ligand_262     268.6   
1bcu_ligand_276     275.3   
1bcu_ligand_281     275.2   
1bcu_ligand_284     249.5   
1bcu_ligand_302     242.6   
1bcu_ligand_303     243.8   
1bcu_ligand_304     249.7   
1bcu_ligand_305     224.9   
1bcu_ligand_307     271.2   
1bcu_ligand_309     236.6   
1bcu_ligand_310     287.0   
1bcu_ligand_311     276.2   
1bcu_ligand_312     269.3   
1bcu_ligand_321     214.6   
1bcu_ligand_327     248.6   
1bcu_ligand_328     280.9   
1bcu_ligand_330     261.6   
1bcu_ligand_332     264.9   
1bcu_ligand_333     258.8   
1bcu_ligand_336     266.6   
1bcu_ligand_339     251.1   
1bcu_ligand_342     259.7   
1bcu_ligand_35      255.5   
1bcu_ligand_351     266.8   
1bcu_ligand_354     262.3   
1bcu_ligand_355     251.5   
1bcu_ligand_356     256.9   
1bcu_ligand_361     262.9   
1bcu_ligand_365     253.7   
1bcu_ligand_366     245.7   
1bcu_ligand_367     228.9   
1bcu_ligand_370     260.7   
1bcu_ligand_373     217.9   
1bcu_ligand_374     237.0   
1bcu_ligand_376     193.0   
1bcu_ligand_377     268.8   
1bcu_ligand_379     244.3   
1bcu_ligand_380     279.9   
1bcu_ligand_381     262.0   
1bcu_ligand_382     199.2   
1bcu_ligand_383     263.7   
1bcu_ligand_384     270.2   
1bcu_ligand_386     210.1   
1bcu_ligand_387     250.7   
