#code_ligand_num    score   
1a30_ligand_103     427.2   
1a30_ligand_104     263.9   
1a30_ligand_107     257.1   
1a30_ligand_11      238.2   
1a30_ligand_111     418.3   
1a30_ligand_116     259.4   
1a30_ligand_119     282.0   
1a30_ligand_123     265.7   
1a30_ligand_128     196.3   
1a30_ligand_13      262.3   
1a30_ligand_130     471.3   
1a30_ligand_140     258.5   
1a30_ligand_15      253.0   
1a30_ligand_154     391.0   
1a30_ligand_155     484.6   
1a30_ligand_161     459.8   
1a30_ligand_162     469.5   
1a30_ligand_169     481.3   
1a30_ligand_17      216.9   
1a30_ligand_170     472.0   
1a30_ligand_172     434.5   
1a30_ligand_178     423.6   
1a30_ligand_18      403.6   
1a30_ligand_199     464.7   
1a30_ligand_202     232.7   
1a30_ligand_207     367.0   
1a30_ligand_209     362.3   
1a30_ligand_212     391.9   
1a30_ligand_214     400.9   
1a30_ligand_216     327.2   
1a30_ligand_22      331.5   
1a30_ligand_221     295.5   
1a30_ligand_225     442.1   
1a30_ligand_229     475.4   
1a30_ligand_23      426.6   
1a30_ligand_230     414.9   
1a30_ligand_232     374.7   
1a30_ligand_237     405.1   
1a30_ligand_241     397.3   
1a30_ligand_242     405.2   
1a30_ligand_247     444.4   
1a30_ligand_256     392.5   
1a30_ligand_257     429.3   
1a30_ligand_26      326.7   
1a30_ligand_27      334.4   
1a30_ligand_28      257.0   
1a30_ligand_281     465.2   
1a30_ligand_283     422.7   
1a30_ligand_29      264.0   
1a30_ligand_293     404.1   
1a30_ligand_3       425.5   
1a30_ligand_300     430.2   
1a30_ligand_302     454.6   
1a30_ligand_308     466.9   
1a30_ligand_31      216.1   
1a30_ligand_313     458.9   
1a30_ligand_319     425.4   
1a30_ligand_333     436.1   
1a30_ligand_336     476.8   
1a30_ligand_347     447.6   
1a30_ligand_348     428.3   
1a30_ligand_37      308.5   
1a30_ligand_383     450.6   
1a30_ligand_385     473.8   
1a30_ligand_386     472.9   
1a30_ligand_39      280.9   
1a30_ligand_398     497.3   
