#code_ligand_num    score   
1a30_ligand_10 214.6   
1a30_ligand_102 348.5   
1a30_ligand_113 351.9   
1a30_ligand_118 222.7   
1a30_ligand_119 296.5   
1a30_ligand_12 245.4   
1a30_ligand_123 292.2   
1a30_ligand_127 268.5   
1a30_ligand_128 315.3   
1a30_ligand_13 245.3   
1a30_ligand_131 330.3   
1a30_ligand_134 329.4   
1a30_ligand_138 226.2   
1a30_ligand_139 329.0   
1a30_ligand_140 251.0   
1a30_ligand_143 346.5   
1a30_ligand_145 399.5   
1a30_ligand_147 339.4   
1a30_ligand_148 384.3   
1a30_ligand_160 396.3   
1a30_ligand_166 418.4   
1a30_ligand_17 337.2   
1a30_ligand_19 288.0   
1a30_ligand_194 352.6   
1a30_ligand_197 397.4   
1a30_ligand_2 302.9   
1a30_ligand_20 414.8   
1a30_ligand_204 281.5   
1a30_ligand_205 268.6   
1a30_ligand_207 201.0   
1a30_ligand_209 311.5   
1a30_ligand_21 263.1   
1a30_ligand_210 295.9   
1a30_ligand_214 260.7   
1a30_ligand_215 274.8   
1a30_ligand_216 216.7   
1a30_ligand_219 366.1   
1a30_ligand_22 235.0   
1a30_ligand_223 186.1   
1a30_ligand_224 217.1   
1a30_ligand_23 293.7   
1a30_ligand_232 212.3   
1a30_ligand_235 300.4   
1a30_ligand_238 284.1   
1a30_ligand_244 279.9   
1a30_ligand_245 270.5   
1a30_ligand_247 268.3   
1a30_ligand_248 185.4   
1a30_ligand_25 354.9   
1a30_ligand_250 180.7   
1a30_ligand_270 184.0   
1a30_ligand_271 323.4   
1a30_ligand_273 334.1   
1a30_ligand_278 325.7   
1a30_ligand_28 248.7   
1a30_ligand_290 235.3   
1a30_ligand_292 366.8   
1a30_ligand_293 297.8   
1a30_ligand_294 281.4   
1a30_ligand_3 264.5   
1a30_ligand_307 417.9   
1a30_ligand_310 204.0   
1a30_ligand_311 350.2   
1a30_ligand_321 313.0   
1a30_ligand_335 303.2   
1a30_ligand_343 266.5   
1a30_ligand_349 395.9   
1a30_ligand_354 330.0   
1a30_ligand_36 376.6   
1a30_ligand_386 332.1   
1a30_ligand_390 353.0   
1a30_ligand_391 311.0   
1a30_ligand_399 248.8   
1a30_ligand_4 372.9   
1a30_ligand_40 353.6   
1a30_ligand_402 409.0   
1a30_ligand_428 313.5   
1a30_ligand_43 358.7   
1a30_ligand_454 369.2   
1a30_ligand_455 405.4   
1a30_ligand_464 331.2   
1a30_ligand_478 290.1   
1a30_ligand_48 267.4   
1a30_ligand_481 310.4   
1a30_ligand_490 336.0   
1a30_ligand_52 357.3   
1a30_ligand_55 287.8   
1a30_ligand_58 220.4   
1a30_ligand_63 320.2   
1a30_ligand_65 257.0   
1a30_ligand_67 336.5   
1a30_ligand_78 287.7   
1a30_ligand_8 362.1   
1a30_ligand_81 263.3   
1a30_ligand_86 283.0   
1a30_ligand_87 276.9   
1a30_ligand_89 308.4   
1a30_ligand_91 248.0   
1a30_ligand_96 298.8   
1a30_ligand_98 270.0   
1bcu_ligand_147 219.7   
1bcu_ligand_159 254.7   
1bcu_ligand_171 240.6   
1bcu_ligand_177 254.8   
1bcu_ligand_185 250.1   
1bcu_ligand_187 246.1   
1bcu_ligand_202 222.3   
1bcu_ligand_215 207.3   
1bcu_ligand_225 245.5   
1bcu_ligand_236 232.4   
1bcu_ligand_240 201.4   
1bcu_ligand_259 248.2   
1bcu_ligand_265 242.2   
1bcu_ligand_267 228.6   
1bcu_ligand_268 251.8   
1bcu_ligand_272 207.8   
1bcu_ligand_273 245.9   
1bcu_ligand_276 224.8   
1bcu_ligand_280 238.5   
1bcu_ligand_281 228.1   
1bcu_ligand_283 236.8   
1bcu_ligand_289 258.2   
1bcu_ligand_301 235.7   
1bcu_ligand_313 255.7   
1bcu_ligand_314 198.5   
1bcu_ligand_318 240.5   
1bcu_ligand_320 255.9   
1bcu_ligand_331 210.5   
1bcu_ligand_337 225.1   
1bcu_ligand_341 205.8   
1bcu_ligand_345 226.7   
1bcu_ligand_347 212.2   
1bcu_ligand_348 226.1   
1bcu_ligand_351 221.4   
1bcu_ligand_352 243.0   
1bcu_ligand_353 251.0   
1bcu_ligand_355 201.1   
1bcu_ligand_357 225.6   
1bcu_ligand_360 181.1   
1bcu_ligand_361 153.2   
1bcu_ligand_362 232.0   
1bcu_ligand_363 124.8   
1bcu_ligand_366 157.4   
1bcu_ligand_367 128.9   
1bcu_ligand_368 123.4   
1bcu_ligand_369 110.6   
1bcu_ligand_370 157.0   
1bcu_ligand_371 126.9   
1bcu_ligand_373 157.9   
1bcu_ligand_376 115.0   
1bcu_ligand_377 105.9   
1bcu_ligand_378 130.9   
1bcu_ligand_379 118.6   
1bcu_ligand_380 193.9   
1bcu_ligand_381 122.2   
1bcu_ligand_382 158.1   
1bcu_ligand_383 119.3   
1bcu_ligand_384 119.5   
1bcu_ligand_385 103.3   
1bcu_ligand_386 90.8    
1bcu_ligand_387 117.0   
1bcu_ligand_388 95.4    
1bcu_ligand_389 86.8    
1bcu_ligand_390 97.4    
1bcu_ligand_391 93.0    
1bcu_ligand_396 134.8   
1bcu_ligand_397 78.1    
1bcu_ligand_399 126.4   
1bcu_ligand_400 124.3   
1bcu_ligand_407 153.7   
1bcu_ligand_412 166.9   
1bcu_ligand_413 190.2   
1bcu_ligand_418 179.6   
1bcu_ligand_419 222.0   
1bcu_ligand_422 150.8   
1bcu_ligand_426 121.4   
1bcu_ligand_428 175.0   
1bcu_ligand_430 142.1   
1bcu_ligand_431 196.3   
1bcu_ligand_433 150.1   
1bcu_ligand_435 145.2   
1bcu_ligand_437 193.0   
1bcu_ligand_438 130.7   
1bcu_ligand_439 159.4   
1bcu_ligand_441 148.3   
1bcu_ligand_444 163.1   
1bcu_ligand_447 135.2   
1bcu_ligand_450 196.1   
1bcu_ligand_459 212.2   
1bcu_ligand_461 164.6   
1bcu_ligand_463 254.0   
1bcu_ligand_466 203.8   
1bcu_ligand_474 140.9   
1bcu_ligand_477 239.1   
1bcu_ligand_478 218.2   
1bcu_ligand_484 201.3   
1bcu_ligand_485 136.6   
1bcu_ligand_490 142.9   
1bcu_ligand_498 185.5   
1bcu_ligand_81 252.1   
1bzc_ligand_106 341.3   
1bzc_ligand_108 271.7   
1bzc_ligand_113 313.4   
1bzc_ligand_116 355.0   
1bzc_ligand_117 334.0   
1bzc_ligand_118 338.7   
1bzc_ligand_123 347.7   
1bzc_ligand_13 322.2   
1bzc_ligand_151 421.3   
1bzc_ligand_156 394.6   
1bzc_ligand_16 324.1   
1bzc_ligand_169 413.2   
1bzc_ligand_173 397.7   
1bzc_ligand_180 388.5   
1bzc_ligand_181 403.2   
1bzc_ligand_189 391.7   
1bzc_ligand_193 387.3   
1bzc_ligand_194 394.2   
1bzc_ligand_196 388.5   
1bzc_ligand_197 424.0   
1bzc_ligand_202 307.9   
1bzc_ligand_204 278.4   
1bzc_ligand_206 310.4   
1bzc_ligand_209 339.9   
1bzc_ligand_21 318.8   
1bzc_ligand_216 338.8   
1bzc_ligand_219 295.2   
1bzc_ligand_220 351.3   
1bzc_ligand_221 265.8   
1bzc_ligand_222 325.7   
1bzc_ligand_223 270.1   
1bzc_ligand_224 348.1   
1bzc_ligand_227 287.3   
1bzc_ligand_229 300.0   
1bzc_ligand_232 254.9   
1bzc_ligand_233 335.2   
1bzc_ligand_237 395.2   
1bzc_ligand_239 270.0   
1bzc_ligand_241 265.2   
1bzc_ligand_242 247.8   
1bzc_ligand_244 248.4   
1bzc_ligand_245 274.1   
1bzc_ligand_248 201.0   
1bzc_ligand_250 363.0   
1bzc_ligand_258 358.6   
1bzc_ligand_268 389.8   
1bzc_ligand_269 271.4   
1bzc_ligand_271 369.2   
1bzc_ligand_272 405.7   
1bzc_ligand_273 325.4   
1bzc_ligand_279 318.7   
1bzc_ligand_281 294.7   
1bzc_ligand_284 409.4   
1bzc_ligand_290 386.2   
1bzc_ligand_30 350.0   
1bzc_ligand_305 403.2   
1bzc_ligand_31 360.9   
1bzc_ligand_310 383.7   
1bzc_ligand_311 367.0   
1bzc_ligand_316 385.6   
1bzc_ligand_327 405.9   
1bzc_ligand_331 345.3   
1bzc_ligand_346 379.2   
1bzc_ligand_351 253.7   
1bzc_ligand_353 249.5   
1bzc_ligand_357 259.4   
1bzc_ligand_358 254.2   
1bzc_ligand_359 211.7   
1bzc_ligand_360 273.4   
1bzc_ligand_362 218.7   
1bzc_ligand_365 283.0   
1bzc_ligand_368 273.7   
1bzc_ligand_378 254.5   
1bzc_ligand_379 336.2   
1bzc_ligand_385 242.5   
1bzc_ligand_386 254.8   
1bzc_ligand_388 259.7   
1bzc_ligand_392 309.4   
1bzc_ligand_393 267.1   
1bzc_ligand_398 278.8   
1bzc_ligand_40 343.5   
1bzc_ligand_400 239.4   
1bzc_ligand_421 312.0   
1bzc_ligand_426 290.5   
1bzc_ligand_43 306.6   
1bzc_ligand_467 254.6   
1bzc_ligand_479 351.4   
1bzc_ligand_484 373.4   
1bzc_ligand_5 313.4   
1bzc_ligand_50 328.9   
1bzc_ligand_57 295.5   
1bzc_ligand_64 322.6   
1bzc_ligand_77 262.4   
1bzc_ligand_85 276.4   
1bzc_ligand_86 317.8   
1bzc_ligand_90 343.7   
1bzc_ligand_92 305.2   
1bzc_ligand_93 351.6   
1bzc_ligand_95 269.7   
1bzc_ligand_97 294.6   
1c5z_ligand_154 171.2   
1c5z_ligand_162 173.3   
1c5z_ligand_164 163.2   
1c5z_ligand_167 188.4   
1c5z_ligand_171 174.0   
1c5z_ligand_172 169.9   
1c5z_ligand_178 180.9   
1c5z_ligand_181 175.7   
1c5z_ligand_183 164.0   
1c5z_ligand_189 181.3   
1c5z_ligand_19 187.4   
1c5z_ligand_192 173.0   
1c5z_ligand_193 182.3   
1c5z_ligand_194 178.1   
1c5z_ligand_195 164.9   
1c5z_ligand_197 183.8   
1c5z_ligand_198 187.2   
1c5z_ligand_207 166.1   
1c5z_ligand_212 153.6   
1c5z_ligand_214 157.6   
1c5z_ligand_216 169.2   
1c5z_ligand_217 166.5   
1c5z_ligand_218 178.6   
1c5z_ligand_220 172.2   
1c5z_ligand_223 174.1   
1c5z_ligand_225 162.3   
1c5z_ligand_227 164.0   
1c5z_ligand_229 163.5   
1c5z_ligand_230 175.5   
1c5z_ligand_235 173.8   
1c5z_ligand_236 164.1   
1c5z_ligand_239 157.0   
1c5z_ligand_241 171.6   
1c5z_ligand_243 168.6   
1c5z_ligand_244 170.4   
1c5z_ligand_245 176.2   
1c5z_ligand_246 157.5   
1c5z_ligand_247 176.6   
1c5z_ligand_252 172.7   
1c5z_ligand_258 140.5   
1c5z_ligand_259 167.6   
1c5z_ligand_265 164.0   
1c5z_ligand_268 167.1   
1c5z_ligand_27 186.8   
1c5z_ligand_271 161.5   
1c5z_ligand_276 165.9   
1c5z_ligand_277 161.0   
1c5z_ligand_280 172.9   
1c5z_ligand_281 164.7   
1c5z_ligand_282 170.4   
1c5z_ligand_285 110.8   
1c5z_ligand_286 150.1   
1c5z_ligand_287 167.1   
1c5z_ligand_288 112.8   
1c5z_ligand_291 161.7   
1c5z_ligand_292 186.3   
1c5z_ligand_294 115.0   
1c5z_ligand_300 171.2   
1c5z_ligand_301 163.7   
1c5z_ligand_303 193.9   
1c5z_ligand_304 163.5   
1c5z_ligand_305 147.1   
1c5z_ligand_306 171.9   
1c5z_ligand_308 185.4   
1c5z_ligand_311 178.2   
1c5z_ligand_312 184.4   
1c5z_ligand_313 165.5   
1c5z_ligand_315 162.8   
1c5z_ligand_316 146.5   
1c5z_ligand_319 176.8   
1c5z_ligand_320 160.7   
1c5z_ligand_321 158.5   
1c5z_ligand_326 127.0   
1c5z_ligand_327 168.5   
1c5z_ligand_332 170.9   
1c5z_ligand_333 148.1   
1c5z_ligand_339 169.7   
1c5z_ligand_341 145.1   
1c5z_ligand_348 154.0   
1c5z_ligand_362 108.6   
1c5z_ligand_370 101.4   
1c5z_ligand_372 131.3   
1c5z_ligand_38 183.8   
1c5z_ligand_381 106.6   
1c5z_ligand_383 126.6   
1c5z_ligand_386 159.8   
1c5z_ligand_392 130.5   
1c5z_ligand_397 164.1   
1c5z_ligand_398 119.6   
1c5z_ligand_400 169.2   
1c5z_ligand_421 121.0   
1c5z_ligand_44 192.8   
1c5z_ligand_442 152.8   
1c5z_ligand_449 168.2   
1c5z_ligand_45 182.7   
1c5z_ligand_457 170.1   
1c5z_ligand_47 193.6   
1c5z_ligand_480 178.9   
1c5z_ligand_485 166.3   
1c5z_ligand_84 177.3   
1e66_ligand_104 308.4   
1e66_ligand_128 261.8   
1e66_ligand_166 299.4   
1e66_ligand_167 339.0   
1e66_ligand_169 340.2   
1e66_ligand_177 341.9   
1e66_ligand_179 322.2   
1e66_ligand_180 326.6   
1e66_ligand_192 341.0   
1e66_ligand_199 310.1   
1e66_ligand_201 280.1   
1e66_ligand_202 281.3   
1e66_ligand_204 294.2   
1e66_ligand_217 231.6   
1e66_ligand_219 237.7   
1e66_ligand_223 221.9   
1e66_ligand_225 284.7   
1e66_ligand_226 228.3   
1e66_ligand_228 244.0   
1e66_ligand_229 211.5   
1e66_ligand_230 246.5   
1e66_ligand_232 254.4   
1e66_ligand_233 180.6   
1e66_ligand_239 211.8   
1e66_ligand_240 179.6   
1e66_ligand_243 270.2   
1e66_ligand_244 231.5   
1e66_ligand_246 232.8   
1e66_ligand_261 285.1   
