#code_ligand_num    score   
1a30_ligand_103     191.3   
1a30_ligand_108     411.6   
1a30_ligand_109     430.5   
1a30_ligand_110     308.4   
1a30_ligand_115     414.4   
1a30_ligand_12      412.1   
1a30_ligand_128     405.6   
1a30_ligand_131     308.0   
1a30_ligand_134     277.2   
1a30_ligand_138     300.0   
1a30_ligand_14      298.8   
1a30_ligand_145     222.0   
1a30_ligand_149     366.0   
1a30_ligand_155     419.9   
1a30_ligand_16      278.0   
1a30_ligand_160     394.5   
1a30_ligand_167     445.1   
1a30_ligand_17      420.1   
1a30_ligand_173     475.2   
1a30_ligand_174     405.3   
1a30_ligand_175     438.1   
1a30_ligand_178     402.7   
1a30_ligand_18      336.7   
1a30_ligand_183     435.2   
1a30_ligand_189     423.1   
1a30_ligand_191     423.1   
1a30_ligand_193     468.1   
1a30_ligand_199     383.6   
1a30_ligand_201     321.0   
1a30_ligand_203     244.6   
1a30_ligand_206     258.7   
1a30_ligand_208     287.2   
1a30_ligand_209     442.9   
1a30_ligand_212     283.2   
1a30_ligand_216     319.9   
1a30_ligand_219     291.1   
1a30_ligand_22      436.3   
1a30_ligand_221     233.2   
1a30_ligand_222     303.1   
1a30_ligand_224     326.3   
1a30_ligand_226     295.8   
1a30_ligand_228     320.1   
1a30_ligand_229     360.6   
1a30_ligand_233     321.7   
1a30_ligand_237     317.7   
1a30_ligand_238     311.7   
1a30_ligand_241     315.6   
1a30_ligand_244     265.4   
1a30_ligand_245     403.5   
1a30_ligand_246     294.5   
1a30_ligand_247     364.6   
1a30_ligand_248     323.6   
1a30_ligand_250     384.0   
1a30_ligand_255     334.7   
1a30_ligand_259     397.4   
1a30_ligand_260     429.6   
1a30_ligand_266     374.8   
1a30_ligand_267     348.9   
1a30_ligand_270     329.9   
1a30_ligand_282     345.8   
1a30_ligand_284     328.8   
1a30_ligand_290     414.6   
1a30_ligand_291     305.1   
1a30_ligand_293     364.9   
1a30_ligand_297     349.2   
1a30_ligand_298     324.1   
1a30_ligand_299     393.2   
1a30_ligand_30      369.8   
1a30_ligand_312     402.3   
1a30_ligand_315     270.0   
1a30_ligand_316     373.4   
1a30_ligand_320     412.0   
1a30_ligand_321     446.2   
1a30_ligand_323     390.1   
1a30_ligand_324     361.7   
1a30_ligand_325     430.2   
1a30_ligand_337     468.8   
1a30_ligand_346     318.7   
1a30_ligand_35      421.5   
1a30_ligand_358     452.8   
1a30_ligand_374     368.1   
1a30_ligand_376     398.0   
1a30_ligand_390     442.0   
1a30_ligand_399     416.3   
1a30_ligand_45      408.8   
1a30_ligand_46      321.2   
1a30_ligand_470     446.9   
1a30_ligand_48      307.2   
1a30_ligand_480     374.8   
1a30_ligand_483     459.5   
1a30_ligand_485     408.2   
1a30_ligand_492     387.1   
1a30_ligand_493     390.6   
1a30_ligand_5       432.2   
1a30_ligand_500     438.3   
1a30_ligand_56      258.0   
1a30_ligand_60      283.0   
1a30_ligand_63      330.7   
1a30_ligand_65      412.0   
1a30_ligand_95      248.1   
1bcu_ligand_120     248.5   
1bcu_ligand_162     299.3   
1bcu_ligand_164     291.3   
1bcu_ligand_172     292.5   
1bcu_ligand_174     302.1   
1bcu_ligand_183     273.0   
1bcu_ligand_184     287.6   
1bcu_ligand_186     251.6   
1bcu_ligand_189     268.6   
1bcu_ligand_190     293.1   
1bcu_ligand_193     265.2   
1bcu_ligand_196     272.7   
1bcu_ligand_204     267.7   
1bcu_ligand_206     301.8   
1bcu_ligand_212     280.4   
1bcu_ligand_217     266.3   
1bcu_ligand_230     272.1   
1bcu_ligand_234     227.5   
1bcu_ligand_243     265.2   
1bcu_ligand_245     182.1   
1bcu_ligand_250     256.8   
1bcu_ligand_258     230.9   
1bcu_ligand_260     237.0   
1bcu_ligand_275     239.2   
1bcu_ligand_280     235.6   
1bcu_ligand_282     247.7   
1bcu_ligand_286     222.7   
1bcu_ligand_287     235.1   
1bcu_ligand_295     239.6   
1bcu_ligand_297     272.5   
1bcu_ligand_302     230.8   
1bcu_ligand_320     281.0   
1bcu_ligand_329     272.8   
1bcu_ligand_336     288.8   
1bcu_ligand_339     241.8   
1bcu_ligand_341     241.5   
1bcu_ligand_342     266.6   
1bcu_ligand_345     266.9   
1bcu_ligand_347     253.0   
1bcu_ligand_348     249.0   
1bcu_ligand_349     242.9   
1bcu_ligand_354     256.5   
1bcu_ligand_357     288.3   
1bcu_ligand_364     184.7   
1bcu_ligand_365     278.8   
1bcu_ligand_366     259.6   
1bcu_ligand_367     221.2   
1bcu_ligand_368     235.7   
1bcu_ligand_369     174.6   
1bcu_ligand_37      282.5   
1bcu_ligand_371     179.0   
1bcu_ligand_372     194.2   
1bcu_ligand_373     202.0   
1bcu_ligand_374     212.2   
1bcu_ligand_377     194.4   
1bcu_ligand_380     169.5   
