#code_ligand_num    score   
1a30_ligand_100 325.1   
1a30_ligand_118 307.0   
1a30_ligand_119 249.0   
1a30_ligand_12 306.3   
1a30_ligand_120 289.0   
1a30_ligand_121 322.4   
1a30_ligand_123 380.0   
1a30_ligand_126 252.9   
1a30_ligand_13 257.3   
1a30_ligand_130 305.6   
1a30_ligand_131 322.6   
1a30_ligand_14 349.7   
1a30_ligand_140 315.0   
1a30_ligand_143 279.3   
1a30_ligand_148 296.0   
1a30_ligand_15 273.9   
1a30_ligand_152 442.1   
1a30_ligand_155 466.4   
1a30_ligand_159 421.4   
1a30_ligand_16 358.1   
1a30_ligand_160 427.8   
1a30_ligand_164 446.4   
1a30_ligand_17 320.7   
1a30_ligand_171 397.0   
1a30_ligand_175 439.9   
1a30_ligand_176 423.3   
1a30_ligand_177 460.5   
1a30_ligand_178 404.9   
1a30_ligand_182 446.7   
1a30_ligand_183 455.7   
1a30_ligand_194 454.1   
1a30_ligand_200 416.7   
1a30_ligand_201 245.2   
1a30_ligand_203 290.6   
1a30_ligand_209 285.8   
1a30_ligand_210 237.3   
1a30_ligand_213 300.1   
1a30_ligand_216 190.4   
1a30_ligand_220 204.5   
1a30_ligand_221 241.4   
1a30_ligand_222 343.1   
1a30_ligand_223 243.8   
1a30_ligand_232 271.6   
1a30_ligand_235 253.6   
1a30_ligand_236 187.4   
1a30_ligand_237 204.0   
1a30_ligand_238 240.1   
1a30_ligand_239 243.3   
1a30_ligand_240 287.4   
1a30_ligand_241 235.6   
1a30_ligand_243 206.8   
1a30_ligand_244 217.5   
1a30_ligand_245 273.3   
1a30_ligand_246 259.7   
1a30_ligand_247 231.2   
1a30_ligand_250 247.2   
1a30_ligand_251 336.0   
1a30_ligand_259 225.8   
1a30_ligand_261 243.2   
1a30_ligand_267 329.8   
1a30_ligand_27 238.5   
1a30_ligand_274 236.3   
1a30_ligand_283 319.6   
1a30_ligand_289 392.3   
1a30_ligand_292 416.6   
1a30_ligand_296 365.2   
1a30_ligand_301 382.7   
1a30_ligand_303 267.9   
1a30_ligand_306 337.0   
1a30_ligand_311 376.6   
1a30_ligand_314 274.0   
1a30_ligand_32 336.7   
1a30_ligand_326 369.1   
1a30_ligand_330 230.2   
1a30_ligand_331 286.8   
1a30_ligand_335 229.7   
1a30_ligand_338 436.7   
