#code_ligand_num    score   
1a30_ligand_10      348.0   
1a30_ligand_101     217.6   
1a30_ligand_102     333.3   
1a30_ligand_103     303.4   
1a30_ligand_110     282.5   
1a30_ligand_126     255.3   
1a30_ligand_129     229.2   
1a30_ligand_130     392.2   
1a30_ligand_132     259.1   
1a30_ligand_134     275.3   
1a30_ligand_139     310.6   
1a30_ligand_140     317.0   
1a30_ligand_142     246.3   
1a30_ligand_145     245.8   
1a30_ligand_146     255.5   
1a30_ligand_148     277.9   
1a30_ligand_15      304.0   
1a30_ligand_150     286.6   
1a30_ligand_153     413.3   
1a30_ligand_158     379.1   
1a30_ligand_162     424.9   
1a30_ligand_163     401.3   
1a30_ligand_166     347.1   
1a30_ligand_167     346.9   
1a30_ligand_17      319.3   
1a30_ligand_174     401.1   
1a30_ligand_185     392.6   
1a30_ligand_186     441.9   
1a30_ligand_198     362.8   
1a30_ligand_203     290.9   
1a30_ligand_208     231.3   
1a30_ligand_209     261.7   
1a30_ligand_21      380.8   
1a30_ligand_212     305.5   
1a30_ligand_213     227.5   
1a30_ligand_214     314.7   
1a30_ligand_215     268.9   
1a30_ligand_217     231.1   
1a30_ligand_218     244.7   
1a30_ligand_223     265.2   
1a30_ligand_224     311.0   
1a30_ligand_225     247.0   
1a30_ligand_228     155.7   
1a30_ligand_23      364.7   
1a30_ligand_230     216.8   
1a30_ligand_231     225.1   
1a30_ligand_232     243.8   
1a30_ligand_235     233.9   
1a30_ligand_240     216.3   
1a30_ligand_242     250.0   
1a30_ligand_243     242.7   
1a30_ligand_245     339.5   
1a30_ligand_246     260.5   
1a30_ligand_248     192.4   
1a30_ligand_254     348.2   
1a30_ligand_259     362.1   
1a30_ligand_260     375.9   
1a30_ligand_263     349.7   
1a30_ligand_265     299.5   
1a30_ligand_266     290.0   
1a30_ligand_267     326.9   
1a30_ligand_27      307.2   
1a30_ligand_273     313.3   
1a30_ligand_278     304.6   
1a30_ligand_28      369.9   
1a30_ligand_282     328.5   
1a30_ligand_289     348.8   
1a30_ligand_291     333.3   
1a30_ligand_292     276.1   
1a30_ligand_293     289.5   
1a30_ligand_298     301.4   
1a30_ligand_300     360.7   
1a30_ligand_301     302.6   
1a30_ligand_305     343.6   
1a30_ligand_309     325.9   
1a30_ligand_31      381.3   
1a30_ligand_310     362.5   
1a30_ligand_319     364.3   
1a30_ligand_32      266.3   
1a30_ligand_324     288.7   
1a30_ligand_326     311.9   
1a30_ligand_328     362.1   
1a30_ligand_335     288.9   
1a30_ligand_345     286.5   
1a30_ligand_35      376.5   
1a30_ligand_44      367.9   
1a30_ligand_47      356.6   
1a30_ligand_51      348.5   
1a30_ligand_59      270.3   
1a30_ligand_61      250.9   
1a30_ligand_63      252.1   
1a30_ligand_67      303.9   
1a30_ligand_68      223.2   
1a30_ligand_73      269.9   
1a30_ligand_77      284.3   
1a30_ligand_78      223.6   
1a30_ligand_85      243.9   
1a30_ligand_87      323.8   
1a30_ligand_94      202.4   
