#code_ligand_num    score   
1a30_ligand_1       233.4   
1a30_ligand_10      320.9   
1a30_ligand_106     217.2   
1a30_ligand_109     263.0   
1a30_ligand_110     247.9   
1a30_ligand_111     345.8   
1a30_ligand_115     302.1   
1a30_ligand_116     256.3   
1a30_ligand_118     387.5   
1a30_ligand_121     281.9   
1a30_ligand_126     261.9   
1a30_ligand_130     312.7   
1a30_ligand_147     436.8   
1a30_ligand_15      361.8   
1a30_ligand_151     473.3   
1a30_ligand_152     491.8   
1a30_ligand_167     482.4   
1a30_ligand_171     471.0   
1a30_ligand_180     447.1   
1a30_ligand_201     274.5   
1a30_ligand_202     192.8   
1a30_ligand_203     251.7   
1a30_ligand_205     217.6   
1a30_ligand_206     219.1   
1a30_ligand_208     281.1   
1a30_ligand_210     256.8   
1a30_ligand_211     233.4   
1a30_ligand_213     168.7   
1a30_ligand_214     256.2   
1a30_ligand_218     224.2   
1a30_ligand_219     266.4   
1a30_ligand_220     254.3   
1a30_ligand_222     168.7   
1a30_ligand_223     301.3   
1a30_ligand_224     154.8   
1a30_ligand_226     217.8   
1a30_ligand_227     226.4   
1a30_ligand_228     221.2   
1a30_ligand_229     263.6   
1a30_ligand_230     242.6   
1a30_ligand_232     244.7   
1a30_ligand_233     247.8   
1a30_ligand_234     237.5   
1a30_ligand_243     273.9   
1a30_ligand_244     231.2   
1a30_ligand_245     205.3   
1a30_ligand_247     236.0   
1a30_ligand_248     176.2   
1a30_ligand_249     180.1   
1a30_ligand_250     185.7   
1a30_ligand_252     450.9   
1a30_ligand_253     318.3   
1a30_ligand_255     456.5   
1a30_ligand_256     403.9   
1a30_ligand_257     360.9   
1a30_ligand_259     483.0   
1a30_ligand_262     424.5   
1a30_ligand_263     374.0   
1a30_ligand_269     324.8   
1a30_ligand_27      232.8   
1a30_ligand_270     294.0   
1a30_ligand_276     373.6   
1a30_ligand_281     460.3   
1a30_ligand_282     263.8   
1a30_ligand_289     480.9   
1a30_ligand_292     417.0   
1a30_ligand_296     470.5   
1a30_ligand_298     433.0   
1a30_ligand_300     374.7   
1a30_ligand_305     464.8   
1a30_ligand_312     375.7   
1a30_ligand_314     482.5   
1a30_ligand_322     452.3   
1a30_ligand_325     456.8   
1a30_ligand_33      203.7   
1a30_ligand_34      347.0   
1a30_ligand_340     399.1   
1a30_ligand_345     465.0   
1a30_ligand_346     341.1   
1a30_ligand_348     367.3   
1a30_ligand_35      344.4   
1a30_ligand_42      249.6   
1a30_ligand_44      318.5   
1a30_ligand_46      268.5   
1a30_ligand_5       187.9   
1a30_ligand_53      289.8   
1a30_ligand_55      348.5   
1a30_ligand_58      229.9   
1a30_ligand_59      167.6   
1a30_ligand_69      224.0   
1a30_ligand_70      207.1   
1a30_ligand_75      410.7   
1a30_ligand_76      213.5   
1a30_ligand_77      241.9   
1a30_ligand_79      173.9   
1a30_ligand_8       275.8   
1a30_ligand_82      185.5   
1a30_ligand_95      251.4   
1a30_ligand_96      274.1   
1a30_ligand_98      275.5   
1bcu_ligand_151     289.9   
1bcu_ligand_155     291.3   
1bcu_ligand_162     281.5   
1bcu_ligand_179     292.2   
1bcu_ligand_180     298.0   
1bcu_ligand_182     291.4   
1bcu_ligand_187     296.2   
1bcu_ligand_188     284.4   
1bcu_ligand_196     293.5   
1bcu_ligand_200     291.5   
1bcu_ligand_208     281.7   
1bcu_ligand_210     289.4   
1bcu_ligand_216     292.1   
1bcu_ligand_221     293.6   
1bcu_ligand_222     259.6   
1bcu_ligand_223     266.5   
1bcu_ligand_227     291.2   
1bcu_ligand_228     287.8   
1bcu_ligand_231     295.2   
1bcu_ligand_233     277.9   
1bcu_ligand_243     274.1   
1bcu_ligand_259     288.1   
1bcu_ligand_261     280.8   
1bcu_ligand_263     267.9   
1bcu_ligand_267     258.8   
1bcu_ligand_269     284.4   
1bcu_ligand_273     236.6   
1bcu_ligand_297     290.1   
1bcu_ligand_300     230.6   
1bcu_ligand_303     289.2   
1bcu_ligand_308     265.3   
1bcu_ligand_319     282.0   
1bcu_ligand_328     290.8   
1bcu_ligand_335     287.6   
1bcu_ligand_346     300.7   
1bcu_ligand_350     285.2   
1bcu_ligand_352     209.0   
1bcu_ligand_354     150.2   
1bcu_ligand_355     190.9   
1bcu_ligand_356     171.1   
1bcu_ligand_358     134.0   
1bcu_ligand_361     118.6   
1bcu_ligand_362     179.3   
1bcu_ligand_363     137.2   
1bcu_ligand_364     174.2   
1bcu_ligand_365     149.9   
1bcu_ligand_369     176.1   
1bcu_ligand_370     149.6   
1bcu_ligand_371     144.8   
1bcu_ligand_372     144.4   
1bcu_ligand_373     110.9   
1bcu_ligand_374     167.5   
1bcu_ligand_375     114.8   
1bcu_ligand_376     152.4   
1bcu_ligand_379     152.7   
1bcu_ligand_380     134.5   
1bcu_ligand_381     155.3   
1bcu_ligand_382     117.4   
1bcu_ligand_383     158.9   
1bcu_ligand_384     141.1   
1bcu_ligand_385     134.5   
1bcu_ligand_386     105.2   
1bcu_ligand_387     125.0   
1bcu_ligand_388     119.6   
1bcu_ligand_389     108.2   
1bcu_ligand_390     135.9   
1bcu_ligand_392     155.9   
1bcu_ligand_393     119.0   
1bcu_ligand_395     157.2   
1bcu_ligand_396     98.4    
1bcu_ligand_397     101.7   
1bcu_ligand_398     125.3   
1bcu_ligand_399     128.4   
1bcu_ligand_400     123.0   
1bcu_ligand_408     254.7   
1bcu_ligand_411     208.6   
1bcu_ligand_413     128.6   
1bcu_ligand_420     144.1   
1bcu_ligand_429     153.8   
1bcu_ligand_431     130.9   
1bcu_ligand_433     130.0   
1bcu_ligand_435     184.9   
1bcu_ligand_437     125.5   
1bcu_ligand_438     136.5   
1bcu_ligand_441     154.9   
1bcu_ligand_443     104.0   
1bcu_ligand_448     110.3   
1bcu_ligand_449     102.3   
1bcu_ligand_450     113.6   
1bcu_ligand_468     166.8   
1bcu_ligand_471     162.9   
1bcu_ligand_472     156.9   
1bcu_ligand_473     220.1   
1bcu_ligand_477     204.9   
1bcu_ligand_479     147.5   
1bcu_ligand_480     161.4   
1bcu_ligand_488     164.1   
1bcu_ligand_489     131.9   
1bcu_ligand_495     121.1   
1bcu_ligand_6       297.5   
1bzc_ligand_1       406.5   
1bzc_ligand_104     379.4   
1bzc_ligand_120     383.2   
1bzc_ligand_129     368.8   
1bzc_ligand_134     394.1   
1bzc_ligand_138     407.7   
1bzc_ligand_142     348.5   
1bzc_ligand_155     465.7   
1bzc_ligand_156     478.4   
1bzc_ligand_160     484.5   
1bzc_ligand_161     450.6   
1bzc_ligand_164     455.9   
1bzc_ligand_168     493.9   
1bzc_ligand_174     438.3   
1bzc_ligand_180     489.0   
1bzc_ligand_181     460.6   
1bzc_ligand_183     493.4   
1bzc_ligand_184     485.1   
1bzc_ligand_185     462.9   
1bzc_ligand_19      367.6   
1bzc_ligand_191     415.5   
1bzc_ligand_193     479.3   
1bzc_ligand_198     475.3   
1bzc_ligand_199     414.1   
1bzc_ligand_200     474.4   
1bzc_ligand_204     268.6   
1bzc_ligand_205     271.2   
1bzc_ligand_206     241.5   
1bzc_ligand_207     255.0   
1bzc_ligand_208     251.8   
1bzc_ligand_209     328.9   
1bzc_ligand_212     251.0   
1bzc_ligand_215     219.3   
1bzc_ligand_216     275.7   
1bzc_ligand_217     209.4   
1bzc_ligand_218     372.4   
1bzc_ligand_219     390.1   
1bzc_ligand_220     250.9   
1bzc_ligand_221     384.6   
1bzc_ligand_222     309.9   
1bzc_ligand_223     307.6   
1bzc_ligand_225     402.5   
1bzc_ligand_226     319.6   
1bzc_ligand_228     212.0   
1bzc_ligand_229     206.8   
1bzc_ligand_230     309.6   
1bzc_ligand_231     273.0   
1bzc_ligand_232     291.9   
1bzc_ligand_233     221.7   
1bzc_ligand_236     277.3   
1bzc_ligand_237     257.5   
1bzc_ligand_239     403.8   
1bzc_ligand_241     246.3   
1bzc_ligand_242     331.0   
1bzc_ligand_243     357.8   
1bzc_ligand_244     264.7   
1bzc_ligand_246     351.1   
1bzc_ligand_247     244.1   
1bzc_ligand_249     335.9   
1bzc_ligand_250     291.7   
1bzc_ligand_254     430.7   
1bzc_ligand_257     397.3   
1bzc_ligand_259     424.3   
1bzc_ligand_261     372.6   
1bzc_ligand_267     490.8   
1bzc_ligand_272     405.8   
1bzc_ligand_273     480.4   
1bzc_ligand_276     415.4   
1bzc_ligand_277     428.7   
1bzc_ligand_279     413.0   
1bzc_ligand_280     394.0   
1bzc_ligand_285     360.7   
1bzc_ligand_286     346.3   
1bzc_ligand_287     413.2   
1bzc_ligand_288     371.8   
1bzc_ligand_291     391.0   
1bzc_ligand_292     374.8   
1bzc_ligand_294     454.9   
1bzc_ligand_295     432.9   
1bzc_ligand_297     376.5   
1bzc_ligand_298     395.7   
1bzc_ligand_301     448.1   
1bzc_ligand_302     428.7   
1bzc_ligand_307     468.2   
1bzc_ligand_312     501.9   
1bzc_ligand_315     467.6   
1bzc_ligand_316     416.0   
1bzc_ligand_322     447.9   
1bzc_ligand_325     451.7   
1bzc_ligand_327     420.9   
1bzc_ligand_329     452.2   
1bzc_ligand_331     373.2   
1bzc_ligand_334     385.9   
1bzc_ligand_336     406.1   
1bzc_ligand_338     462.6   
1bzc_ligand_339     445.0   
1bzc_ligand_342     448.9   
1bzc_ligand_344     394.5   
1bzc_ligand_347     450.7   
1bzc_ligand_75      394.2   
1c5z_ligand_140     188.0   
1c5z_ligand_155     214.2   
1c5z_ligand_156     213.0   
1c5z_ligand_158     215.8   
1c5z_ligand_163     212.1   
1c5z_ligand_167     212.0   
1c5z_ligand_172     209.8   
1c5z_ligand_175     216.6   
1c5z_ligand_181     211.8   
1c5z_ligand_182     208.9   
1c5z_ligand_185     210.8   
1c5z_ligand_187     216.0   
1c5z_ligand_189     210.7   
1c5z_ligand_190     218.0   
1c5z_ligand_195     207.4   
1c5z_ligand_198     206.9   
1c5z_ligand_208     194.9   
1c5z_ligand_212     207.0   
1c5z_ligand_215     211.0   
1c5z_ligand_216     209.9   
1c5z_ligand_217     212.5   
1c5z_ligand_222     212.1   
1c5z_ligand_224     206.2   
1c5z_ligand_226     200.7   
1c5z_ligand_227     186.6   
1c5z_ligand_229     205.5   
1c5z_ligand_230     162.6   
1c5z_ligand_235     213.7   
1c5z_ligand_236     210.4   
1c5z_ligand_242     212.3   
1c5z_ligand_243     213.0   
1c5z_ligand_255     209.4   
1c5z_ligand_257     163.6   
1c5z_ligand_261     212.1   
1c5z_ligand_262     174.3   
1c5z_ligand_268     199.6   
1c5z_ligand_273     207.4   
1c5z_ligand_278     209.3   
1c5z_ligand_281     178.8   
1c5z_ligand_282     139.5   
1c5z_ligand_286     203.8   
1c5z_ligand_287     211.2   
1c5z_ligand_291     201.6   
1c5z_ligand_293     210.4   
1c5z_ligand_295     202.9   
1c5z_ligand_302     217.2   
1c5z_ligand_304     205.9   
1c5z_ligand_305     198.2   
1c5z_ligand_306     207.1   
1c5z_ligand_308     210.5   
1c5z_ligand_309     206.5   
1c5z_ligand_310     223.0   
1c5z_ligand_314     212.2   
1c5z_ligand_317     213.9   
1c5z_ligand_332     212.7   
1c5z_ligand_334     146.4   
1c5z_ligand_336     215.5   
1c5z_ligand_337     210.4   
1c5z_ligand_339     213.7   
1c5z_ligand_340     209.4   
1c5z_ligand_341     159.2   
1c5z_ligand_343     221.5   
1c5z_ligand_347     208.6   
1c5z_ligand_349     207.8   
1c5z_ligand_358     199.7   
1c5z_ligand_359     208.3   
1c5z_ligand_360     145.4   
1c5z_ligand_361     146.7   
1c5z_ligand_365     120.5   
1c5z_ligand_367     141.3   
1c5z_ligand_369     108.2   
1c5z_ligand_371     139.0   
1c5z_ligand_374     114.4   
1c5z_ligand_378     135.4   
1c5z_ligand_382     78.7    
1c5z_ligand_383     85.4    
1c5z_ligand_385     125.0   
1c5z_ligand_387     97.5    
1c5z_ligand_389     101.9   
1c5z_ligand_390     93.2    
1c5z_ligand_393     77.4    
1c5z_ligand_397     92.0    
1c5z_ligand_400     99.5    
1c5z_ligand_412     205.3   
1c5z_ligand_421     200.6   
1c5z_ligand_425     118.9   
1c5z_ligand_426     121.2   
1c5z_ligand_435     121.3   
1c5z_ligand_437     124.3   
1c5z_ligand_442     120.1   
1c5z_ligand_443     96.1    
1c5z_ligand_445     126.4   
1c5z_ligand_446     128.0   
1c5z_ligand_450     132.6   
1c5z_ligand_471     206.4   
1c5z_ligand_475     207.3   
1c5z_ligand_489     140.6   
1c5z_ligand_491     136.2   
1c5z_ligand_499     207.6   
1c5z_ligand_500     127.6   
1e66_ligand_118     301.7   
1e66_ligand_156     380.1   
1e66_ligand_160     371.3   
1e66_ligand_168     376.6   
1e66_ligand_171     374.9   
1e66_ligand_174     373.6   
1e66_ligand_175     375.2   
1e66_ligand_182     382.7   
1e66_ligand_188     359.7   
1e66_ligand_189     377.4   
1e66_ligand_190     377.7   
1e66_ligand_195     365.5   
1e66_ligand_196     372.1   
1e66_ligand_197     369.9   
1e66_ligand_198     363.7   
1e66_ligand_201     250.7   
1e66_ligand_209     225.9   
1e66_ligand_211     270.6   
1e66_ligand_213     247.2   
1e66_ligand_220     220.5   
1e66_ligand_221     261.8   
1e66_ligand_223     239.2   
1e66_ligand_225     287.3   
1e66_ligand_228     204.9   
1e66_ligand_229     228.1   
1e66_ligand_231     202.5   
1e66_ligand_234     355.7   
1e66_ligand_236     249.7   
1e66_ligand_238     187.3   
1e66_ligand_240     220.8   
1e66_ligand_241     169.0   
1e66_ligand_242     235.9   
1e66_ligand_243     246.4   
1e66_ligand_245     232.9   
1e66_ligand_246     193.6   
1e66_ligand_248     282.5   
1e66_ligand_250     226.5   
1e66_ligand_251     357.5   
1e66_ligand_253     358.8   
1e66_ligand_258     327.0   
1e66_ligand_259     266.4   
1e66_ligand_260     273.0   
1e66_ligand_263     228.6   
1e66_ligand_265     267.5   
1e66_ligand_275     233.3   
1e66_ligand_278     372.6   
1e66_ligand_283     227.8   
1e66_ligand_284     365.5   
1e66_ligand_286     259.4   
1e66_ligand_289     323.5   
1e66_ligand_296     367.9   
1e66_ligand_298     224.9   
1e66_ligand_302     383.9   
1e66_ligand_304     376.0   
1e66_ligand_306     378.9   
1e66_ligand_310     329.8   
1e66_ligand_315     344.1   
1e66_ligand_317     373.7   
1e66_ligand_322     372.0   
1e66_ligand_326     383.1   
1e66_ligand_327     370.8   
1e66_ligand_328     354.8   
1e66_ligand_329     372.7   
1e66_ligand_333     351.1   
1e66_ligand_335     368.1   
1e66_ligand_338     373.8   
1e66_ligand_340     343.8   
1e66_ligand_341     373.5   
1e66_ligand_343     280.9   
1e66_ligand_346     384.2   
1e66_ligand_348     360.5   
1e66_ligand_350     336.1   
1e66_ligand_354     270.6   
1e66_ligand_361     244.5   
1e66_ligand_364     167.6   
1e66_ligand_372     200.2   
1e66_ligand_373     382.7   
1e66_ligand_374     320.8   
1e66_ligand_375     276.1   
1e66_ligand_383     238.8   
1e66_ligand_384     209.0   
1e66_ligand_387     211.8   
1e66_ligand_389     178.1   
1e66_ligand_390     212.8   
1e66_ligand_391     165.4   
1e66_ligand_392     203.3   
1e66_ligand_399     134.0   
1e66_ligand_400     215.3   
1e66_ligand_403     262.1   
1e66_ligand_404     182.5   
1e66_ligand_416     257.4   
1e66_ligand_439     217.5   
1e66_ligand_440     272.0   
1e66_ligand_443     162.7   
1e66_ligand_455     287.3   
1e66_ligand_462     204.1   
1e66_ligand_484     244.3   
1e66_ligand_493     285.7   
1e66_ligand_495     254.9   
1e66_ligand_499     173.5   
1eby_ligand_1       309.2   
1eby_ligand_102     224.6   
1eby_ligand_104     411.4   
1eby_ligand_105     351.2   
1eby_ligand_107     303.8   
1eby_ligand_11      265.6   
1eby_ligand_112     321.4   
1eby_ligand_113     264.6   
1eby_ligand_114     310.4   
1eby_ligand_115     284.1   
1eby_ligand_116     342.9   
1eby_ligand_118     398.4   
1eby_ligand_119     229.4   
1eby_ligand_12      237.1   
1eby_ligand_121     321.9   
1eby_ligand_125     342.1   
1eby_ligand_126     398.2   
1eby_ligand_130     338.9   
