#code_ligand_num    score   
1a30_ligand_10      3.85    
1a30_ligand_100     5.35    
1a30_ligand_104     5.33    
1a30_ligand_106     5.12    
1a30_ligand_110     5.09    
1a30_ligand_115     4.17    
1a30_ligand_120     3.51    
1a30_ligand_121     4.81    
1a30_ligand_122     4.87    
1a30_ligand_124     5.19    
1a30_ligand_125     5.15    
1a30_ligand_127     4.94    
1a30_ligand_14      2.81    
1a30_ligand_140     5.21    
1a30_ligand_15      3.21    
1a30_ligand_152     -2.99   
1a30_ligand_16      4.01    
1a30_ligand_162     -2.69   
1a30_ligand_164     -4.66   
1a30_ligand_171     1.23    
1a30_ligand_173     -4.88   
1a30_ligand_179     -1.7    
1a30_ligand_183     -7.72   
1a30_ligand_19      3.57    
1a30_ligand_197     0.26    
1a30_ligand_203     1.34    
1a30_ligand_204     2.14    
1a30_ligand_205     1.99    
1a30_ligand_207     0.61    
1a30_ligand_209     2.6     
1a30_ligand_215     1.53    
1a30_ligand_220     2.38    
1a30_ligand_222     3.09    
1a30_ligand_224     2.25    
1a30_ligand_226     1.42    
1a30_ligand_227     1.62    
1a30_ligand_229     3.63    
1a30_ligand_231     0.3     
1a30_ligand_235     0.35    
1a30_ligand_236     1.66    
1a30_ligand_24      3.97    
1a30_ligand_240     2.02    
1a30_ligand_241     1.3     
1a30_ligand_262     0.28    
1a30_ligand_265     0.26    
1a30_ligand_268     -1.81   
1a30_ligand_27      4.05    
1a30_ligand_279     1.78    
1a30_ligand_28      3.81    
1a30_ligand_283     0.01    
1a30_ligand_285     -2.78   
1a30_ligand_289     0.81    
1a30_ligand_290     -2.37   
1a30_ligand_296     0.19    
1a30_ligand_30      4.67    
1a30_ligand_300     -0.02   
1a30_ligand_301     -6.62   
1a30_ligand_302     -11.74  
1a30_ligand_31      3.67    
1a30_ligand_310     -5.37   
1a30_ligand_313     -4.06   
1a30_ligand_314     -5.17   
1a30_ligand_317     -1.96   
1a30_ligand_319     -0.45   
1a30_ligand_320     0.79    
1a30_ligand_323     0.87    
1a30_ligand_327     -1.89   
1a30_ligand_33      4.05    
1a30_ligand_330     -1.77   
1a30_ligand_332     0.85    
1a30_ligand_335     0.44    
1a30_ligand_337     -1.32   
1a30_ligand_341     -4.4    
1a30_ligand_346     -2.27   
1a30_ligand_349     -2.73   
1a30_ligand_35      4.84    
1a30_ligand_369     3.61    
1a30_ligand_378     2.69    
1a30_ligand_38      3.95    
1a30_ligand_387     3.32    
1a30_ligand_4       3.73    
1a30_ligand_403     2.53    
