#code_ligand_num    score   
1a30_ligand_1       2.74    
1a30_ligand_10      2.84    
1a30_ligand_102     3.7     
1a30_ligand_107     3.18    
1a30_ligand_109     1.93    
1a30_ligand_11      3.56    
1a30_ligand_112     4.6     
1a30_ligand_114     3.66    
1a30_ligand_12      3.72    
1a30_ligand_120     4.16    
1a30_ligand_123     4.21    
1a30_ligand_128     3.92    
1a30_ligand_129     4.03    
1a30_ligand_13      2.54    
1a30_ligand_136     3.83    
1a30_ligand_14      3.35    
1a30_ligand_144     5.11    
1a30_ligand_17      4.51    
1a30_ligand_176     -2.15   
1a30_ligand_177     -0.93   
1a30_ligand_180     -2.63   
1a30_ligand_184     -4.34   
1a30_ligand_185     -2.66   
1a30_ligand_191     -3.55   
1a30_ligand_193     -9.34   
1a30_ligand_200     -10.03  
1a30_ligand_201     1.7     
1a30_ligand_206     1.77    
1a30_ligand_209     1.77    
1a30_ligand_210     2.19    
1a30_ligand_216     1.62    
1a30_ligand_22      3.26    
1a30_ligand_222     1.58    
1a30_ligand_225     2.17    
1a30_ligand_226     1.2     
1a30_ligand_230     2.27    
1a30_ligand_233     1.42    
1a30_ligand_240     0.83    
1a30_ligand_243     2.12    
1a30_ligand_244     1.85    
1a30_ligand_250     1.98    
1a30_ligand_254     1.99    
1a30_ligand_257     0.44    
1a30_ligand_261     -2.51   
1a30_ligand_262     -1.77   
1a30_ligand_27      3.14    
1a30_ligand_271     -1.09   
1a30_ligand_274     1.27    
1a30_ligand_277     -1.86   
1a30_ligand_28      3.76    
1a30_ligand_281     0.01    
1a30_ligand_283     -3.77   
1a30_ligand_284     -2.41   
1a30_ligand_285     -0.81   
1a30_ligand_286     -0.34   
1a30_ligand_293     1.94    
1a30_ligand_297     -1.5    
1a30_ligand_298     -1.29   
1a30_ligand_299     -2.71   
1a30_ligand_31      3.86    
1a30_ligand_312     -0.79   
1a30_ligand_313     -4.08   
1a30_ligand_314     -4.99   
1a30_ligand_32      2.34    
1a30_ligand_329     -4.94   
1a30_ligand_330     -0.69   
1a30_ligand_341     -0.83   
1a30_ligand_345     -3.14   
1a30_ligand_368     2.46    
1a30_ligand_37      3.73    
1a30_ligand_375     2.56    
1a30_ligand_387     2.28    
1a30_ligand_395     3.31    
1a30_ligand_405     3.98    
1a30_ligand_426     1.71    
1a30_ligand_434     4.16    
1a30_ligand_45      2.81    
1a30_ligand_46      2.82    
1a30_ligand_50      3.99    
1a30_ligand_52      1.93    
1a30_ligand_55      2.26    
1a30_ligand_56      1.9     
1a30_ligand_57      2.37    
1a30_ligand_59      2.7     
1a30_ligand_61      2.33    
1a30_ligand_63      2.78    
1a30_ligand_69      2.59    
1a30_ligand_70      4.22    
1a30_ligand_75      3.17    
1a30_ligand_76      1.92    
1a30_ligand_77      1.9     
1a30_ligand_78      2.83    
1a30_ligand_79      1.83    
1a30_ligand_81      3.59    
1a30_ligand_82      2.57    
1a30_ligand_86      1.63    
1a30_ligand_89      3.04    
1a30_ligand_94      4.13    
1a30_ligand_96      1.78    
1a30_ligand_99      2.4     
1bcu_ligand_13      3       
1bcu_ligand_159     -14.95  
1bcu_ligand_176     -2.82   
1bcu_ligand_183     -7.36   
1bcu_ligand_191     -8.19   
1bcu_ligand_199     -5.53   
1bcu_ligand_209     2.15    
1bcu_ligand_212     3.1     
1bcu_ligand_215     4.02    
1bcu_ligand_220     2.48    
1bcu_ligand_224     2.89    
1bcu_ligand_227     1.85    
1bcu_ligand_231     -1.43   
1bcu_ligand_233     4.4     
1bcu_ligand_234     0.68    
1bcu_ligand_235     2.21    
1bcu_ligand_236     2.5     
1bcu_ligand_239     1.03    
1bcu_ligand_241     3.96    
1bcu_ligand_245     0.73    
1bcu_ligand_246     0.35    
1bcu_ligand_248     2.45    
1bcu_ligand_249     -3.09   
1bcu_ligand_250     0.91    
1bcu_ligand_260     2.43    
1bcu_ligand_27      5.35    
1bcu_ligand_281     -0.44   
1bcu_ligand_304     1.84    
1bcu_ligand_308     1.49    
1bcu_ligand_317     0.03    
1bcu_ligand_323     1.96    
1bcu_ligand_324     -2.22   
1bcu_ligand_325     -5.48   
1bcu_ligand_340     1.57    
1bcu_ligand_341     2.39    
1bcu_ligand_351     -5.27   
1bcu_ligand_357     1.66    
1bcu_ligand_362     1.55    
1bcu_ligand_363     1.37    
1bcu_ligand_364     1.93    
1bcu_ligand_367     1.45    
1bcu_ligand_369     1.36    
1bcu_ligand_370     1.78    
1bcu_ligand_371     1.49    
1bcu_ligand_372     1.59    
1bcu_ligand_373     2.36    
1bcu_ligand_374     -0.88   
1bcu_ligand_376     2.16    
1bcu_ligand_377     1.66    
1bcu_ligand_378     1.9     
1bcu_ligand_38      4.07    
1bcu_ligand_380     2.7     
1bcu_ligand_381     1.55    
1bcu_ligand_382     1.77    
1bcu_ligand_383     0.56    
1bcu_ligand_384     2.4     
1bcu_ligand_385     2.42    
1bcu_ligand_386     1.74    
1bcu_ligand_387     2.85    
1bcu_ligand_388     1.91    
1bcu_ligand_391     2.08    
1bcu_ligand_393     1.45    
1bcu_ligand_395     1.39    
1bcu_ligand_396     1.17    
1bcu_ligand_397     0.19    
1bcu_ligand_398     1.57    
1bcu_ligand_399     0.96    
1bcu_ligand_402     1.8     
1bcu_ligand_403     1.29    
1bcu_ligand_404     -0.89   
1bcu_ligand_405     0.88    
1bcu_ligand_406     3.31    
1bcu_ligand_407     2.8     
1bcu_ligand_412     -0.69   
1bcu_ligand_423     1.44    
1bcu_ligand_426     2.87    
1bcu_ligand_427     1.41    
1bcu_ligand_431     1.02    
1bcu_ligand_433     2.04    
1bcu_ligand_435     1.06    
1bcu_ligand_438     1.53    
1bcu_ligand_447     1.4     
1bcu_ligand_448     2.11    
1bcu_ligand_451     3.41    
1bcu_ligand_457     2.89    
1bcu_ligand_459     3.67    
1bcu_ligand_463     2.08    
1bcu_ligand_474     2.77    
1bcu_ligand_476     0.86    
