#code_ligand_num    score   
1a30_ligand_1       4.93    
1a30_ligand_102     5.16    
1a30_ligand_104     4.78    
1a30_ligand_105     5.52    
1a30_ligand_108     5.4     
1a30_ligand_109     5.71    
1a30_ligand_110     5.16    
1a30_ligand_111     5.32    
1a30_ligand_112     5.01    
1a30_ligand_113     5.51    
1a30_ligand_115     5.5     
1a30_ligand_117     5.33    
1a30_ligand_125     5.57    
1a30_ligand_128     4.96    
1a30_ligand_129     3.66    
1a30_ligand_131     5.56    
1a30_ligand_132     5.56    
1a30_ligand_134     3.31    
1a30_ligand_146     4.77    
1a30_ligand_150     5.29    
1a30_ligand_155     -3.8    
1a30_ligand_158     -4.65   
1a30_ligand_159     -2.59   
1a30_ligand_16      3.47    
1a30_ligand_165     -4.87   
1a30_ligand_172     -4.89   
1a30_ligand_178     0.12    
1a30_ligand_18      3.95    
1a30_ligand_185     -0.93   
1a30_ligand_188     -4      
1a30_ligand_19      4.66    
1a30_ligand_194     0.98    
1a30_ligand_2       4.02    
1a30_ligand_200     -6.41   
1a30_ligand_203     3.48    
1a30_ligand_205     2.23    
1a30_ligand_209     2.2     
1a30_ligand_22      4.29    
1a30_ligand_225     1.32    
1a30_ligand_228     -0.55   
1a30_ligand_229     1.17    
1a30_ligand_235     1.76    
1a30_ligand_243     0.9     
1a30_ligand_247     3.61    
1a30_ligand_248     0.33    
1a30_ligand_257     1.69    
1a30_ligand_269     -3.8    
1a30_ligand_27      5       
1a30_ligand_271     -0.68   
1a30_ligand_273     -0.54   
1a30_ligand_274     2.91    
1a30_ligand_275     -2.38   
1a30_ligand_279     -2.16   
1a30_ligand_28      5.17    
1a30_ligand_283     -1.98   
1a30_ligand_294     -4.03   
1a30_ligand_299     0.4     
1a30_ligand_306     -1.94   
1a30_ligand_315     -3.06   
1a30_ligand_317     -2.26   
1a30_ligand_321     -3.88   
1a30_ligand_322     -1.76   
1a30_ligand_323     -6.77   
1a30_ligand_326     -4.75   
1a30_ligand_330     -2.48   
1a30_ligand_336     -0.71   
1a30_ligand_337     0.04    
1a30_ligand_340     -3.32   
1a30_ligand_341     -0.51   
1a30_ligand_349     -1.39   
1a30_ligand_357     3.97    
1a30_ligand_372     4.38    
1a30_ligand_376     4.67    
1a30_ligand_378     3.82    
1a30_ligand_382     4.36    
1a30_ligand_385     3.95    
1a30_ligand_392     3.96    
1a30_ligand_398     3.43    
1a30_ligand_433     3.69    
1a30_ligand_44      4.04    
1a30_ligand_45      2.93    
1a30_ligand_455     5.26    
1a30_ligand_47      5.29    
1a30_ligand_489     4.21    
1a30_ligand_497     3.04    
1a30_ligand_51      4.3     
1a30_ligand_55      4.56    
1a30_ligand_57      4.12    
1a30_ligand_6       4.12    
1a30_ligand_60      4.88    
1a30_ligand_61      2.44    
1a30_ligand_63      4.57    
1a30_ligand_64      4.74    
1a30_ligand_69      2.23    
1a30_ligand_70      3.75    
1a30_ligand_75      4.14    
1a30_ligand_80      4.95    
1a30_ligand_82      2.35    
1a30_ligand_86      4.44    
1a30_ligand_87      2.45    
1bcu_ligand_124     4.78    
1bcu_ligand_136     4.45    
1bcu_ligand_142     4.39    
1bcu_ligand_147     4.52    
1bcu_ligand_153     4.63    
1bcu_ligand_155     5.04    
1bcu_ligand_180     3.83    
1bcu_ligand_188     4.88    
1bcu_ligand_196     3.77    
1bcu_ligand_208     4.75    
1bcu_ligand_210     4.26    
1bcu_ligand_211     2.56    
1bcu_ligand_225     4.16    
1bcu_ligand_231     3.01    
1bcu_ligand_232     3.84    
1bcu_ligand_238     4.61    
1bcu_ligand_239     5.34    
1bcu_ligand_245     4.35    
1bcu_ligand_246     3.95    
1bcu_ligand_247     2.43    
1bcu_ligand_25      2.57    
1bcu_ligand_257     4.43    
1bcu_ligand_259     1.61    
1bcu_ligand_261     4.45    
1bcu_ligand_262     4.43    
1bcu_ligand_276     4.44    
1bcu_ligand_281     2.27    
1bcu_ligand_284     3.23    
1bcu_ligand_302     0.3     
1bcu_ligand_303     3.51    
1bcu_ligand_304     3.46    
1bcu_ligand_305     1.94    
1bcu_ligand_307     -1      
1bcu_ligand_309     -0.81   
1bcu_ligand_310     1.22    
1bcu_ligand_311     1.51    
1bcu_ligand_312     2.52    
1bcu_ligand_321     2.54    
1bcu_ligand_327     3.29    
1bcu_ligand_328     0.1     
1bcu_ligand_330     -3.12   
1bcu_ligand_332     0.58    
1bcu_ligand_333     2.2     
1bcu_ligand_336     3.7     
1bcu_ligand_339     3.37    
1bcu_ligand_342     4.59    
1bcu_ligand_35      5.15    
1bcu_ligand_351     4.08    
1bcu_ligand_354     3       
1bcu_ligand_355     2.6     
1bcu_ligand_356     4.59    
1bcu_ligand_361     4.82    
1bcu_ligand_365     0.82    
1bcu_ligand_366     5.41    
1bcu_ligand_367     2.66    
1bcu_ligand_370     3.46    
1bcu_ligand_373     3.97    
1bcu_ligand_374     4.93    
1bcu_ligand_376     2.04    
1bcu_ligand_377     4.55    
1bcu_ligand_379     4.33    
1bcu_ligand_380     1.25    
1bcu_ligand_381     5.03    
1bcu_ligand_382     1.72    
1bcu_ligand_383     5.12    
1bcu_ligand_384     5.1     
1bcu_ligand_386     3.12    
1bcu_ligand_387     0.37    
1bcu_ligand_388     4.03    
1bcu_ligand_389     2.81    
1bcu_ligand_390     4.55    
1bcu_ligand_391     3.51    
1bcu_ligand_392     1.87    
1bcu_ligand_393     2.05    
1bcu_ligand_394     2.92    
1bcu_ligand_395     3.98    
1bcu_ligand_396     3.49    
1bcu_ligand_397     3.06    
1bcu_ligand_398     3.74    
1bcu_ligand_399     5.09    
1bcu_ligand_400     3.67    
1bcu_ligand_401     3.63    
1bcu_ligand_408     4.31    
1bcu_ligand_409     4.24    
1bcu_ligand_426     3.65    
1bcu_ligand_427     3.86    
1bcu_ligand_439     4.37    
1bcu_ligand_441     4.34    
1bcu_ligand_443     3.94    
1bcu_ligand_444     4.92    
1bcu_ligand_445     3.54    
1bcu_ligand_446     3.45    
1bcu_ligand_449     2.87    
1bcu_ligand_456     3.99    
1bcu_ligand_482     2.71    
1bcu_ligand_487     3.5     
1bcu_ligand_493     4.12    
1bcu_ligand_82      3.63    
1bcu_ligand_87      5.45    
1bcu_ligand_91      5.36    
1bzc_ligand_101     5.3     
1bzc_ligand_114     5.77    
1bzc_ligand_12      5.06    
1bzc_ligand_124     5.49    
1bzc_ligand_139     5.48    
1bzc_ligand_155     1.17    
1bzc_ligand_163     -5.09   
1bzc_ligand_164     3.34    
1bzc_ligand_166     1.56    
1bzc_ligand_168     2.9     
1bzc_ligand_170     -2.02   
1bzc_ligand_175     -6.82   
1bzc_ligand_179     0.68    
1bzc_ligand_181     -2.71   
1bzc_ligand_182     -4.94   
1bzc_ligand_183     -5.67   
1bzc_ligand_186     -3.43   
1bzc_ligand_192     -8.11   
1bzc_ligand_193     -1.38   
1bzc_ligand_195     1.02    
1bzc_ligand_196     -3.38   
1bzc_ligand_197     0.54    
1bzc_ligand_198     -0.62   
1bzc_ligand_205     2.61    
1bzc_ligand_206     1.62    
1bzc_ligand_209     3.14    
1bzc_ligand_210     3.05    
1bzc_ligand_213     3.59    
1bzc_ligand_214     0.7     
1bzc_ligand_215     2.29    
1bzc_ligand_222     2.67    
1bzc_ligand_224     1.64    
1bzc_ligand_225     2.51    
1bzc_ligand_226     3.54    
1bzc_ligand_228     4.24    
1bzc_ligand_229     0.75    
1bzc_ligand_235     1.66    
1bzc_ligand_237     1.56    
1bzc_ligand_238     1.26    
1bzc_ligand_239     1.35    
1bzc_ligand_240     2.45    
1bzc_ligand_242     1.89    
1bzc_ligand_247     2.28    
1bzc_ligand_248     3.95    
1bzc_ligand_249     0.35    
1bzc_ligand_250     1.33    
1bzc_ligand_253     -2.62   
1bzc_ligand_256     2.94    
1bzc_ligand_263     -0.31   
1bzc_ligand_267     -0.83   
1bzc_ligand_270     0.79    
1bzc_ligand_273     1.22    
1bzc_ligand_274     1.02    
1bzc_ligand_276     0.14    
1bzc_ligand_277     -0.39   
1bzc_ligand_279     0.5     
1bzc_ligand_280     0.75    
1bzc_ligand_285     -1.34   
1bzc_ligand_286     -1.98   
1bzc_ligand_288     0.8     
1bzc_ligand_291     -2.04   
1bzc_ligand_298     0.62    
1bzc_ligand_300     -2.39   
1bzc_ligand_301     -2.7    
1bzc_ligand_302     -5.56   
1bzc_ligand_303     -0.56   
1bzc_ligand_312     0.24    
1bzc_ligand_313     0.14    
1bzc_ligand_325     -3.36   
1bzc_ligand_328     -2.85   
1bzc_ligand_329     -6.98   
1bzc_ligand_330     -5.53   
1bzc_ligand_339     -3.39   
1bzc_ligand_343     -4.86   
1bzc_ligand_344     -1.55   
1bzc_ligand_346     -4.34   
1bzc_ligand_347     -2.71   
1bzc_ligand_348     -3.72   
1bzc_ligand_35      5.08    
1bzc_ligand_369     5.09    
1bzc_ligand_384     4.9     
1bzc_ligand_389     2.99    
1bzc_ligand_398     3.34    
1bzc_ligand_4       5.49    
