#code_ligand_num    score   
1a30_ligand_107     4.12    
1a30_ligand_108     4.13    
1a30_ligand_109     3.35    
1a30_ligand_11      5.06    
1a30_ligand_124     4.53    
1a30_ligand_126     3.55    
1a30_ligand_127     4.63    
1a30_ligand_130     4.54    
1a30_ligand_136     4.69    
1a30_ligand_138     3.97    
1a30_ligand_143     4.03    
1a30_ligand_145     3.98    
1a30_ligand_146     3.57    
1a30_ligand_154     -3.53   
1a30_ligand_157     -7.98   
1a30_ligand_159     -2.67   
1a30_ligand_160     0.35    
1a30_ligand_165     -5.05   
1a30_ligand_168     -7.52   
1a30_ligand_169     -7.75   
1a30_ligand_172     -3.28   
1a30_ligand_176     -12.69  
1a30_ligand_179     -7.14   
1a30_ligand_181     -8.41   
1a30_ligand_190     -6.86   
1a30_ligand_193     -6.35   
1a30_ligand_195     -0.57   
1a30_ligand_196     0.84    
1a30_ligand_20      3.63    
1a30_ligand_204     2.89    
1a30_ligand_205     3.11    
1a30_ligand_210     0.28    
1a30_ligand_214     2.43    
1a30_ligand_219     1.63    
1a30_ligand_221     0.78    
1a30_ligand_222     1.59    
1a30_ligand_224     1.99    
1a30_ligand_226     2.18    
1a30_ligand_227     1.56    
1a30_ligand_228     1.95    
1a30_ligand_230     -0.31   
1a30_ligand_239     1.97    
1a30_ligand_245     2.17    
1a30_ligand_247     1.39    
1a30_ligand_255     -1.82   
1a30_ligand_258     -4.59   
1a30_ligand_264     -2.14   
1a30_ligand_272     -8.73   
1a30_ligand_280     -10.08  
1a30_ligand_282     -5.89   
1a30_ligand_283     -1.04   
1a30_ligand_288     -5.39   
1a30_ligand_289     -0.33   
1a30_ligand_29      4.3     
1a30_ligand_294     -2.53   
1a30_ligand_298     -8.58   
1a30_ligand_299     -11.97  
1a30_ligand_30      4.83    
1a30_ligand_301     -4.98   
1a30_ligand_304     -1.62   
1a30_ligand_306     -10.25  
1a30_ligand_31      3.85    
1a30_ligand_310     -5.13   
1a30_ligand_311     -2.88   
1a30_ligand_314     -4.13   
1a30_ligand_315     -4.38   
1a30_ligand_316     -5.43   
1a30_ligand_317     -5.64   
1a30_ligand_318     -6.61   
1a30_ligand_32      3.88    
1a30_ligand_332     -8.81   
1a30_ligand_334     -2.23   
1a30_ligand_336     -11.4   
1a30_ligand_345     -5.76   
1a30_ligand_346     -11.52  
1a30_ligand_348     0.4     
1a30_ligand_35      4.64    
1a30_ligand_356     3.74    
1a30_ligand_360     2.86    
1a30_ligand_373     3.28    
1a30_ligand_39      4.02    
1a30_ligand_399     4.49    
1a30_ligand_4       3.89    
1a30_ligand_400     2.56    
1a30_ligand_407     2.73    
1a30_ligand_43      3.48    
1a30_ligand_440     2.94    
1a30_ligand_441     4       
1a30_ligand_459     3.84    
1a30_ligand_485     4.19    
1a30_ligand_5       3.57    
1a30_ligand_50      3.12    
1a30_ligand_72      2.7     
1a30_ligand_78      4.66    
1a30_ligand_8       3.98    
1a30_ligand_84      3.08    
1a30_ligand_87      4.3     
1a30_ligand_89      2.79    
1a30_ligand_95      3.5     
1a30_ligand_96      3.09    
1bcu_ligand_1       5.41    
1bcu_ligand_155     -4.68   
1bcu_ligand_160     -4.55   
1bcu_ligand_166     -15.07  
1bcu_ligand_176     -0.2    
1bcu_ligand_178     -27.57  
1bcu_ligand_179     -4.66   
1bcu_ligand_180     -20.5   
1bcu_ligand_189     -21.1   
1bcu_ligand_190     -26.19  
1bcu_ligand_191     1.7     
1bcu_ligand_192     -13.25  
1bcu_ligand_196     -15.74  
1bcu_ligand_197     -11.36  
1bcu_ligand_2       4.92    
1bcu_ligand_204     3.09    
1bcu_ligand_207     2.15    
1bcu_ligand_208     4.12    
1bcu_ligand_211     4.23    
1bcu_ligand_212     1.54    
1bcu_ligand_219     3.2     
1bcu_ligand_224     1.34    
1bcu_ligand_227     1.15    
1bcu_ligand_228     2.07    
1bcu_ligand_230     -0.51   
1bcu_ligand_231     2.79    
1bcu_ligand_233     2.47    
1bcu_ligand_235     3.43    
1bcu_ligand_238     1.38    
1bcu_ligand_240     2.12    
1bcu_ligand_241     2.09    
1bcu_ligand_242     1.84    
1bcu_ligand_246     2.36    
1bcu_ligand_250     2.07    
1bcu_ligand_252     0.18    
1bcu_ligand_253     -0.58   
1bcu_ligand_257     -2.68   
1bcu_ligand_258     -3.65   
1bcu_ligand_264     3.69    
1bcu_ligand_267     -0.33   
1bcu_ligand_268     -1.47   
1bcu_ligand_275     2.03    
1bcu_ligand_286     -1.79   
1bcu_ligand_287     2.45    
1bcu_ligand_289     -1.35   
1bcu_ligand_295     0.49    
1bcu_ligand_297     1.4     
