#code_ligand_num    score   
1a30_ligand_100     2.61    
1a30_ligand_102     3.8     
1a30_ligand_104     4.01    
1a30_ligand_110     4.19    
1a30_ligand_113     4.5     
1a30_ligand_115     3.19    
1a30_ligand_119     4.01    
1a30_ligand_12      3.85    
1a30_ligand_121     4.63    
1a30_ligand_124     3.87    
1a30_ligand_125     3.78    
1a30_ligand_127     3.97    
1a30_ligand_132     2.84    
1a30_ligand_133     3.38    
1a30_ligand_134     3.55    
1a30_ligand_137     4.97    
1a30_ligand_15      4.07    
1a30_ligand_16      4.03    
1a30_ligand_160     -10.93  
1a30_ligand_18      2.79    
1a30_ligand_185     -5.41   
1a30_ligand_19      3.94    
1a30_ligand_2       3.27    
1a30_ligand_20      2.3     
1a30_ligand_201     1.78    
1a30_ligand_202     2.94    
1a30_ligand_204     2.44    
1a30_ligand_206     2.93    
1a30_ligand_208     1.5     
1a30_ligand_209     0.15    
1a30_ligand_212     1.74    
1a30_ligand_216     2.13    
1a30_ligand_217     2.23    
1a30_ligand_218     0.94    
1a30_ligand_219     1.46    
1a30_ligand_22      3.73    
1a30_ligand_220     1.15    
1a30_ligand_221     1.14    
1a30_ligand_223     1.24    
1a30_ligand_224     1.95    
1a30_ligand_226     0.74    
1a30_ligand_227     1.58    
1a30_ligand_228     0.64    
1a30_ligand_230     1.71    
1a30_ligand_231     1.11    
1a30_ligand_236     1.38    
1a30_ligand_24      3.76    
1a30_ligand_240     1.5     
1a30_ligand_244     1.47    
1a30_ligand_245     1.49    
1a30_ligand_246     1.52    
1a30_ligand_247     1.75    
1a30_ligand_249     0.63    
1a30_ligand_253     1.18    
1a30_ligand_26      3.37    
1a30_ligand_267     1.2     
1a30_ligand_27      2.76    
1a30_ligand_270     -5.06   
1a30_ligand_272     1.35    
1a30_ligand_278     -1.15   
1a30_ligand_281     0.66    
1a30_ligand_289     0.13    
1a30_ligand_297     -1.02   
1a30_ligand_298     -0.74   
1a30_ligand_299     -1.66   
1a30_ligand_300     -1.67   
1a30_ligand_313     -1.99   
1a30_ligand_32      2.44    
1a30_ligand_322     0.84    
1a30_ligand_327     -9.54   
1a30_ligand_341     0.38    
1a30_ligand_343     -2.37   
1a30_ligand_347     -0.6    
1a30_ligand_348     -2.47   
1a30_ligand_357     2.16    
1a30_ligand_38      2.72    
1a30_ligand_384     0.97    
1a30_ligand_389     -0.78   
1a30_ligand_40      2.05    
1a30_ligand_42      2.91    
1a30_ligand_46      3.71    
1a30_ligand_49      3.99    
1a30_ligand_5       2.54    
1a30_ligand_50      3.12    
1a30_ligand_51      2.78    
1a30_ligand_52      3.71    
1a30_ligand_54      3.11    
1a30_ligand_56      3.44    
1a30_ligand_62      2.68    
1a30_ligand_64      2.78    
1a30_ligand_65      3.21    
1a30_ligand_67      2.48    
1a30_ligand_70      2.12    
1a30_ligand_76      3.17    
1a30_ligand_78      3.02    
1a30_ligand_79      3       
1a30_ligand_86      2.92    
1a30_ligand_90      2.29    
1a30_ligand_92      3.11    
1a30_ligand_98      3.58    
1bcu_ligand_126     5.26    
1bcu_ligand_158     -3.07   
1bcu_ligand_161     -1.76   
1bcu_ligand_166     -9.19   
1bcu_ligand_168     -1.41   
1bcu_ligand_171     -2.92   
1bcu_ligand_174     -0.77   
1bcu_ligand_175     -3.99   
1bcu_ligand_177     -1.15   
1bcu_ligand_180     -5.64   
1bcu_ligand_182     -1.13   
1bcu_ligand_185     -2.9    
1bcu_ligand_19      2.15    
1bcu_ligand_193     -2.18   
1bcu_ligand_194     -7.99   
1bcu_ligand_196     -6.88   
1bcu_ligand_199     -7.43   
1bcu_ligand_21      2.86    
1bcu_ligand_210     2.79    
1bcu_ligand_214     3.44    
1bcu_ligand_225     1.59    
1bcu_ligand_226     0.74    
1bcu_ligand_230     3.31    
1bcu_ligand_233     -1.23   
1bcu_ligand_234     0.3     
1bcu_ligand_237     0.56    
1bcu_ligand_240     1.95    
1bcu_ligand_243     0.63    
1bcu_ligand_244     0.19    
1bcu_ligand_248     0.28    
1bcu_ligand_250     -2.16   
1bcu_ligand_273     1.79    
1bcu_ligand_276     0.12    
1bcu_ligand_286     -2.07   
1bcu_ligand_297     -1.56   
1bcu_ligand_302     1.02    
1bcu_ligand_303     0.05    
1bcu_ligand_314     1       
1bcu_ligand_315     -0.97   
1bcu_ligand_317     -1.75   
1bcu_ligand_33      1.78    
1bcu_ligand_330     -1.28   
1bcu_ligand_333     2.13    
1bcu_ligand_337     -1.7    
1bcu_ligand_338     1.02    
1bcu_ligand_339     0.07    
1bcu_ligand_343     -3.07   
1bcu_ligand_349     -1.83   
1bcu_ligand_363     3.17    
1bcu_ligand_366     1.62    
1bcu_ligand_369     0.65    
1bcu_ligand_370     1.27    
1bcu_ligand_372     1.76    
