#code_ligand_num    score   
1a30_ligand_103     2.37    
1a30_ligand_108     4.09    
1a30_ligand_109     4.32    
1a30_ligand_110     3.88    
1a30_ligand_115     5.91    
1a30_ligand_12      4.65    
1a30_ligand_128     4.56    
1a30_ligand_131     3.39    
1a30_ligand_134     3.03    
1a30_ligand_138     3.92    
1a30_ligand_14      3.18    
1a30_ligand_145     2.3     
1a30_ligand_149     4.18    
1a30_ligand_155     -3.84   
1a30_ligand_16      3.68    
1a30_ligand_160     -7      
1a30_ligand_167     -6.09   
1a30_ligand_17      4.16    
1a30_ligand_173     -6.94   
1a30_ligand_174     -8.23   
1a30_ligand_175     -9.91   
1a30_ligand_178     -10.97  
1a30_ligand_18      4.36    
1a30_ligand_183     -8.58   
1a30_ligand_189     -0.5    
1a30_ligand_191     -9.82   
1a30_ligand_193     -10.94  
1a30_ligand_199     0.59    
1a30_ligand_201     3.28    
1a30_ligand_203     0.47    
1a30_ligand_206     2.66    
1a30_ligand_208     3.05    
1a30_ligand_209     0.89    
1a30_ligand_212     1.73    
1a30_ligand_216     1.47    
1a30_ligand_219     2.88    
1a30_ligand_22      4.95    
1a30_ligand_221     1.82    
1a30_ligand_222     1.35    
1a30_ligand_224     0.08    
1a30_ligand_226     1.39    
1a30_ligand_228     0.19    
1a30_ligand_229     2.03    
1a30_ligand_233     0.41    
1a30_ligand_237     0.53    
1a30_ligand_238     1.91    
1a30_ligand_241     0.06    
1a30_ligand_244     0.1     
1a30_ligand_245     -0.47   
1a30_ligand_246     0.29    
1a30_ligand_247     -0.13   
1a30_ligand_248     0.29    
1a30_ligand_250     0.94    
1a30_ligand_255     -2.28   
1a30_ligand_259     1.42    
1a30_ligand_260     0.8     
1a30_ligand_266     -1.99   
1a30_ligand_267     -0.86   
1a30_ligand_270     -0.38   
1a30_ligand_282     -6.67   
1a30_ligand_284     -3.23   
1a30_ligand_290     -2.22   
1a30_ligand_291     -4.33   
1a30_ligand_293     -2.78   
1a30_ligand_297     -2.17   
1a30_ligand_298     -0.04   
1a30_ligand_299     0.02    
1a30_ligand_30      5.01    
1a30_ligand_312     -6.83   
1a30_ligand_315     -4.15   
1a30_ligand_316     -4      
1a30_ligand_320     -5.79   
1a30_ligand_321     -2.11   
1a30_ligand_323     -2.91   
1a30_ligand_324     -2.25   
1a30_ligand_325     -4.84   
1a30_ligand_337     -3.4    
1a30_ligand_346     -0.52   
1a30_ligand_35      4.38    
1a30_ligand_358     1.45    
1a30_ligand_374     3.21    
1a30_ligand_376     3.47    
1a30_ligand_390     3.97    
1a30_ligand_399     2.82    
1a30_ligand_45      4.13    
1a30_ligand_46      3.91    
1a30_ligand_470     5.17    
1a30_ligand_48      2.86    
1a30_ligand_480     4.06    
1a30_ligand_483     3.31    
1a30_ligand_485     3.61    
1a30_ligand_492     3.29    
1a30_ligand_493     4.7     
1a30_ligand_5       4.91    
1a30_ligand_500     3.35    
1a30_ligand_56      2.54    
1a30_ligand_60      3.12    
1a30_ligand_63      3.73    
1a30_ligand_65      5.51    
1a30_ligand_95      2.59    
